Research ^nn++++=Research
on ^in++++=on
native ^jj+atrb+++=native
speakers ^nns++++=speakers
use ^nn++++=use
of ^in++++=of
adverbial ^jj++++=adverbial
just ^rb+emph+++=just
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
just ^rb+emph+++=just
was ^vbd+bedz+aux++=was
more ^rbr++splt++=more
frequently ^rb++++=frequently
used ^vbd+++xvbn+=used
in ^in++++=in
spoken ^jj+atrb++xvbn+=spoken
language ^nn++++=language
than ^in++++=than
in ^in++++=in
written ^jj+atrb++xvbn+=written
language ^nn++++=language
( ^zz++++=(
Tottie ^np++++=Tottie,
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
; ^zz++++=;
and ^cc+cls+++=and
Biber ^np+++??+=Biber
et ^&fw++++=et
al ^&fw++++=al
. ^zz++++=.,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
spoken ^jj+atrb++xvbn+=spoken
language ^nn++++=language,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
frequently ^rb++++=frequently
co ^vb++++=co-occur
- ^zz++++=EXTRAWORD
occur ^vb++++=EXTRAWORD
with ^in++++=with
imperatives ^nns++++=imperatives
and ^cc++++=and
to ^to++++=to
- ^zz++++=-infinite
infinite ^jj+atrb+++=EXTRAWORD
clauses ^nns++++=clauses
to ^to++++=to
minimise ^vbi++++=minimise
the ^ati++++=the
imposition ^nn++++=imposition
of ^in++++=of
directives ^nns+++??+=directives,
, ^zz++++=EXTRAWORD
procedures ^nns++++=procedures
and ^cc++++=and
explanations ^nns++++=explanations
in ^in++++=in
academic ^jj+atrb+++=academic
speeches ^nns++++=speeches
( ^zz++++=(
Lindemann ^np++++=Lindemann
and ^cc++++=and
Mauranen ^np+++??+=Mauranen,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
; ^zz++++=;
Deroey ^np+++??+=Deroey
and ^cc++++=and
Taverniers ^np+++??+=Taverniers,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
and ^cc+cls+++=and
Grant ^nn++++=Grant,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
written ^jj+atrb++xvbn+=written
language ^nn++++=language,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
was ^vbd+bedz+aux++=was
most ^ql+emph+++=most
commonly ^rb++++=commonly
used ^md"++pmd"++=used
to ^to++++=to
express ^vb++++=express
exclusiveness ^nns+++??+=exclusiveness
in ^in++++=in
fiction ^nn++++=fiction
( ^zz++++=(
Aijmer ^np++++=Aijmer,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
exclusive ^jj+atrb+++=exclusive
use ^nn++++=use
of ^in++++=of
just ^rb+emph+++=just
restricts ^vbz++++=restricts
the ^ati++++=the
reference ^nn++++=reference
to ^in++++=to
the ^ati++++=the
proposition ^nn++++=proposition
just ^rb+emph+++=just
modifies ^vbz++++=modifies
and ^cc++++=and
excludes ^nns+++??+=excludes
all ^abn++++=all
other ^ap++++=other
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
set ^nn+++xvbn+=set
of ^in++++=of
referents ^nns+++??+=referents.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
meanings ^nns++++=meanings
of ^in++++=of
just ^rb+emph+++=just
in ^in++++=in
fictions ^nn++++=fictions
tended ^vbd+++xvbn+=tended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
textual ^jj+pred+++=textual
, ^zz++++=,
interacting ^jj++++=interacting
with ^in++++=with
contextual ^nn+++??+=contextual
features ^nns++++=features
to ^to++++=to
build ^vbi++++=build
up ^rp++++=up
rhetorical ^jj+atrb+++=rhetorical
stances ^nns+++??+=stances
in ^in++++=in
threats ^nns++++=threats,
, ^zz++++=EXTRAWORD
praise ^vb++++=praise
and ^cc++++=and
polite ^jj+atrb+++=polite
requests ^nns++++=requests.
. ^zz++++=EXTRAWORD
Charles ^np++++=Charles
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
analysed ^vprf+++xvbn+=analysed
how ^wrb+who+++=how
just ^rb+emph+++=just
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
restrictive ^jj+atrb+++=restrictive
adverb ^nn++++=adverb
in ^in++++=in
theses ^nns++++=theses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
just ^rb+emph+++=just
commonly ^rb++++=commonly
co ^nn++++=co-occurs
- ^zz++++=EXTRAWORD
occurs ^vbz++++=EXTRAWORD
with ^in++++=with
negation ^nn+++??+=negation
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
) ^zz++++=),
, ^zz++++=EXTRAWORD
markers ^nns++++=markers
of ^in++++=of
contrast ^nn++++=contrast
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
) ^zz++++=)
and ^cc++++=and
markers ^nns++++=markers
of ^in++++=of
reason ^nn++++=reason/consequence
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
) ^zz++++=)
to ^to++++=to
help ^vbi++++=help
writers ^nns++++=writers
to ^to++++=to
justify ^vb++++=justify
their ^pp$+pp3+++=their
stances ^nns++++=stances.
. ^zz++++=EXTRAWORD
