Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
few ^ap++++=few
studies ^nns++++=studies
of ^in++++=of
Japanese ^jj+atrb+++=Japanese
learners ^nns++++=learners
have ^vb+hv+aux++=have
focussed ^vprf+++xvbnx+=focussed
on ^in++++=on
their ^pp$+pp3+++=their
acquisition ^nn++++=acquisition
of ^in++++=of
incongruent ^nn+++??+=incongruent
English ^jj+atrb+++=English
collocations ^nns+++??+=collocations
with ^in++++=with
Japanese ^nn++++=Japanese
in ^in++++=in
free ^jj+atrb+++=free
production ^nn++++=production
data ^nns++++=data,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^cs+sub+++=as
written ^jj+atrb++xvbn+=written
essays ^nns++++=essays.
. ^zz++++=EXTRAWORD
Test ^nn++++=Test
results ^nns++++=results
from ^in++++=from
receptive ^jj+atrb+++=receptive
collocation ^nn+++??+=collocation
studies ^nns++++=studies
do ^vb+do+aux++=do
not ^xnot++not++=not
necessarily ^rb++++=necessarily
reflect ^vb+vprv+++=reflect
learners ^nns++++=learners
collocational ^jj+atrb++??+=collocational
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
tests ^nns++++=tests
did ^vbd+dod+aux++=did
not ^xnot++not++=not
gather ^vb+vprv+++=gather
data ^nns++++=data
on ^in++++=on
learners ^nns++++=learners
spontaneous ^jj+atrb+++=spontaneous
use ^nn++++=use
of ^in++++=of
collocation ^nn+++??+=collocation.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
a ^at++++=a
more ^rbr++++=more
authentic ^jj+atrb+++=authentic
method ^nn++++=method
of ^in++++=of
exploring ^xvbg+++xvbg+=exploring
learners ^nns++++=learners
knowledge ^nn++++=knowledge
of ^in++++=of
incongruent ^nn+++??+=incongruent
collocations ^nns+++??+=collocations
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
understand ^vbi+vprv+++=understand
their ^pp$+pp3+++=their
acquisition ^nn++++=acquisition
of ^in++++=of
such ^abl++++=such
knowledge ^nn++++=knowledge
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Since ^rb++++=Since
incongruent ^nn+++??+=incongruent
English ^jj+atrb+++=English
collocations ^nns+++??+=collocations
in ^in++++=in
high ^jj++++=high-frequency
- ^zz++++=EXTRAWORD
frequency ^nn++++=EXTRAWORD
verbs ^nns++++=verbs
often ^rb++++=often
have ^vb+hv+aux++=have
delexical ^nn+++??+=delexical
uses ^vbz++++=uses,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
focusses ^nns+++??+=focusses
on ^in++++=on
these ^dt+dem+++=these
as ^ql++++=as
representations ^nns++++=representations
of ^in++++=of
incongruent ^nn++++=incongruent
collocations ^nns++++=collocations
with ^in++++=with
japanese ^nn++++=Japanese.
. ^zz++++=EXTRAWORD
