Since ^cs+sub+++=Since
this ^dt+dem+++=this
study ^nn++++=study
requires ^vbz++++=requires
as ^ql++++=as
much ^ap++++=much
usage ^nn++++=usage
as ^in++++=as
possible ^nn++++=possible
for ^in++++=for
comparison ^nn++++=comparison,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
extracted ^vbd+++xvbn+=extracted
all ^rb++++=all
the ^ati++++=the
make ^vb++++=make
+ ^zz++++=+
noun ^nn++++=noun
collocation ^nn++++=collocation
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
ens ^nns++++=ens
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
