One ^cd1++++=One
concern ^nn++++=concern
about ^in++++=about
previous ^jj+atrb+++=previous
surveys ^nns++++=surveys
of ^in++++=of
recombination ^nn+++??+=recombination
in ^in++++=in
mitochondria ^nn+++??+=mitochondria
using ^vwbg+++xvbg+=using
Sanger ^np+++??+=Sanger
sequences ^nns++++=sequences
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Piganeau ^np+++??+=Piganeau
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Tsaousis ^np+++??+=Tsaousis
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
) ^zz++++=)
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
these ^dt+dem+++=these
data ^nns++++=data
may ^md+pos+++=may
be ^vb+be+aux++=be
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
nuclear ^jj+atrb+++=nuclear
insertions ^nns++++=insertions
of ^in++++=of
mitochondrial ^nn+++??+=mitochondrial
sequence ^nn++++=sequence
( ^zz++++=(NUMTs).
numts ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
high ^np++++=high
coverage ^nn++++=coverage
of ^in++++=of
our ^pp$+pp1+++=our
Wgs ^np+++??+=WGS
data ^nns++++=data
( ^zz++++=(
Som ^np++++=SOM
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
S1 ^np+++??+=S1
) ^zz++++=)
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
Numts ^np+++??+=NUMTs
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
certainly ^rb++++=certainly
small ^jj++++=small
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
data ^nns++++=data
analyzed ^nn+++??+=analyzed
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
identified ^vbd+++xvbn+=identified
a ^at++++=a
convincing ^jj+atrb+++=convincing
signature ^nn++++=signature
of ^in++++=of
four ^cd++++=four
recombination ^nn+++??+=recombination
events ^nns++++=events
in ^in++++=in
two ^cd++++=two
mitochondrial ^nn+++??+=mitochondrial
genomes ^nns+++??+=genomes
from ^in++++=from
Genbank ^np+++??+=GenBank
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
our ^pp$+pp1+++=our
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
222 ^cd++++=222
genomes ^nns+++??+=genomes
we ^pp1a+pp1+++=we
included ^vbd+++xvbn+=included.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
four ^cd++++=four
events ^nns++++=events
( ^zz++++=(event
event ^nn++++=EXTRAWORD
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
geographical ^jj+atrb+++=geographical
proximity ^nn++++=proximity
in ^in++++=in
extant ^jj+atrb+++=extant
ranges ^nns++++=ranges
and ^cc++++=and
diverged ^vprf+++xvbn+=diverged
phylogenetic ^jj+atrb+++=phylogenetic
relationships ^nns++++=relationships
of ^in++++=of
the ^ati++++=the
putative ^nn+++??+=putative
parental ^jj+atrb+++=parental
sequences ^nns++++=sequences.
