Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
important ^jj++++=important
and ^cc+phrs+++=and
complex ^jj+atrb+++=complex
behavioral ^jj+atrb+++=behavioral
dynamics ^nn++++=dynamics
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
stressed ^vpsv++agls+xvbnx+=stressed
for ^in++++=for
the ^ati++++=the
Mis ^npt++++=MIS
3 ^zz++++=3
at ^in++++=at
Ounjougou ^np+++??+=Ounjougou
and ^cc++++=and
Yawa ^np+++??+=Yawa
in ^in++++=in
Mali ^np+++??+=Mali,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
to ^in++++=to
date ^nn++++=date
the ^ati++++=the
best ^jjt++++=best-documented
- ^zz++++=EXTRAWORD
documented ^vbd+++xvbn+=EXTRAWORD
chrono ^np++++=chrono-cultural
- ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=EXTRAWORD
sequence ^nn+nom+++=sequence
for ^in++++=for
this ^dt+dem+++=this
period ^nn++++=period
in ^in++++=in
West ^np+pl+++=West
Africa ^np++++=Africa
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
; ^zz++++=;
Soriano ^np+++??+=Soriano
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
Extremely ^rb+amp+++=Extremely
varied ^jj+atrb++xvbn+=varied
technologies ^nns+++??+=technologies
were ^vbd+bed+aux++=were
discovered ^vpsv++agls+xvbnx+=discovered
at ^rb++++=at
different ^jj+atrb+++=different
locations ^nns+nom+++=locations
including ^in++++=including
bipolar ^nn+++??+=bipolar-on-anvil,
- ^zz++++=EXTRAWORD
on ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
anvil ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Levallois ^np+++??+=Levallois
and ^cc++++=and
algorithmic ^jj+atrb+++=algorithmic
reduction ^nn+nom+++=reduction
strategies ^nns+++??+=strategies
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
blade ^nn++++=blade
productions ^nns+nom+++=productions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
show ^vb+vprv+++=show
the ^ati++++=the
inconstancy ^nn+++??+=inconstancy
of ^in++++=of
bifacial ^jj+atrb+++=bifacial
foliate ^nn+nom+++=foliate
point ^nn++++=point
and ^cc++++=and
heavy ^jj+atrb+++=heavy
scraper ^nn++++=scraper
productions ^nns+nom+++=productions.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
highly ^rb+amp+++=highly
diversified ^vbd+++xvbn+=diversified
technologies ^nns+++??+=technologies
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
their ^pp$+pp3+++=their
rapid ^jj+atrb+++=rapid
rhythm ^nn++++=rhythm
of ^in++++=of
change ^nn++++=change
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
the ^ati++++=the
authors ^nns++++=authors
to ^to++++=to
suggest ^vbi+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
Sahel ^np+++??+=Sahel
experienced ^vbd+++xvbn+=experienced
regular ^jj+atrb+++=regular
population ^nn+nom+++=population
movements ^nns+nom+++=movements
during ^in++++=during
Mis ^npt++++=MIS
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
ubiquity ^nn+nom+++=ubiquity
of ^in++++=of
the ^ati++++=the
Aterian ^np+++??+=Aterian
in ^in++++=in
North ^np+pl+++=North
Africa ^np++++=Africa
and ^cc++++=and
the ^ati++++=the
Sahara ^np++++=Sahara
for ^in++++=for
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period
( ^zz++++=(
Soriano ^np++++=Soriano
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
also ^rb++++=also
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
cultural ^jj+atrb+++=cultural
stability ^nn+nom+++=stability
recently ^rb+tm+++=recently
suggested ^vbd+vpub++xvbn+=suggested
for ^in++++=for
the ^ati++++=the
coastal ^jj+atrb+++=coastal
occupation ^nn+nom+++=occupation
of ^in++++=of
Ti ^np+++??+=Ti
massas ^nns+++??+=massas
where ^wrb+who+++=where
the ^ati++++=the
assemblages ^nns+nom+++=assemblages,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
Levallois ^np+++??+=Levallois
and ^cc++++=and
discoid ^nn+++??+=discoid
productions ^nns+nom+++=productions,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
remained ^vprf+++xvbnx+=remained
unchanged ^jj++++=unchanged
from ^in++++=from
62 ^cd++++=62
to ^to++++=to
25 ^cd++++=25
ka ^nn+++??+=ka
( ^zz++++=(
Niang ^np++++=Niang
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
raise ^vb++++=raise
the ^ati++++=the
question ^nn+nom+++=question
of ^in++++=of
a ^at++++=a
possibly ^rb++++=possibly
different ^jj+atrb+++=different
behavioral ^jj+atrb+++=behavioral
evolution ^nn+nom+++=evolution
between ^in++++=between
inland ^jjb+atrb+++=inland
and ^cc+phrs+++=and
coastal ^jj+atrb+++=coastal
areas ^nns++++=areas
of ^in++++=of
West ^np+pl+++=West
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
a ^at++++=a
reminder ^nn+nom+++=reminder
that ^tht+vcmp+subj++=that
isolated ^xvbn+++xvbn+=isolated
sites ^nns++++=sites
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
yield ^vbi++++=yield
an ^at++++=an
erroneous ^jj+atrb+++=erroneous
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
diversity ^nn+nom+++=diversity
of ^in++++=of
cultural ^jj+atrb+++=cultural
expressions ^nns++++=expressions,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
lack ^nn++++=lack
thereof ^rb+cnj+++=thereof,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
given ^jj+atrb+++=given
period ^nn++++=period.
. ^zz++++=EXTRAWORD
