Modern ^jj+atrb+++=Modern
humans ^nns++++=humans
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
singular ^nn++++=singular
point ^nn++++=point
of ^in++++=of
origin ^nn++++=origin
in ^in++++=in
time ^nn++++=time
or ^cc++++=or
space ^nn++++=space;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
modern ^jj+atrb+++=modern
humans ^nns++++=humans
have ^vb+hv+vrb++=have
multiple ^jj+atrb+++=multiple
ancestors ^nns++++=ancestors
and ^cc++++=and
multiple ^jj+atrb+++=multiple
origins ^nns++++=origins,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
gene ^np++++=gene
flow ^nn++++=flow
maintains ^vbz+vpub+++=maintains
shared ^jj+atrb++xvbn+=shared
similarities ^nns+nom+++=similarities
across ^in+pl+++=across
continents ^nns++++=continents.
. ^zz++++=EXTRAWORD
Gene ^np++++=Gene
exchange ^nn++++=exchange,
, ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
it ^pp3+it+++=it
as ^ql++++=as
introgression ^vb+++??+=introgression
or ^cc++++=or
gene ^np++++=gene
flow ^nn++++=flow,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
maintained ^vpsv++agls+xvbnx+=maintained
between ^in++++=between
archaic ^jj+atrb+++=archaic
populations ^nns+nom+++=populations
and ^cc++++=and
modern ^jj+atrb+++=modern
populations ^nns+nom+++=populations;
; ^zz++++=EXTRAWORD
gene ^np++++=gene
exchange ^nn++++=exchange
is ^vbz+bez+aux++=is
also ^rb++splt++=also
maintained ^vpsv++agls+xvbnx+=maintained
between ^in++++=between
different ^jj+atrb+++=different
regional ^jj+atrb+++=regional
populations ^nns+nom+++=populations
while ^cs+sub+++=while
local ^jj+atrb+++=local
extinctions ^nns+nom+++=extinctions
and ^cc++++=and
replacements ^nns+nom+++=replacements
shaped ^vbd+++xvbn+=shaped
regional ^jj+atrb+++=regional
evolutionary ^jj+atrb+++=evolutionary
histories ^nns++++=histories
( ^zz++++=(
eller ^np++++=Eller
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=).
. ^zz++++=EXTRAWORD
