Research ^nn++++=Research
on ^in++++=on
variation ^nn++++=variation
in ^in++++=in
cortisol ^nn+++??+=cortisol
levels ^nns++++=levels
during ^in++++=during
development ^nn++++=development
in ^in++++=in
modern ^jj+atrb+++=modern
human ^jj+atrb+++=human
children ^nns++++=children
is ^vbz+bez+aux++=is
largely ^rb++splt++=largely
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
Western ^jj+atrb+++=Western
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
resource ^nn++++=resource
availability ^nn++++=availability
and ^cc++++=and
medical ^jj+atrb+++=medical
support ^nn++++=support
for ^in++++=for
child ^nn++++=child-rearing
- ^zz++++=EXTRAWORD
rearing ^nn++++=EXTRAWORD
are ^vb+ber+vrb++=are
comparatively ^rb++++=comparatively
abundant ^jj+pred+++=abundant,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^to++++=to
reduced ^vbi++++=reduced
exposure ^nn++++=exposure
to ^in++++=to
ecological ^nn+++??+=ecological
stressors ^nns+++??+=stressors
and ^cc++++=and
mother ^nn++++=mother-offspring
- ^zz++++=EXTRAWORD
offspring ^nn++++=EXTRAWORD
conflict ^nn++++=conflict
( ^zz++++=(
Wudy ^np++++=Wudy
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=).
. ^zz++++=EXTRAWORD
Ethical ^jj+atrb+++=Ethical
and ^cc+phrs+++=and
practical ^jj+atrb+++=practical
considerations ^nns++++=considerations
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
constrain ^vb+++??+=constrain
future ^jjb+atrb+++=future
research ^nn++++=research
efforts ^nns++++=efforts
in ^in++++=in
children ^nns++++=children
of ^in++++=of
other ^ap++++=other
populations ^nns++++=populations
in ^in++++=in
which ^whp+rel+pied++=which
patterns ^nns++++=patterns
of ^in++++=of
mother ^nn++++=mother-offspring
- ^zz++++=EXTRAWORD
offspring ^nn++++=EXTRAWORD
conflict ^nn++++=conflict
and ^cc++++=and
associated ^vbd+++xvbn+=associated
cortisol ^nn+++??+=cortisol
patterns ^nns++++=patterns
may ^md+pos+++=may
be ^vb+be+vrb++=be
more ^ql++++=more
varied ^jj+++xvbn+=varied
than ^in++++=than
existing ^xvbg+++xvbg+=existing
data ^nns++++=data
from ^in++++=from
Western ^jj+atrb+++=Western
children ^nns++++=children
( ^zz++++=(
Hens ^np++++=Hens
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
direct ^jj+atrb+++=direct
interspecific ^nn+++??+=interspecific
and ^cc++++=and
intraspecific ^nn+++??+=intraspecific
comparisons ^nns++++=comparisons
of ^in++++=of
cortisol ^nn+++??+=cortisol
levels ^nns++++=levels
in ^in++++=in
appropriate ^jj+atrb+++=appropriate
nonhuman ^nn+++??+=nonhuman
animal ^nn++++=animal
models ^nns++++=models
enable ^vb++++=enable
the ^ati++++=the
examination ^nn++++=examination
of ^in++++=of
physiological ^jj+atrb+++=physiological
plasticity ^nn++++=plasticity
to ^in++++=to
species ^nns++++=species
or ^cc++++=or
population ^nn++++=population
specific ^jj+atrb+++=specific
maternal ^jj+atrb+++=maternal
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
ecological ^nn+++??+=ecological
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
resource ^nn++++=resource
availability ^nn++++=availability,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
during ^in++++=during
periods ^nns++++=periods
of ^in++++=of
mother ^nn++++=mother-offspring
- ^zz++++=EXTRAWORD
offspring ^nn++++=EXTRAWORD
and ^cc++++=and/or
sibling ^nn++++=sibling
conflict ^nn++++=conflict.
. ^zz++++=EXTRAWORD
