Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
review ^nn++++=review
the ^ati++++=the
fossil ^nn++++=fossil
record ^nn++++=record,
, ^zz++++=EXTRAWORD
articulate ^jj++++=articulate
the ^ati++++=the
status ^nn++++=status
of ^in++++=of
current ^jj+atrb+++=current
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
delineate ^nn+nom+++=delineate
the ^ati++++=the
points ^nns++++=points
of ^in++++=of
contention ^nn+nom+++=contention.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
hope ^vb++++=hope
this ^dt+dem+++=this
review ^nn++++=review
is ^vbz+bez+vrb++=is
helpful ^jj+pred+++=helpful
in ^in++++=in
moving ^xvbg+++xvbg+=moving
discussions ^nns++++=discussions
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
begin ^vb++++=begin
with ^in++++=with
the ^ati++++=the
evidence ^nn+nom+++=evidence
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
period ^nn++++=period
of ^in++++=of
hominin ^nn++++=hominin
habitation ^nn+nom+++=habitation
in ^in++++=in
asia ^np++++=Asia.
. ^zz++++=EXTRAWORD
