One ^cd1++++=One
might ^md+pos+++=might
be ^vb+be+aux++=be
tempted ^vpsv++agls+xvbnx+=tempted
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
Pedersen ^np++++=Pedersen's
's ^$++++=EXTRAWORD
work ^nn++++=work
as ^ql++++=as
a ^at++++=a
pronouncement ^nn+nom+++=pronouncement
on ^in++++=on
a ^at++++=a
necessarily ^rb++++=necessarily
incomplete ^jj++++=incomplete,
, ^zz++++=EXTRAWORD
early ^jj++++=early
twenty ^cd++++=twenty-first-century
- ^zz++++=EXTRAWORD
first ^od++++=EXTRAWORD
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
approximation ^nn+nom+++=approximation
of ^in++++=of
shamanic ^jj+atrb+++=shamanic
traditions ^nns+nom+++=traditions
gone ^vwbn+++xvbn+=gone
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
distinguished ^j+++xvbn+=distinguished
somehow ^rb++++=somehow
only ^rb+down+++=only
by ^in++++=by
their ^pp$+pp3+++=their
pallor ^nn++++=pallor.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
to ^to++++=to
do ^vbi++++=do
so ^ql++++=so
would ^md+prd+++=would
miss ^vb++++=miss
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
more ^rbr++++=more
important ^jj+atrb+++=important
parts ^nns++++=parts
of ^in++++=of
Pedersen ^np++++=Pedersen's
's ^$++++=EXTRAWORD
Mongolian ^np+++??+=Mongolian
example ^nn++++=example,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
challenges ^vbz++++=challenges
us ^pp1o+pp1+++=us
on ^in++++=on
questions ^nns+nom+++=questions
of ^in++++=of
shamanic ^jj+atrb+++=shamanic
form ^nn++++=form,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
crucial ^jj+atrb+++=crucial
role ^nn++++=role
that ^tht+rel+++=that
intellectual ^jj+atrb+++=intellectual
histories ^nns++++=histories
of ^in++++=of
shamanism ^nn+nom+++=shamanism
have ^vb+hv+aux++=have
played ^vprf+++xvbnx+=played
in ^in++++=in
the ^ati++++=the
colonial ^jj+atrb+++=colonial
encounter ^nn+nom+++=encounter,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
making ^jj+++xvbg+=making
of ^in++++=of
anthropology ^nn++++=anthropology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
projections ^nns+nom+++=projections
of ^in++++=of
political ^jj+atrb+++=political
life ^nn++++=life
writ ^nn++++=writ
large ^jj++++=large.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
explore ^vb++++=explore
that ^dt+dem+++=that
role ^nn++++=role
and ^cc++++=and
attempt ^nn++++=attempt
to ^to+ncmp+++=to
theorize ^vb++++=theorize
its ^pp$+it+++=its
enduring ^jj+atrb+++=enduring
attraction ^nn+nom+++=attraction.
. ^zz++++=EXTRAWORD
