One ^cd1++++=One
particular ^jj+atrb+++=particular
trade ^nn++++=trade-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi++vrb++=have
implications ^nns++++=implications
for ^in++++=for
disease ^nn++++=disease
is ^vbz+bez+vrb++=is
between ^in++++=between
tolerance ^nn++++=tolerance
and ^cc++++=and
resistance ^nn++++=resistance
. ^zz++++=.
In ^in++++=In
the ^ati++++=the
ecological ^nn+++??+=ecological
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
resistance ^nn++++=resistance
is ^vbz+bez+vrb++=is
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
fight ^vbi++++=fight
off ^rb+phrv+++=off
an ^at++++=an
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
tolerance ^nn++++=tolerance
is ^vbz+bez+vrb++=is
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
withstand ^vbi++++=withstand
an ^at++++=an
infection ^nn++++=infection
without ^in++++=without
suffering ^xvbg+++xvbg+=suffering
fitness ^nn++++=fitness
costs ^nns++++=costs
( ^zz++++=(
Graham ^np++++=Graham
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011
, ^zz++++=,
Kutzer ^np+++??+=Kutzer
& ^zz++++=&
Armitage ^np++++=Armitage
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
theory ^nn++++=theory,
, ^zz++++=EXTRAWORD
a ^at++++=a
host ^nn++++=host
might ^md+pos+++=might
be ^vb+be+vrb++=be
both ^abx++++=both
tolerant ^jj++++=tolerant
of ^in++++=of
and ^cc++++=and
resistant ^jj++++=resistant
to ^in++++=to
an ^at++++=an
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
aspects ^nns++++=aspects
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
trade ^vbi++++=trade
off ^in+pl+++=off
( ^zz++++=(
Jackson ^np++++=Jackson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014
, ^zz++++=,
R ^zz++++=R
berg ^np++++=berg
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=)
because ^cs+cos+++=because
tolerance ^nn++++=tolerance,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ecological ^nn+++??+=ecological
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
involves ^vbz++++=involves
immunological ^jj+atrb++??+=immunological
tolerance ^nn++++=tolerance,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
moderation ^nn++++=moderation
of ^in++++=of
an ^at++++=an
immune ^jj+atrb+++=immune
response ^nn++++=response
to ^in++++=to
an ^at++++=an
antigen ^nn++++=antigen
( ^zz++++=(
Medzhitov ^np++++=Medzhitov
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Hosts ^nns++++=Hosts
are ^vb+ber+vrb++=are
good ^jj+pred+++=good
at ^in++++=at
resisting ^xvbg+++xvbg+=resisting
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
mount ^vb++++=mount
a ^at++++=a
strong ^jj+atrb+++=strong
immune ^jj+atrb+++=immune
response ^nn++++=response
against ^in++++=against
an ^at++++=an
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
strong ^jj+atrb+++=strong
immune ^jj+atrb+++=immune
response ^nn++++=response
tends ^vbz++++=tends
to ^to+vcmp+++=to
cause ^vbi++++=cause
immunopathology ^nn+++??+=immunopathology
and ^cc++++=and
is ^vbz+bez+vrb++=is
energetically ^nn+++??+=energetically
costly ^jj++++=costly.
. ^zz++++=EXTRAWORD
Hosts ^nns++++=Hosts
are ^vb+ber+vrb++=are
best ^jjt+pred+++=best
at ^in++++=at
tolerating ^nn+++??+=tolerating
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
limit ^vb++++=limit
their ^pp$+pp3+++=their
immune ^jj+atrb+++=immune
responses ^nns++++=responses
to ^in++++=to
those ^dt+dem+++=those
necessary ^jj++++=necessary
to ^to+jcmp+++=to
keep ^vbi++++=keep
an ^at++++=an
infection ^nn++++=infection
from ^in++++=from
worsening ^nn+++??+=worsening,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
minimizing ^vbg+++xvbg+=minimizing
both ^abx++++=both
pathology ^nn++++=pathology
caused ^vwbn+++xvbn+=caused
by ^in++++=by
the ^ati++++=the
parasite ^nn++++=parasite
and ^cc++++=and
immunopathology ^nn++++=immunopathology
( ^zz++++=(
figure ^nn++++=Figure
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
