Research ^nn++++=Research
on ^in++++=on
carcerality ^nn+++??+=carcerality
remains ^vbz++++=remains
undertaken ^vbd+++xvbn+=undertaken
primarily ^rb+down+++=primarily
by ^in++++=by
disciplines ^nns++++=disciplines
other ^ap++++=other
than ^in++++=than
anthropology ^nn++++=anthropology.
. ^zz++++=EXTRAWORD
In ^in++++=In
their ^pp$+pp3+++=their
acknowledgment ^nn++++=acknowledgment
of ^in++++=of
this ^dt+dem+++=this
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
anthropologists ^nns++++=anthropologists
have ^vb+hv+aux++=have
suggested ^vprf+++xvbnx+=suggested
possible ^jj+atrb+++=possible
reasons ^nns++++=reasons.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
other ^ap++++=other
academic ^jj+atrb+++=academic
disciplines ^nns++++=disciplines
have ^vb+hv+aux++=have
historically ^rb++splt++=historically
been ^vprf+ben+aux+xvbnx+=been
involved ^vpsv++agls+xvbnx+=involved
with ^in++++=with
crime ^nn++++=crime
and ^cc++++=and
punishment ^nn++++=punishment,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
normalizing ^nn+++??+=normalizing,
, ^zz++++=EXTRAWORD
classificatory ^jj+atrb+++=classificatory
agendas ^nns++++=agendas
of ^in++++=of
nineteenth ^od++++=nineteenth-century
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
institutions ^nns++++=institutions
( ^zz++++=(
Rhodes ^np++++=Rhodes
2001 ^cd++++=2001
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
66 ^cd++++=66);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
additionally ^nn+++??+=additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
national ^jj+atrb+++=national
security ^nn++++=security
state ^nn++++=state
priorities ^nns++++=priorities
on ^in++++=on
anthropology ^nn++++=anthropology's
's ^$++++=EXTRAWORD
own ^ap++++=own
disciplinary ^nn+++??+=disciplinary
development ^nn++++=development
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
engendered ^vwbn+++xvbn+=engendered
much ^ap++++=much
attention ^nn++++=attention
to ^in++++=to
anthropologists ^nns++++=anthropologists
relations ^nns++++=relations
with ^in++++=with
the ^ati++++=the
state ^nn++++=state
( ^zz++++=(
Gusterson ^np++++=Gusterson
2007 ^cd++++=2007
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
156 ^cd++++=156).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Investigations ^nns++++=Investigations
of ^in++++=of
social ^jj+atrb+++=social
