Different ^jj+atrb+++=Different
techniques ^nns++++=techniques
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
examining ^xvbg+++xvbg+=examining
primate ^nn++++=primate
remains ^nns++++=remains
in ^in++++=in
the ^ati++++=the
zooarchaeological ^nn+++??+=zooarchaeological
record ^nn++++=record.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Ottoni ^np+++??+=Ottoni
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
studied ^vprf+++xvbn+=studied
the ^ati++++=the
oral ^jj+atrb+++=oral
microbiome ^nn+++??+=microbiome
of ^in++++=of
mummified ^nn+++??+=mummified
hamadryas ^nns+++??+=hamadryas
baboons ^nns+++??+=baboons
at ^rb++++=at
Gabbanat ^np+++??+=Gabbanat
el ^np++++=el-Qurud
- ^zz++++=EXTRAWORD
qurud ^nn+++??+=EXTRAWORD
( ^zz++++=(Egypt)
egypt ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
by ^in++++=by
analyzing ^nn+++??+=analyzing
dental ^jj+atrb+++=dental
calculus ^nns+++??+=calculus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
determined ^vbd+++xvbn+=determined
that ^tht+vcmp+++=that
the ^ati++++=the
baboons ^nns+++??+=baboons
diet ^nn++++=diet
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
only ^rb+down+++=only
omnivorous ^vb+++??+=omnivorous
but ^cc++++=but
also ^rb++++=also
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
captive ^jj+atrb+++=captive
condition ^nn++++=condition.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Armitage ^np++++=Armitage
( ^zz++++=(1983)
1983 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
presented ^vbd+++xvbn+=presented
the ^ati++++=the
first ^od++++=first
report ^vb++++=report
of ^in++++=of
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
capuchin ^nn+++??+=capuchin
monkeys ^nns++++=monkeys
in ^in++++=in
the ^ati++++=the
zooarchaeological ^nn+++??+=zooarchaeological
record ^nn++++=record
of ^in++++=of
seventeenth ^od++++=seventeenth-century
- ^zz++++=EXTRAWORD
century ^nn++++=EXTRAWORD
London ^np++++=London.
. ^zz++++=EXTRAWORD
X ^zz++++=X-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
analysis ^nn++++=analysis
showed ^vbd+vprv++xvbn+=showed
osteoporosis ^nns+++??+=osteoporosis,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
indicate ^vbi+vprv+++=indicate
precarious ^jj+atrb+++=precarious
captive ^nn++++=captive
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
Osypi ^np+++??+=Osypi
ska ^nn+++??+=ska
& ^zz++++=&
Osypi ^np+++??+=Osypi
ski ^nn+++??+=ski
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
the ^ati++++=the
existence ^nn++++=existence
of ^in++++=of
juvenile ^jj+atrb+++=juvenile
baboons ^nns+++??+=baboons
and ^cc++++=and
vervets ^nns+++??+=vervets
in ^in++++=in
a ^at++++=a
Roman ^jj+atrb+++=Roman
pet ^nn++++=pet
cemetery ^nn++++=cemetery
dated ^jj++++=dated
from ^in++++=from
the ^ati++++=the
first ^rb++++=first
to ^in++++=to
the ^ati++++=the
second ^od++++=second
century ^nn++++=century
Ad ^&fw++++=AD
in ^in++++=in
the ^ati++++=the
Egyptian ^jj+atrb+++=Egyptian
port ^npl++++=port
of ^in++++=of
Berenike ^np+++??+=Berenike
on ^in++++=on
the ^ati++++=the
Red ^jj+atrb+++=Red
Sea ^nn++++=Sea.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
3d ^cd++++=3D
scanning ^vbg+++xvbg+=scanning
reidentified ^nn+++??+=reidentified
these ^dt+dem+++=these
remains ^nns++++=remains
as ^ql++++=as
rhesus ^vbz+++??+=rhesus
and ^cc++++=and
bonnet ^nn++++=bonnet
macaques ^nns+++??+=macaques.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
evidence ^nn++++=evidence
of ^in++++=of
Asian ^nn++++=Asian
primates ^nns+++??+=primates
traded ^vbd+++xvbn+=traded
into ^in++++=into
africa ^np++++=Africa
( ^zz++++=(
osypinska ^np++++=Osypinska
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=).
. ^zz++++=EXTRAWORD
