One ^cd1++++=One
effect ^nn++++=effect
of ^in++++=of
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
ecosystems ^nns+++??+=ecosystems
are ^vb+ber+aux++=are
changing ^vbg+++xvbgx+=changing
so ^ql++++=so
rapidly ^rb++++=rapidly
that ^cs+sub+++=that
the ^ati++++=the
past ^jjb++++=past
is ^vbz+bez+vrb++=is
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
guide ^nn++++=guide
to ^in++++=to
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
Ethnographies ^np+++??+=Ethnographies
of ^in++++=of
fire ^nn++++=fire
scientists ^nns++++=scientists
and ^cc++++=and
fire ^nn++++=fire
managers ^nns++++=managers,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
increasing ^vbg+++xvbg+=increasing
droughts ^nns+++??+=droughts
and ^cc++++=and
heat ^nn++++=heat
waves ^nns++++=waves
are ^vb+ber+vrb++=are
destabilizing ^nn+++??+=destabilizing
people ^nns++++=people's
's ^$++++=EXTRAWORD
capacities ^nns++++=capacities
to ^to++++=to
predict ^vbi+vpub+++=predict
how ^wrb+who+whcl++=how
forest ^nn++++=forest
fires ^nns++++=fires
will ^md+prd+++=will
behave ^vb++++=behave
in ^in++++=in
California ^np++++=California
( ^zz++++=(
Petryna ^np++++=Petryna
2018 ^cd++++=2018
) ^zz++++=)
and ^cc++++=and
in ^in++++=in
Australia ^np++++=Australia
( ^zz++++=(
Nyquist ^np++++=Nyquist
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Action ^nn++++=Action
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
such ^abl++++=such
uncertain ^jj+atrb+++=uncertain
futures ^nns+++??+=futures
requires ^vbz++++=requires
a ^at++++=a
kind ^nn++++=kind
of ^in++++=of
speculative ^jj+atrb+++=speculative
commitment ^nn++++=commitment
to ^to+ncmp+++=to
a ^at++++=a
conceptual ^jj+atrb+++=conceptual
horizon ^nn++++=horizon
( ^zz++++=(Petryna)
petryna ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
regime ^nn++++=regime
( ^zz++++=(Nyquist)
nyquist ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
fire ^nn++++=fire
managers ^nns++++=managers
can ^md+pos+++=can
link ^vb++++=link
to ^in++++=to
their ^pp$+pp3+++=their
experience ^nn++++=experience
of ^in++++=of
fire ^nn++++=fire
and ^cc++++=and
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
Concepts ^nns++++=Concepts
such ^abl++++=such
as ^ql++++=as
regimes ^nns++++=regimes
or ^cc++++=or
horizons ^nns++++=horizons
build ^nn++++=build
on ^in++++=on
phenomenological ^nn+++??+=phenomenological
approaches ^nns++++=approaches
to ^in++++=to
human ^jj+atrb+++=human
experience ^nn++++=experience
of ^in++++=of
the ^ati++++=the
environment ^nn++++=environment
( ^zz++++=(
Ingold ^np++++=Ingold
2011a ^cd++++=2011a
, ^zz++++=,
c ^zz++++=c
) ^zz++++=)
but ^cc++++=but
seek ^vb++++=seek
analytic ^jj+atrb++??+=analytic
categories ^nns++++=categories
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
farther ^rbr++++=farther
from ^in++++=from
phenomenological ^nn+++??+=phenomenological
experience ^nn++++=experience,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
Zee ^np++++=Zee's
's ^$++++=EXTRAWORD
description ^nn++++=description
of ^in++++=of
moving ^xvbg+++xvbg+=moving
sand ^nn++++=sand
dunes ^nns++++=dunes
and ^cc++++=and
desertification ^nn+++??+=desertification
in ^in++++=in
China ^np++++=China
that ^tht+rel+subj++=that
inspire ^vb++++=inspire
multiple ^jj++++=multiple
imagined ^vbn+vprv+++=imagined
futures ^nns++++=futures
( ^zz++++=(
zee ^ati++++=Zee
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
