Using ^vbg+++xvbg+=Using
a ^at++++=a
less ^rbr++++=less
stringent ^jj++++=stringent
9 ^zz++++=9-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
( ^zz++++=(
4 ^zz++++=4
days ^nns++++=days)
) ^zz++++=EXTRAWORD
matching ^nvbg+++xvbg+=matching
window ^nn++++=window
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
7 ^zz++++=7-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
window ^nn++++=window
adds ^vbz+vpub+++=adds
an ^at++++=an
additional ^jj+atrb+++=additional
match ^nn++++=match
to ^to++++=to
5d3a ^cd++++=5D3A
s ^zz++++=s
maximum ^nn++++=maximum
swelling ^nn+nom+++=swelling
and ^cc++++=and
mate ^nn++++=mate-guarding
- ^zz++++=EXTRAWORD
guarding ^nvbg+++xvbg+=EXTRAWORD
at ^rb++++=at
age ^nn++++=age
3.56 ^cd++++=3.56
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
additional ^jj++++=additional
three ^cd++++=three
matches ^nns++++=matches
to ^to++++=to
captures ^vbi++++=captures
( ^zz++++=(at
at ^rb++++=EXTRAWORD
ages ^nns++++=ages
2.26 ^cd++++=2.26
years ^nns++++=years,
, ^zz++++=EXTRAWORD
3.05 ^cd++++=3.05
years ^nns++++=years,
, ^zz++++=EXTRAWORD
7.67 ^cd++++=7.67
years ^nns++++=years;
; ^zz++++=EXTRAWORD
table ^nn++++=Table
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
