Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
refer ^vb++++=refer
to ^in++++=to
Chinese ^nn+nom+++=Chinese
and ^cc++++=and
Indian ^jj+atrb+++=Indian
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
as ^ql++++=as
different ^jj+atrb+++=different
subspecies ^nns+++??+=subspecies
solely ^rb++++=solely
to ^to++++=to
avoid ^vbi++++=avoid
more ^rbr++++=more
confusing ^jj+atrb++xvbg+=confusing
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
group ^nn++++=group
or ^cc++++=or
population ^nn+nom+++=population
. ^zz++++=.
Our ^pp$+pp1+++=Our
analyses ^nns++++=analyses
are ^vb+ber+aux++=are
not ^xnot++not++=not
intended ^vbd+vsua++xvbn+=intended
to ^to+vcmp+++=to
address ^nns+nom+++=address
the ^ati++++=the
validity ^nn+nom+++=validity
or ^cc+cls+++=or
otherwise ^rb+cnj+++=otherwise
of ^in++++=of
that ^dt+dem+++=that
taxonomic ^jj+atrb+++=taxonomic
designation ^nn+nom+++=designation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
differences ^nns+nom+++=differences
between ^in++++=between
extant ^jj+atrb+++=extant
Chinese ^nn+nom+++=Chinese
and ^cc++++=and
Indian ^jj+atrb+++=Indian
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
subspecies ^nns+++??+=subspecies,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
the ^ati++++=the
molecular ^jj+atrb+++=molecular
and ^cc+phrs+++=and
physiological ^jj+atrb+++=physiological
differences ^nns+nom+++=differences,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
studied ^vpsv++agls+xvbnx+=studied
extensively ^rb++++=extensively
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
species ^nn++++=species'
' ^zz++++=EXTRAWORD
role ^nn++++=role
as ^in++++=as
a ^at++++=a
biomedical ^jj+atrb+++=biomedical
model ^nn++++=model.
. ^zz++++=EXTRAWORD
Chinese ^jj++++=Chinese-derived
- ^zz++++=EXTRAWORD
derived ^xvbn+++xvbn+=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
has ^vbz+hvz+vrb++=has
greater ^jjr+atrb+++=greater
genetic ^jj+atrb+++=genetic
heterozygosity ^nn+nom+++=heterozygosity
( ^zz++++=(
Smith ^np++++=Smith
and ^cc++++=and
Mcdonough ^np+++??+=Mcdonough,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
; ^zz++++=;
Ferguson ^np++++=Ferguson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Kanthaswamy ^np+++??+=Kanthaswamy
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=)
and ^cc++++=and
morphological ^jj+atrb+++=morphological
diversity ^nn+nom+++=diversity
( ^zz++++=(
Fooden ^np++++=Fooden,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
) ^zz++++=)
than ^in++++=than
Indian ^jj++++=Indian-derived
- ^zz++++=EXTRAWORD
derived ^xvbn+++xvbn+=EXTRAWORD
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
Smith ^np++++=Smith
and ^cc++++=and
Mcdonough ^np+++??+=Mcdonough
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
pairwise ^rb++++=pairwise
differences ^nns+nom+++=differences
between ^in++++=between
Indian ^jj+atrb+++=Indian
M ^zz++++=M.
. ^zz++++=EXTRAWORD
mulatta ^nn+++??+=mulatta
populations ^nns+nom+++=populations
to ^to++++=to
be ^vbi++vrb++=be
half ^abn++++=half
as ^ql++++=as
great ^np++++=great
as ^in++++=as
between ^in"++++=between
comparable ^jj+atrb+++=comparable
pairs ^nns++++=pairs
of ^in++++=of
human ^jj+atrb+++=human
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
extremely ^rb+amp+++=extremely
low ^jj+atrb+++=low
levels ^nns++++=levels
of ^in++++=of
genetic ^jj+atrb+++=genetic
variation ^nn+nom+++=variation
in ^in++++=in
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
( ^zz++++=(
Smith ^np++++=Smith
and ^cc++++=and
