Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
Arecaceae ^np+++??+=Arecaceae
( ^zz++++=(palms)
palms ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
specific ^jj+atrb+++=specific
morphotype ^nn+++??+=morphotype:
: ^zz++++=EXTRAWORD
spheroid ^nn+++??+=spheroid
echinate ^nn+nom+++=echinate
. ^zz++++=.
In ^in++++=In
our ^pp$+pp1+++=our
studied ^vprf+++xvbn+=studied
area ^nn++++=area,
, ^zz++++=EXTRAWORD
palms ^nns++++=palms
have ^vb+hv+aux++=have
mainly ^rb++splt++=mainly
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
gallery ^nn+nom+++=gallery
forests ^nns++++=forests
of ^in++++=of
the ^ati++++=the
fal ^np++++=Fal
m ^zz++++=m
valley ^npl++++=Valley,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
remain ^vb++++=remain
sparse ^nn++++=sparse.
. ^zz++++=EXTRAWORD
