Modern ^jj+atrb+++=Modern
humans ^nns++++=humans
in ^in++++=in
Asia ^np++++=Asia,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
to ^in++++=to
existence ^nn++++=existence
from ^in++++=from
a ^at++++=a
dynamic ^jj+atrb+++=dynamic
admixture ^nn++++=admixture
with ^in++++=with
local ^jj+atrb+++=local
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
originating ^nn+++??+=originating
as ^ql++++=as
a ^at++++=a
new ^jj+atrb+++=new
single ^jj+atrb+++=single
species ^nn++++=species
from ^in++++=from
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
A ^at++++=A
model ^nn++++=model
that ^tht+rel+obj++=that
posits ^nns+++??+=posits
Homo ^np+++??+=Homo
sapiens ^nns+++??+=sapiens
as ^ql++++=as
a ^at++++=a
new ^jj+atrb+++=new
species ^nns++++=species
replacing ^vwbg+++xvbg+=replacing
every ^at++++=every
population ^nn++++=population
( ^zz++++=(outside
outside ^jjb++++=EXTRAWORD
Africa ^np++++=Africa)
) ^zz++++=EXTRAWORD
without ^in++++=without
any ^dti++++=any
genetic ^jj+atrb+++=genetic
exchange ^nn++++=exchange
is ^vbz+bez+vrb++=is
refuted ^nn+++??+=refuted;
; ^zz++++=EXTRAWORD
admixed ^nn+++??+=admixed
populations ^nns++++=populations
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
evolution ^nn++++=evolution
of ^in++++=of
modern ^jj+atrb+++=modern
humans ^nns++++=humans.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mixture ^nn++++=mixture
of ^in++++=of
archaic ^jj+atrb+++=archaic
and ^cc+phrs+++=and
modern ^jj+atrb+++=modern
features ^nns++++=features
can ^md+pos+++=can
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
ancestry ^nn+++??+=ancestry
( ^zz++++=(or
or ^cc++++=EXTRAWORD
introgression ^nn++++=introgression,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
two ^cd++++=two
different ^jj+atrb+++=different
species ^nn++++=species).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
