Due ^jj++++=Due
to ^in+jcmp+++=to
logistical ^jj+atrb++??+=logistical
difficulties ^nns++++=difficulties
in ^in++++=in
accessing ^nn+++??+=accessing
our ^pp$+pp1+++=our
study ^nn++++=study
sites ^nns++++=sites
during ^in++++=during
the ^ati++++=the
wet ^jj+atrb+++=wet
season ^nn++++=season
, ^zz++++=,
only ^rb+down+++=only
Bci ^np+++??+=BCI
was ^vbd+bedz+aux++=was
surveyed ^vpsv++agls+xvbnx+=surveyed
over ^in++++=over
a ^at++++=a
complete ^jj+atrb+++=complete
annual ^jj+atrb+++=annual
cycle ^nn++++=cycle.
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
capuchins ^nns+++??+=capuchins
are ^vb+ber+aux++=are
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
come ^vbi++++=come
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground
more ^rbr++++=more
frequently ^rb++++=frequently
during ^in++++=during
certain ^jj+atrb+++=certain
times ^nns++++=times
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
e.g ^rb++++=e.g.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
dry ^jj+atrb+++=dry
season ^nn++++=season
in ^in++++=in
Costa ^np++++=Costa
Rican ^np+++??+=Rican
tropical ^jj+atrb+++=tropical
dry ^jj+atrb+++=dry
forest ^nn++++=forest
( ^zz++++=(
Freese ^np++++=Freese,
, ^zz++++=EXTRAWORD
1978 ^cd+date+++=1978
) ^zz++++=)
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
wet ^jj+atrb+++=wet
season ^nn++++=season
in ^in++++=in
Panamanian ^np+++??+=Panamanian
lowland ^nn++++=lowland
tropical ^jj+atrb+++=tropical
moist ^jj+atrb+++=moist
forest ^nn++++=forest
( ^zz++++=(M.C.C.,
m.c.c ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unpublished ^jj+atrb+++=unpublished
data ^nns++++=data)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
consider ^vbi+vprv+++=consider
if ^cs+cnd+++=if
and ^cc+cls+++=and
how ^wrb+who+++=how
such ^abl++++=such
differences ^nns++++=differences
in ^in++++=in
sampling ^nn++++=sampling
may ^md+pos+++=may
have ^vb+hv+vrb++=have
impacted ^nn+++??+=impacted
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
our ^pp$+pp1+++=our
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Patterns ^nns++++=Patterns
of ^in++++=of
seasonality ^nn+++??+=seasonality
in ^in++++=in
terrestrial ^jj+atrb+++=terrestrial
behavior ^nn++++=behavior
do ^vb+do+aux++=do
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
differ ^vbi++++=differ
across ^in+pl+++=across
our ^pp$+pp1+++=our
study ^nn++++=study
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
On ^in++++=On
Jicaron ^np+++??+=Jicaron
and ^cc++++=and
Coiba ^np+++??+=Coiba,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
terrestrial ^nn++++=terrestrial
detections ^vbz+++??+=detections
occurred ^vprf+++xvbn+=occurred
during ^in++++=during
dry ^jj+atrb+++=dry
season ^nn++++=season
months ^nns++++=months
( ^zz++++=(60%
60 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
and ^cc++++=and
59 ^cd++++=59%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
consider ^vb+vprv+tht0++=consider
data ^nns++++=data
taken ^vwbn+++xvbn+=taken
during ^in++++=during
the ^ati++++=the
matching ^jj+atrb++xvbg+=matching
time ^nn++++=time
frame ^nn++++=frame
on ^in++++=on
Bci ^np+++??+=BCI,
, ^zz++++=EXTRAWORD
the ^ati++++=the
opposite ^jj+atrb+++=opposite
pattern ^nn++++=pattern
emerges ^vbz++++=emerges:
: ^zz++++=EXTRAWORD
only ^rb+down+++=only
41 ^cd++++=41%
% ^zz++++=EXTRAWORD
of ^in++++=of
terrestrial ^jj+atrb+++=terrestrial
detections ^nns+++??+=detections
on ^in++++=on
Bci ^np+++??+=BCI
occurred ^vbd+++xvbn+=occurred
during ^in++++=during
dry ^jj+atrb+++=dry
season ^nn++++=season
months ^nns++++=months,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
majority ^nn++++=majority
( ^zz++++=(59%)
59 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
took ^vbd+++xvbn+=took
place ^nn++++=place
during ^in++++=during
wet ^jj+atrb+++=wet
season ^nn++++=season
months ^nns++++=months.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
these ^dt+dem+++=these
patterns ^nns++++=patterns
reflect ^vb+vprv+++=reflect
real ^jj+atrb+++=real
differences ^nns++++=differences
in ^in++++=in
how ^wrb+who+++=how
capuchins ^nns+++??+=capuchins
on ^in++++=on
Coiba ^np+++??+=Coiba,
, ^zz++++=EXTRAWORD
Jicaron ^np+++??+=Jicaron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bci ^np+++??+=BCI
respond ^vb++++=respond
to ^in++++=to
seasonal ^jj+atrb+++=seasonal
variation ^nn++++=variation,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
may ^md+pos+++=may
provide ^vb+vsua+++=provide
an ^at++++=an
avenue ^nn++++=avenue
for ^in++++=for
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors
that ^tht+rel+subj++=that
draw ^vb++++=draw
capuchins ^nns+++??+=capuchins
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
cannot ^md+pos+not++=cannot
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
finding ^vb+++xvbg+=finding
that ^tht+vcmp+++=that
capuchins ^nns+++??+=capuchins
on ^in++++=on
Jicaron ^np+++??+=Jicaron
and ^cc++++=and
Coiba ^np+++??+=Coiba
use ^nn++++=use
the ^ati++++=the
ground ^nn++++=ground
much ^ap++++=much
more ^rbr++++=more
extensively ^rb++++=extensively
than ^in++++=than
capuchins ^nns+++??+=capuchins
on ^in++++=on
Bci ^np+++??+=BCI.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
period ^nn++++=period
from ^in++++=from
February ^nr++++=February
through ^in++++=through
June ^nr++++=June,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
an ^at++++=an
order ^nn++++=order
of ^in++++=of
magnitude ^nn++++=magnitude
more ^rbr++++=more
