Arena ^nn++++=Arena
2 ^zz++++=2:
: ^zz++++=EXTRAWORD
Orientation ^nn++++=Orientation
responses ^nns++++=responses
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
corredori ^nn+++??+=corredori,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
ferroae ^nn+++??+=ferroae
and ^cc++++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
herreri ^nn+++??+=herreri
to ^in++++=to
an ^at++++=an
odorous ^jj++++=odorous
still ^rb+atrb+++=still
air ^nn++++=air
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
in ^in++++=in
a ^at++++=a
square ^jj+atrb+++=square
glass ^nn++++=glass
arena ^nn++++=arena
( ^zz++++=(29
29 ^cd++++=EXTRAWORD
x ^zz++++=x
29 ^cd++++=29
cm ^nnu++++=cm).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
living ^jj+++xvbg+=living
fifth ^od++++=fifth
instar ^nn+++??+=instar
B ^zz++++=B.
. ^zz++++=EXTRAWORD
giganteus ^nns+++??+=giganteus
was ^vbd+bedz+aux++=was
confined ^vpsv++agls+xvbnx+=confined
in ^in++++=in
an ^at++++=an
opaque ^nn+++??+=opaque-black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
cardboard ^nn++++=cardboard
box ^nn++++=box
( ^zz++++=(length
length ^rb++++=EXTRAWORD
6.5 ^cd++++=6.5,
, ^zz++++=EXTRAWORD
wide ^jj++++=wide
8 ^zz++++=8
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
height ^nn++++=height
2.5 ^cd++++=2.5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
in ^in++++=in
the ^ati++++=the
center ^nn+++??+=center
of ^in++++=of
a ^at++++=a
side ^nn++++=side
( ^zz++++=(Fig
fig ^nn++++=EXTRAWORD
1b ^cd++++=1B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
box ^nn++++=box
facing ^vwbg+++xvbg+=facing
the ^ati++++=the
center ^nn+++??+=center
of ^in++++=of
the ^ati++++=the
arena ^nn++++=arena
had ^vb+hv+vrb++=had
12 ^cd++++=12
holes ^nns++++=holes
( ^zz++++=(dia.
dia ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2 ^zz++++=2
mm ^nnu++++=mm).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
similar ^jj+atrb+++=similar
empty ^jj+atrb+++=empty
box ^nn++++=box
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
as ^ql++++=as
a ^at++++=a
control ^nn++++=control
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
bug ^nn++++=bug
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
a ^at++++=a
central ^jj++++=central
3 ^zz++++=3
cm ^nnu++++=cm
circle ^nn++++=circle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bug ^nn++++=bug,
, ^zz++++=EXTRAWORD
initially ^rb+tm+++=initially
covered ^vwbn+++xvbn+=covered
with ^in++++=with
a ^at++++=a
circular ^jj+atrb+++=circular
Petri ^np+++??+=Petri
dish ^nn++++=dish
( ^zz++++=(2.8
2.8 ^cd++++=EXTRAWORD
cm ^nnu++++=cm),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
released ^vpsv++agls+xvbnx+=released
after ^in++++=after
2 ^zz++++=2
min ^nnu++++=min
of ^in++++=of
adaptation ^nn++++=adaptation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
noted ^vbd+vprv++xvbn+=noted
which ^wdt+who+whcl++=which
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
arena ^nn++++=arena
the ^ati++++=the
insect ^nn++++=insect
preferred ^vbd+++xvbn+=preferred
during ^in++++=during
a ^at++++=a
5 ^zz++++=5
minute ^nn++++=minute
period ^nn++++=period.
. ^zz++++=EXTRAWORD
A ^at++++=A
bug ^nn++++=bug
was ^vbd+bedz+aux++=was
