Zhang ^np+++??+=Zhang
and ^cc++++=and
colleagues ^nns++++=colleagues
( ^zz++++=(49)
49 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
conditions ^nns++++=conditions
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
mental ^jj+atrb+++=mental
health ^nn++++=health
of ^in++++=of
children ^nns++++=children
with ^in++++=with
Adhd ^np+++??+=ADHD
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
outbreak ^nn++++=outbreak.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
outbreak ^nn++++=outbreak
of ^in++++=of
Covid19 ^np+++??+=COVID19,
, ^zz++++=EXTRAWORD
Adhd ^np+++??+=ADHD
symptoms ^nns++++=symptoms
in ^in++++=in
children ^nns++++=children
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
worse ^jjr++++=worse
compared ^jj+++xvbn+=compared
to ^in++++=to
normal ^jj++++=normal.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
alerted ^vbd+++xvbn+=alerted
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
focusing ^nn+++??+=focusing
on ^in++++=on
special ^jj+atrb+++=special
vulnerable ^jj+atrb+++=vulnerable
groups ^nns++++=groups
during ^in++++=during
the ^ati++++=the
outbreak ^nn++++=outbreak.
. ^zz++++=EXTRAWORD
Attention ^nn++++=Attention
is ^vbz+bez+aux++=is
needed ^vpsv++agls+xvbnx+=needed
to ^to+vcmp+++=to
identify ^vbi++++=identify
an ^at++++=an
appropriate ^jj+atrb+++=appropriate
approach ^nn++++=approach
for ^in++++=for
children ^nns++++=children
with ^in++++=with
adhd ^np++++=ADHD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
disaster ^nn++++=disaster
risk ^nn++++=risk
reduction ^nn++++=reduction
activities ^nns++++=activities.
. ^zz++++=EXTRAWORD
