Arena ^nn++++=Arena
3 ^zz++++=3:
: ^zz++++=EXTRAWORD
Triatomine ^np+++??+=Triatomine
responses ^nns++++=responses
to ^in++++=to
an ^at++++=an
odorous ^jj+atrb+++=odorous
air ^nn++++=air
current ^nn++++=current
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
in ^in++++=in
a ^at++++=a
Y ^zz++++=Y-tube
- ^zz++++=EXTRAWORD
tube ^nn++++=EXTRAWORD
dual ^jj+atrb+++=dual
choice ^nn++++=choice
olfactometer ^vb+++??+=olfactometer
made ^vbd+++xvbn+=made
of ^in++++=of
glass ^nn++++=glass
( ^zz++++=(Fig
fig ^nn++++=EXTRAWORD
1c ^cd++++=1C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
Belminus ^np+++??+=Belminus
species ^nn++++=species
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
separately ^rb++++=separately
against ^in++++=against
volatiles ^nns+++??+=volatiles
emanating ^vwbg+++xvbg+=emanating
from ^in++++=from
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
living ^jj+atrb++xvbg+=living
cockroaches ^nns+++??+=cockroaches,
, ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
cockroach ^nn++++=cockroach
feces ^nns+++??+=feces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
mouse ^nn++++=mouse
feces ^nns+++??+=feces.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
triatomine ^nn+++??+=triatomine
bug ^nn++++=bug
was ^vbd+bedz+aux++=was
allowed ^vpsv++agls+xvbnx+=allowed
to ^to+vcmp+++=to
a ^at++++=a)
) ^zz++++=EXTRAWORD
walk ^nn++++=walk
upwind ^nn+++??+=upwind
in ^in++++=in
the ^ati++++=the
stem ^nn++++=stem
( ^zz++++=(length
length ^rb++++=EXTRAWORD
22 ^cd++++=22
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
i.d ^nn+++??+=i.d.
. ^zz++++=EXTRAWORD
2.370 ^cd++++=2.370
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
e.d ^nn+++??+=e.d
2.804 ^cd++++=2.804
cm ^nnu++++=cm),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
junction ^nn++++=junction,
, ^zz++++=EXTRAWORD
b ^zz++++=b)
) ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=made
a ^at++++=a
choice ^nn++++=choice
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
arms ^nns++++=arms
( ^zz++++=(length
length ^rb++++=EXTRAWORD
13 ^cd++++=13
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Y ^zz++++=Y-olfactometer.
- ^zz++++=EXTRAWORD
olfactometer ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Orientation ^nn++++=Orientation
was ^vbd+bedz+vrb++=was
quantified ^nn+++??+=quantified
by ^in++++=by
recording ^xvbg+++xvbg+=recording
triatomines ^nns+++??+=triatomines
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
All ^abn++++=All
individuals ^nns++++=individuals
walked ^vbd+++xvbn+=walked
from ^in++++=from
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
Y ^zz++++=Y
olfactometer ^nn+++??+=olfactometer
and ^cc++++=and
made ^vbd+++xvbn+=made
a ^at++++=a
decision ^nn++++=decision.
. ^zz++++=EXTRAWORD
A ^at++++=A
preliminary ^jj+atrb+++=preliminary
spatial ^jj+atrb+++=spatial
control ^nn++++=control
experiment ^nn++++=experiment
with ^in++++=with
two ^cd++++=two
clean ^jj+atrb+++=clean
arms ^nns++++=arms
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
to ^in++++=to
test ^nn++++=test
asymmetries ^nns+++??+=asymmetries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns++++=differences
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
A ^at++++=A
pump ^nn++++=pump
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
draw ^vb++++=draw
charcoal ^nn++++=charcoal-filtered
- ^zz++++=EXTRAWORD
filtered ^vbd+++xvbn+=EXTRAWORD
air ^nn++++=air
( ^zz++++=(stimulus
stimulus ^nn++++=EXTRAWORD
controller ^nn++++=controller,
, ^zz++++=EXTRAWORD
Cs55 ^np+++??+=CS55,
, ^zz++++=EXTRAWORD
Syntech ^np+++??+=Syntech)
) ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
two ^cd++++=two
arms ^nns++++=arms
( ^zz++++=(10
10 ^cd++++=EXTRAWORD
2 ^zz++++=2
cm ^nnu++++=cm/s
airspeed ^nn+++??+=airspeed
as ^cs+sub+++=as
measured ^vpsv++by+xvbn+=measured
by ^in++++=by
a ^at++++=a
hot ^jj++++=hot-wire
- ^zz++++=EXTRAWORD
wire ^nn++++=EXTRAWORD
anemometer ^nn++++=anemometer,
, ^zz++++=EXTRAWORD
2440 ^cd++++=2440,
, ^zz++++=EXTRAWORD
Kurtz ^np+++??+=Kurtz,
, ^zz++++=EXTRAWORD
accuracy ^nn++++=accuracy
0.01 ^nn+++??+=0.01
m ^zz++++=m/s),
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
connected ^vpsv++agls+xvbnx+=connected
to ^in++++=to
a ^at++++=a
500 ^cd++++=500
ml ^nnu++++=ml
glass ^nn++++=glass
gas ^nn++++=gas-wash
- ^zz++++=EXTRAWORD
wash ^nn++++=EXTRAWORD
bottle ^nn++++=bottle
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
odor ^nn+++??+=odor
source ^nn++++=source;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
one ^cd1++++=one
held ^vbd+vprv++xvbn+=held
a ^at++++=a
similar ^jj++++=similar
clean ^jj++++=clean
( ^zz++++=(control)
control ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
bottle ^nn++++=bottle.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
airstreams ^vbz+++??+=airstreams
reached ^vprf+++xvbn+=reached
the ^ati++++=the
Y ^zz++++=Y
stem ^nn++++=stem
( ^zz++++=(23
23 ^cd++++=EXTRAWORD
2 ^zz++++=2
C ^zz++++=C
and ^cc++++=and
70 ^cd++++=70
% ^zz++++=%
Rh ^&fo++++=RH
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
a ^at++++=a
thermo ^nn+++??+=thermo-hygrometer,
- ^zz++++=EXTRAWORD
hygrometer ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Ea80 ^np+++??+=EA80,
, ^zz++++=EXTRAWORD
Extech ^np+++??+=Extech
Instruments ^nns++++=Instruments,
, ^zz++++=EXTRAWORD
accuracy ^nn++++=accuracy
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
Rh ^&fo++++=RH
and ^cc++++=and
1 ^zz++++=1
C ^zz++++=C).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Tubes ^nns++++=Tubes,
, ^zz++++=EXTRAWORD
fittings ^nns++++=fittings
and ^cc++++=and
valves ^nns++++=valves
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
polytetrafluoroethylene ^nn+++??+=polytetrafluoroethylene
( ^zz++++=(PTFE,
ptfe ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
International ^jj+atrb+++=International
Polymer ^np+++??+=Polymer
Solutions ^nns++++=Solutions
Inc ^jj++++=Inc).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Headspace ^np+++??+=Headspace
odors ^nns+++??+=odors
i.e ^rb++++=i.e.
. ^zz++++=EXTRAWORD
volatiles ^nns+++??+=volatiles
emanating ^vwbg+++xvbg+=emanating
from ^in++++=from
the ^ati++++=the
vapor ^nn+++??+=vapor
phase ^nn++++=phase
above ^in+pl+++=above
the ^ati++++=the
sample ^nn++++=sample
in ^in++++=in
a ^at++++=a
vial ^nn+++??+=vial
were ^vbd+bed+aux++=were
tested ^vpsv++by+xvbnx+=tested
by ^in++++=by
placing ^xvbg+++xvbg+=placing
the ^ati++++=the
odorous ^jj+atrb+++=odorous
samples ^nns++++=samples
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
next ^ap++++=next
section ^nn++++=section)
) ^zz++++=EXTRAWORD
in ^in++++=in
500 ^cd++++=500
ml ^nnu++++=ml
glass ^nn++++=glass
gas ^nn++++=gas-wash
- ^zz++++=EXTRAWORD
wash ^nn++++=EXTRAWORD
bottles ^nns++++=bottles.
. ^zz++++=EXTRAWORD
Bottles ^nns++++=Bottles
were ^vbd+bed+aux++=were
left ^vpsv++agls+xvbnx+=left
to ^in++++=to
equilibrate ^nn+++??+=equilibrate
for ^in++++=for
at ^in++++=at
least ^ql++++=least
10 ^cd++++=10
min ^nnu++++=min
before ^in++++=before
blowing ^xvbg+++xvbg+=blowing
volatiles ^nns+++??+=volatiles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
additional ^jj++++=additional
15 ^cd++++=15
minutes ^nns++++=minutes
elapsed ^vwbn+++xvbn+=elapsed
between ^in++++=between
experiments ^nns++++=experiments
so ^ql++++=so
cockroaches ^nns+++??+=cockroaches
and ^cc++++=and
wastes ^nns++++=wastes
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
emit ^vbi++++=emit
more ^ql++++=more
volatiles ^nns+++??+=volatiles.
. ^zz++++=EXTRAWORD
Air ^nn++++=Air
blown ^vbd+++xvbn+=blown
over ^in++++=over
filter ^nn++++=filter
paper ^nn++++=paper
and ^cc++++=and
rice ^nn++++=rice
hulls ^nns++++=hulls
dampened ^nn+++??+=dampened
with ^in++++=with
5 ^zz++++=5
ml ^nnu++++=ml
of ^in++++=of
water ^nn++++=water
served ^vbd+++xvbn+=served
as ^ql++++=as
controls ^nns++++=controls
for ^in++++=for
cockroach ^nn++++=cockroach
feces ^nns+++??+=feces
and ^cc++++=and
mouse ^nn++++=mouse
wastes ^nns++++=wastes
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
The ^ati++++=The
control ^nn++++=control
for ^in++++=for
