Although ^cs+con+++=Although
both ^abx++++=both
groups ^nns++++=groups
presented ^vwbn+++xvbn+=presented
important ^jj+atrb+++=important
differences ^nns++++=differences
in ^in++++=in
the ^ati++++=the
results ^nns++++=results
obtained ^vwbn+++xvbn+=obtained
after ^in++++=after
intervention ^nn++++=intervention,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
statistically ^rb++splt++=statistically
guaranteed ^vpsv++agls+xvbnx+=guaranteed
that ^tht+vcmp+++=that
the ^ati++++=the
improvement ^nn++++=improvement
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
is ^vbz+bez+vrb++=is
solely ^rb++++=solely
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
this ^dt+dem+++=this
strategy ^nn++++=strategy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
further ^jjb+atrb+++=further
research ^nn++++=research
in ^in++++=in
the ^ati++++=the
topic ^nn++++=topic
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
longer ^rbr++++=longer
period ^nn++++=period
to ^to++++=to
confirm ^vbi+vpub+++=confirm
the ^ati++++=the
usefulness ^nn++++=usefulness
of ^in++++=of
the ^ati++++=the
proposal ^nn++++=proposal.
. ^zz++++=EXTRAWORD
