Eleven ^cd++++=Eleven
days ^nns++++=days
after ^in++++=after
hospital ^npl++++=hospital
discharge ^nn++++=discharge
( ^zz++++=(afebrile
afebrile ^nn+++??+=EXTRAWORD
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
1 ^zz++++=1
week ^nn++++=week),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
patient ^nn++++=patient
was ^vbd+bedz+aux++=was
readmitted ^vpsv++agls+xvbnx+=readmitted
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
2 ^zz++++=2-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
history ^nn++++=history
of ^in++++=of
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
acute ^jj++++=acute-onset
- ^zz++++=EXTRAWORD
onset ^nn++++=EXTRAWORD
right ^jj++++=right-sided
- ^zz++++=EXTRAWORD
sided ^nn+++??+=EXTRAWORD
back ^jjb+atrb+++=back
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respiratory ^jj+atrb+++=respiratory
discomfort ^nn++++=discomfort.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
Spo2 ^np+++??+=SpO2
was ^vbd+bedz+vrb++=was
93 ^cd++++=93%
% ^zz++++=EXTRAWORD
on ^in++++=on
room ^nn++++=room
air ^nn++++=air
and ^cc++++=and
> ^zz++++=>95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
after ^in++++=after
oxygen ^nn++++=oxygen
supplementation ^nn+++??+=supplementation
( ^zz++++=(1L/min)
1l ^cd++++=EXTRAWORD
by ^in++++=by
nasal ^jj+atrb+++=nasal
catheter ^nn++++=catheter.
. ^zz++++=EXTRAWORD
On ^in++++=On
examination ^nn++++=examination,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afebrile ^nn+++??+=afebrile,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
heart ^nn++++=heart
rate ^nn++++=rate
of ^in++++=of
113 ^cd++++=113
beats ^nns++++=beats/min,
blood ^nn++++=blood
pressure ^nn++++=pressure
of ^in++++=of
136 ^cd++++=136/85
mmhg ^nn+++??+=mmHg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respiratory ^jj+atrb+++=respiratory
rate ^nn++++=rate
of ^in++++=of
24 ^cd++++=24
breaths ^nns++++=breaths/min.
The ^ati++++=The
thoracic ^nn+++??+=thoracic
auscultation ^nn+++??+=auscultation
indicated ^vbd+vprv+tht0+xvbn+=indicated
bilaterally ^nn+++??+=bilaterally
reduced ^vwbn+++xvbn+=reduced
vesicular ^nn+++??+=vesicular
murmur ^nn++++=murmur
with ^in++++=with
bibasilar ^nn+++??+=bibasilar
crackles ^nns+++??+=crackles.
. ^zz++++=EXTRAWORD
Repeat ^nn++++=Repeat
non ^&fw++++=non-enhanced
- ^zz++++=EXTRAWORD
enhanced ^vbd+++xvbn+=EXTRAWORD
chest ^nn++++=chest
Ct ^np+++??+=CT
showed ^vbd+vprv++xvbn+=showed
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
bilateral ^nn+++??+=bilateral
and ^cc++++=and
multilobar ^jj+atrb++??+=multilobar
lung ^nn++++=lung
involvement ^nn++++=involvement
by ^in++++=by
predominantly ^rb++++=predominantly
peripheral ^jj+atrb+++=peripheral
multifocal ^nn+++??+=multifocal
opacities ^nns+++??+=opacities,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
consolidation ^nn++++=consolidation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
development ^nn++++=development
of ^in++++=of
sub ^nn++++=sub-pleural
- ^zz++++=EXTRAWORD
pleural ^nn+++??+=EXTRAWORD
lines ^nns++++=lines
and ^cc++++=and
newer ^jjr+atrb+++=newer
ground ^nn++++=ground-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
opacities ^nns+++??+=opacities
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
newly ^rb++++=newly
developed ^vprf+++xvbn+=developed
rightsided ^nn+++??+=rightsided
laminar ^nn+++??+=laminar
pleural ^nn+++??+=pleural
effusion ^nn+++??+=effusion
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed.
. ^zz++++=EXTRAWORD
An ^at++++=An
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
volume ^nn++++=volume
and ^cc++++=and
pulmonary ^jj+atrb++??+=pulmonary
trunk ^nn++++=trunk
diameter ^nn++++=diameter
relative ^nn++++=relative
to ^in++++=to
the ^ati++++=the
initial ^jj+atrb+++=initial
Ct ^np+++??+=CT
examination ^nn++++=examination
drew ^vbd+++xvbn+=drew
attention ^nn++++=attention.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Wells ^np++++=Wells
score ^nn++++=score
for ^in++++=for
Pe ^np+++??+=PE
was ^vbd+bedz+vrb++=was
< ^zz++++=<2
2 ^zz++++=EXTRAWORD
points ^nns++++=points.
. ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient
s ^zz++++=s
Wbc ^np+++??+=WBC
count ^nn++++=count
was ^vbd+bedz+vrb++=was
11090 ^cd++++=11090/mm3
( ^zz++++=(neutrophils,
neutrophils ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
8320 ^cd++++=8320/mm3;
lymphocytes ^nns+++??+=lymphocytes,
, ^zz++++=EXTRAWORD
1600 ^cd+date+++=1600/mm3;
monocytes ^nns+++??+=monocytes,
, ^zz++++=EXTRAWORD
1090 ^cd++++=1090/mm3),
hemoglobin ^nn+++??+=hemoglobin
level ^nn++++=level
was ^vbd+bedz+vrb++=was
13.9 ^cd++++=13.9
g ^zz++++=g/dL,
platelet ^nn+++??+=platelet
count ^npt++++=count
was ^vbd+bedz+vrb++=was
296000 ^cd++++=296000/mm3,
serum ^nn++++=serum
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
level ^nn++++=level
was ^vbd+bedz+vrb++=was
2317 ^cd++++=2317
ng ^nn+++??+=ng/mL
Fibrinogen ^np+++??+=Fibrinogen
Equivalent ^nn++++=Equivalent
Units ^nns++++=Units
( ^zz++++=(FEU;
feu ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
upper ^jjb++++=upper
limit ^vb++++=limit
of ^in++++=of
normal ^jj++++=normal,
, ^zz++++=EXTRAWORD
500 ^cd++++=500
ng ^nn+++??+=ng/mL
Feu ^nn++++=FEU),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
troponin ^nn+++??+=troponin
I ^pp1a+pp1+++=I
level ^nn++++=level
was ^vbd+bedz+vrb++=was
normal ^jj+pred+++=normal
( ^zz++++=(<0.16
< ^zz++++=EXTRAWORD
0.16 ^nn+++??+=EXTRAWORD
ng ^nn+++??+=ng/mL),
C ^zz++++=C-reaction
- ^zz++++=EXTRAWORD
reaction ^nn++++=EXTRAWORD
protein ^nn++++=protein
level ^nn++++=level
was ^vbd+bedz+vrb++=was
5.08 ^cd++++=5.08
mg ^nnu++++=mg/dL
( ^zz++++=(reference
reference ^nn++++=EXTRAWORD
value ^nn++++=value,
, ^zz++++=EXTRAWORD
< ^zz++++=<1.00
1.00 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/dL),
lactate ^nn+++??+=lactate
dehydrogenase ^nn+++??+=dehydrogenase
level ^nn++++=level
was ^vbd+bedz+vrb++=was
613 ^cd++++=613
U ^zz++++=U/L
( ^zz++++=(upper
upper ^jjb++++=EXTRAWORD
limit ^vb++++=limit
of ^in++++=of
normal ^jj++++=normal,
, ^zz++++=EXTRAWORD
480 ^cd++++=480
U ^zz++++=U/L),
prothrombin ^nn+++??+=prothrombin
time ^nn++++=time
was ^vbd+bedz+vrb++=was
14.2 ^cd++++=14.2
s ^zz++++=s
( ^zz++++=(reference
reference ^nn++++=EXTRAWORD
range ^nn++++=range,
, ^zz++++=EXTRAWORD
10.1 ^cd++++=10.1
12.8 ^cd++++=12.8
s ^zz++++=s),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
activated ^jj+atrb++??+=activated
partial ^jj+atrb+++=partial
thromboplastin ^nn+++??+=thromboplastin
time ^nn++++=time
was ^vbd+bedz+vrb++=was
28.9 ^cd++++=28.9
s ^zz++++=s
( ^zz++++=(reference
reference ^nn++++=EXTRAWORD
range ^nn++++=range,
, ^zz++++=EXTRAWORD
25.4 ^cd++++=25.4
33.4 ^cd++++=33.4
s ^zz++++=s).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
repeat ^vb++++=repeat
