Using ^vbg+++xvbg+=Using
concepts ^nns++++=concepts
that ^tht+rel+subj++=that
originate ^vb++++=originate
in ^in++++=in
Ie ^np+++??+=IE
rendered ^vbd+++xvbn+=rendered
visible ^jj+atrb+++=visible
gaps ^nns++++=gaps
in ^in++++=in
different ^jj+atrb+++=different
locations ^nns++++=locations
throughout ^in++++=throughout
the ^ati++++=the
health ^nn++++=health
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Starting ^nvbg+++xvbg+=Starting
from ^in++++=from
a ^at++++=a
particular ^jj+atrb+++=particular
standpoint ^nn++++=standpoint
and ^cc++++=and
articulating ^nn+++??+=articulating
a ^at++++=a
problematic ^nn+++??+=problematic
through ^in++++=through
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
realistic ^nn++++=realistic
accounts ^vbz++++=accounts
helped ^vprf+++xvbn+=helped
stakeholders ^nns+++??+=stakeholders
orient ^np++++=orient
to ^in++++=to
the ^ati++++=the
problem ^nn++++=problem
as ^ql++++=as
one ^pn++++=one
about ^in++++=about
relationships ^nns++++=relationships
between ^in++++=between
providers ^nns+++??+=providers,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
just ^rb+emph+++=just
technology ^vb++++=technology.
. ^zz++++=EXTRAWORD
Mapping ^nn++++=Mapping
enabled ^vbd+++xvbn+=enabled
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
potential ^jj+atrb+++=potential
consequences ^nns++++=consequences,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
danger ^nn++++=danger
that ^tht+rel+obj++=that
the ^ati++++=the
project ^nn++++=project
would ^md+prd+++=would
stagnate ^vb+++??+=stagnate
due ^jj++++=due
to ^in+jcmp+++=to
conflicting ^jj+atrb+++=conflicting
priorities ^nns++++=priorities
within ^in++++=within
the ^ati++++=the
health ^nn++++=health
authority ^nn++++=authority,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
new ^np++++=new
opportunities ^nns++++=opportunities,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
chance ^nn++++=chance
for ^in++++=for
Fps ^np+++??+=FPs
to ^to++++=to
send ^vbi++++=send
in ^in++++=in
patient ^nn++++=patient
information ^nn++++=information
upon ^in++++=upon
receipt ^nn++++=receipt
of ^in++++=of
an ^at++++=an
admission ^nn++++=admission
notification ^nn++++=notification
so ^ql++++=so
that ^cs+sub+++=that
their ^pp$+pp3+++=their
extensive ^jj+atrb+++=extensive
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
patient ^nn++++=patient
could ^md+pos+++=could
be ^vb+be+aux++=be
shared ^vpsv++agls+xvbnx+=shared.
. ^zz++++=EXTRAWORD
Pence ^nns++++=Pence
s ^zz++++=s
( ^zz++++=(2001)
2001 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
concept ^nn++++=concept
of ^in++++=of
processing ^xvbg+++xvbg+=processing
interchanges ^nns+++??+=interchanges
gave ^vbd+++xvbn+=gave
structure ^nn++++=structure
to ^in++++=to
the ^ati++++=the
informal ^jj+atrb+++=informal
conversations ^nns++++=conversations
and ^cc++++=and
using ^vbg+++xvbg+=using
auditing ^nn+++??+=auditing
procedures ^nns++++=procedures
enabled ^vbd+++xvbn+=enabled
me ^pp1o+pp1+++=me
to ^to++++=to
engage ^vbi++++=engage
with ^in++++=with
all ^abn++++=all
actors ^nns++++=actors
who ^whp+rel+subj++=who
could ^md+pos+++=could
be ^vb+be+aux++=be
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
the ^ati++++=the
solution ^nn++++=solution.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
Ie ^np+++??+=IE
procedures ^nns++++=procedures
enabled ^vbd+++xvbn+=enabled
challenges ^vbz++++=challenges
and ^cc++++=and
prospects ^nns++++=prospects
to ^to++++=to
be ^vbi+vbi+aux++=be
explicitly ^rb++splt++=explicitly
managed ^vpsv++agls+xvbnx+=managed
in ^in++++=in
early ^jj+atrb+++=early
stages ^nns++++=stages
of ^in++++=of
implementation ^nn++++=implementation,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
becoming ^xvbg+++xvbg+=becoming
obstacles ^nns++++=obstacles
to ^in++++=to
uptake ^nn++++=uptake
or ^cc++++=or
lost ^xvbn+++xvbn+=lost
opportunities ^nns++++=opportunities
in ^in++++=in
the ^ati++++=the
future ^nn++++=future.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
an ^at++++=an
essential ^jj+atrb+++=essential
consideration ^nn++++=consideration
in ^in++++=in
applied ^jj+atrb++xvbn+=applied
sociological ^jj+atrb+++=sociological
endeavors ^nns+++??+=endeavors,
, ^zz++++=EXTRAWORD
as ^ql++++=as
implementing ^jj+atrb++xvbg+=implementing
change ^nn++++=change
within ^in++++=within
existing ^xvbg+++xvbg+=existing
institutional ^jj+atrb+++=institutional
contexts ^nns++++=contexts
requires ^vbz++++=requires
sensitivity ^nn++++=sensitivity
to ^in++++=to
both ^abx++++=both
organizational ^jj+atrb+++=organizational
mandates ^nns++++=mandates
and ^cc++++=and
resource ^nn++++=resource
pressures ^nns++++=pressures.
. ^zz++++=EXTRAWORD
