One ^cd1++++=One
hypothesis ^nn++++=hypothesis
for ^in++++=for
Gmv ^np+++??+=GMV
is ^vbz+bez+vrb++=is
heterogamy ^nn+++??+=heterogamy
the ^ati++++=the
occurrence ^nn++++=occurrence
of ^in++++=of
homogametic ^nn+++??+=homogametic
sex ^nn++++=sex
chromosomes ^nns+++??+=chromosomes
in ^in++++=in
one ^cd1++++=one
sex ^nn++++=sex
and ^cc++++=and
heterogametic ^jj+atrb++??+=heterogametic
sex ^nn++++=sex
chromosomes ^nns+++??+=chromosomes
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
homogametic ^nn+++??+=homogametic
sex ^nn++++=sex
of ^in++++=of
such ^abl++++=such
species ^nns++++=species,
, ^zz++++=EXTRAWORD
the ^ati++++=the
traits ^nns++++=traits
affected ^vwbn+++xvbn+=affected
by ^in++++=by
the ^ati++++=the
sex ^nn++++=sex
chromosomes ^nns+++??+=chromosomes
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
averaging ^nn++++=averaging
of ^in++++=of
two ^cd++++=two
parental ^jj+atrb+++=parental
copies ^nns++++=copies,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
in ^in++++=in
the ^ati++++=the
heterogametic ^nn+++??+=heterogametic
sex ^nn++++=sex
the ^ati++++=the
effects ^nns++++=effects
are ^vb+ber+vrb++=are
not ^xnot++not++=not
averaged ^jj+++xvbn+=averaged.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heterogametic ^nn+++??+=heterogametic
sex ^nn++++=sex
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
exhibit ^vbi++++=exhibit
greater ^jjr+atrb+++=greater
variability ^nn++++=variability
in ^in++++=in
those ^dt+dem+++=those
traits ^nns++++=traits
than ^in++++=than
is ^vbz+bez+vrb++=is
the ^ati++++=the
homogametic ^nn+++??+=homogametic
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
explanation ^nn++++=explanation
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
well ^jj+pred+++=well
evidenced ^nn+++??+=evidenced
by ^in++++=by
a ^at++++=a
meta ^nn+++??+=meta-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
of ^in++++=of
body ^nn++++=body
size ^nn++++=size
measurements ^nns++++=measurements
for ^in++++=for
a ^at++++=a
diverse ^jj+atrb+++=diverse
range ^nn++++=range
of ^in++++=of
species ^nn++++=species
by ^in++++=by
Reinhold ^np++++=Reinhold
and ^cc++++=and
Engqvist ^np+++??+=Engqvist
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
who ^whp+rel+subj++=who
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
taxa ^vb+++??+=taxa
represented ^vbd+++xvbn+=represented
in ^in++++=in
the ^ati++++=the
data ^nns++++=data
set ^vbd+++xvbn+=set
where ^wrb+who+++=where
males ^nns++++=males
are ^vb+ber+vrb++=are
heterogametic ^nn+++??+=heterogametic
( ^zz++++=(mammals
mammals ^nns++++=EXTRAWORD
and ^cc++++=and
some ^dti++++=some
insects ^nns++++=insects),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
males ^nns++++=males
are ^vb+ber+vrb++=are
typically ^rb++++=typically
more ^rbr++++=more
variable ^nn++++=variable
in ^in++++=in
body ^nn++++=body
size ^nn++++=size
, ^zz++++=,
whereas ^cs+sub+++=whereas
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
taxa ^nn+++??+=taxa
with ^in++++=with
heterogametic ^nn+++??+=heterogametic
females ^nns++++=females
( ^zz++++=(birds
birds ^nns++++=EXTRAWORD
and ^cc++++=and
butterflies ^nns++++=butterflies),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
females ^nns++++=females
typically ^rb++++=typically
exhibit ^vb++++=exhibit
greater ^jjr+atrb+++=greater
variance ^nn++++=variance
( ^zz++++=(but
but ^cc++++=EXTRAWORD
see ^vb+vprv+++=see
Wyman ^np+++??+=Wyman
and ^cc++++=and
Rowe ^np++++=Rowe,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
branch ^nn++++=Branch
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
