Because ^cs+cos+++=Because
collagen ^nn+++??+=collagen
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
well ^jj+pred+++=well
preserved ^vbd+++xvbn+=preserved
in ^in++++=in
warmer ^jjr+atrb+++=warmer
climates ^nns++++=climates,
, ^zz++++=EXTRAWORD
analyses ^nns++++=analyses
on ^in++++=on
bone ^nn++++=bone
collagen ^nn+++??+=collagen
like ^in++++=like
the ^ati++++=the
ones ^pn++++=ones
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
have ^vb+hv+aux++=have
produced ^vprf+++xvbnx+=produced
data ^nns++++=data
mainly ^rb++++=mainly
on ^in++++=on
Neanderthals ^np+++??+=Neanderthals
that ^tht+rel+subj++=that
lived ^vprf+++xvbn+=lived
in ^in++++=in
colder ^jjr+atrb+++=colder
climates ^nns++++=climates
and ^cc++++=and
at ^in++++=at
higher ^jjr+atrb+++=higher
latitudes ^nns++++=latitudes.
. ^zz++++=EXTRAWORD
Neanderthal ^np+++??+=Neanderthal
remains ^nns++++=remains
from ^in++++=from
Atlantic ^np++++=Atlantic
Europe ^np++++=Europe
( ^zz++++=(
Bocherens ^np++++=Bocherens
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1991 ^cd+date+++=1991
, ^zz++++=,
1999 ^cd+date+++=1999
, ^zz++++=,
2001 ^cd++++=2001
, ^zz++++=,
2005 ^cd++++=2005
; ^zz++++=;
Fizet ^np+++??+=Fizet
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995
; ^zz++++=;
Beauval ^np+++??+=Beauval
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Richards ^np++++=Richards
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
; ^zz++++=;
Hublin ^np+++??+=Hublin
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
; ^zz++++=;
Wi ^np+++??+=Wi
ing ^nn+++??+=ing
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
, ^zz++++=,
2019 ^cd++++=2019
) ^zz++++=),
, ^zz++++=EXTRAWORD
Mediterranean ^np++++=Mediterranean
Europe ^np++++=Europe
( ^zz++++=(
Salazar ^np++++=Salazar-Garc
- ^zz++++=EXTRAWORD
garc ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=),
, ^zz++++=EXTRAWORD
Central ^jj+atrb+++=Central
Europe ^np++++=Europe
( ^zz++++=(
Richards ^np++++=Richards
and ^cc++++=and
Schmitz ^np+++??+=Schmitz,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
Balkans ^nps++++=Balkans
( ^zz++++=(
Smith ^np++++=Smith
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999
; ^zz++++=;
Richards ^np++++=Richards
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
; ^zz++++=;
Higham ^np+++??+=Higham
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Siberia ^np++++=Siberia
( ^zz++++=(
Krause ^np++++=Krause
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=)
have ^vb+hv+aux++=have
already ^rb++splt++=already
been ^vprf+ben+vrb+xvbnx+=been
analyzed ^nn+++??+=analyzed
for ^in++++=for
carbon ^nn++++=carbon
and ^cc++++=and
nitrogen ^nn++++=nitrogen
stable ^nn++++=stable
isotope ^nn+++??+=isotope
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Neanderthals ^np+++??+=Neanderthals
in ^in++++=in
most ^ap+emph+++=most
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
had ^vb+hv+vrb++=had
high ^jj++++=high
15 ^cd++++=15
N ^zz++++=N
values ^nns++++=values,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vbd+ben+aux++=been
interpreted ^vbd+++xvbn+=interpreted
as ^ql++++=as
a ^at++++=a
reliance ^nn++++=reliance
on ^in++++=on
animal ^nn++++=animal
proteins ^nns++++=proteins
. ^zz++++=.
