Blank ^jj+atrb+++=Blank
production ^nn++++=production
methods ^nns++++=methods:
: ^zz++++=EXTRAWORD
The ^ati++++=The
assessment ^nn++++=assessment
of ^in++++=of
blank ^jj+atrb+++=blank
production ^nn++++=production
methods ^nns++++=methods
relies ^vbz++++=relies
on ^in++++=on
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
third ^nn++++=third
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
amount ^nn++++=amount
of ^in++++=of
flakes ^nns++++=flakes
retaining ^vwbg+++xvbg+=retaining
informative ^jj+atrb+++=informative
technological ^jj+atrb+++=technological
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
on ^in++++=on
the ^ati++++=the
blades ^nns++++=blades
and ^cc++++=and
cores ^nns++++=cores
( ^zz++++=(
Table ^np++++=Table
11 ^cd++++=11
) ^zz++++=).
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
core ^nn++++=core
reduction ^nn++++=reduction
methods ^nns++++=methods
representing ^vwbg+++xvbg+=representing
different ^jj+atrb+++=different
volumetric ^jj+atrb+++=volumetric
conceptions ^nns++++=conceptions
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
11 ^cd++++=11
. ^zz++++=.
Detailed ^jj+atrb+++=Detailed
technological ^jj+atrb+++=technological
categories ^nns++++=categories
of ^in++++=of
the ^ati++++=the
lithic ^nn+++??+=lithic
artifacts ^nns+++??+=artifacts
of ^in++++=of
the ^ati++++=the
Ravin ^np+++??+=Ravin
Blanc ^np++++=Blanc
I ^pp1a+pp1+++=I
site ^nn++++=site.
. ^zz++++=EXTRAWORD
Percentages ^nns++++=Percentages
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given
per ^nnu++++=per
category ^nn++++=category,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
flakes ^nns++++=flakes,
, ^zz++++=EXTRAWORD
blades ^nns++++=blades,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cores ^nns++++=cores
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
calculated ^vpsv++agls+xvbnx+=calculated
after ^in++++=after
the ^ati++++=the
subtotals ^nns+++??+=subtotals.
. ^zz++++=EXTRAWORD
Technological ^jj+atrb+++=Technological
category ^nn++++=category
Sample ^nn++++=Sample
size ^nn++++=size
% ^zz++++=%
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
first ^od++++=first
flake ^vb+++??+=flake
( ^zz++++=(
entame ^nn+++??+=entame
) ^zz++++=)
7 ^zz++++=7
0.7 ^nn+++??+=0.7
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
core ^nn++++=core
management ^nn++++=management
12 ^cd++++=12
1.3 ^cd++++=1.3
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
centripetal ^nn+++??+=centripetal
core ^nn++++=core
management ^nn++++=management
2 ^zz++++=2
0.2 ^nn+++??+=0.2
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
other ^ap++++=other
core ^nn++++=core
management ^nn++++=management
62 ^cd++++=62
6.6 ^cd++++=6.6
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
end ^nn++++=end-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
95 ^cd++++=95
10.1 ^cd++++=10.1
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
centripetal ^nn+++??+=centripetal
end ^nn++++=end-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
67 ^cd++++=67
7.1 ^cd++++=7.1
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
convergent ^nn+++??+=convergent
end ^nn++++=end-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
18 ^cd++++=18
1.9 ^cd++++=1.9
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
Kombewa ^np+++??+=Kombewa
end ^nn++++=end-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
7 ^zz++++=7
0.7 ^nn+++??+=0.7
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
discoidal ^nn+++??+=discoidal?
? ^zz++++=EXTRAWORD
End ^nn++++=End-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
1 ^zz++++=1
0.1 ^nn+++??+=0.1
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
d ^zz++++=d
bordant ^nn+++??+=bordant
23 ^cd++++=23
2.4 ^cd++++=2.4
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
centripetal ^nn+++??+=centripetal
d ^zz++++=d
bordant ^nn+++??+=bordant
14 ^cd++++=14
1.5 ^cd++++=1.5
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
bidirectional ^nn+++??+=bidirectional
d ^zz++++=d
bordant ^nn+++??+=bordant
2 ^zz++++=2
0.2 ^nn+++??+=0.2
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
Kombewa ^np+++??+=Kombewa
d ^zz++++=d
bordant ^nn+++??+=bordant
3 ^zz++++=3
0.3 ^nn+++??+=0.3
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
indeterminate ^jj+atrb+++=indeterminate
d ^zz++++=d
bordant ^nn+++??+=bordant
12 ^cd++++=12
1.3 ^cd++++=1.3
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
retouch ^nn+++??+=retouch
fake ^nn++++=fake
3 ^zz++++=3
0.3 ^nn+++??+=0.3
Flake ^np+++??+=Flake,
, ^zz++++=EXTRAWORD
indeterminate ^jj++++=indeterminate
617 ^cd++++=617
65.3 ^cd++++=65.3
Subtotal ^np+++??+=Subtotal,
, ^zz++++=EXTRAWORD
flakes ^nns++++=flakes
945 ^cd++++=945
100 ^cd++++=100
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
first ^rb++++=first
blade ^nn++++=blade
on ^in++++=on
block ^nn++++=block
angle ^nn++++=angle
( ^zz++++=(
entame ^nn+++??+=entame
) ^zz++++=)
5 ^zz++++=5
16.1 ^cd+date+++=16.1
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
first ^rb++++=first
blade ^nn++++=blade
( ^zz++++=(
entame ^nn+++??+=entame
) ^zz++++=)
1 ^zz++++=1
3.2 ^cd++++=3.2
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
core ^nn++++=core
management ^nn++++=management
4 ^zz++++=4
12.9 ^cd++++=12.9
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
end ^nn++++=end-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
17 ^cd++++=17
54.8 ^cd++++=54.8
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
centripetal ^nn+++??+=centripetal
end ^nn++++=end-product
- ^zz++++=EXTRAWORD
product ^nn++++=EXTRAWORD
2 ^zz++++=2
6.5 ^cd++++=6.5
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
unidirectional ^nn+++??+=unidirectional
d ^zz++++=d
bordant ^nn+++??+=bordant
1 ^zz++++=1
3.2 ^cd++++=3.2
