One ^cd1++++=One
female ^jj++++=female
( ^zz++++=(PB)
pb ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
formed ^vprf+++xvbn+=formed
accentuated ^nn+++??+=accentuated
lines ^nns++++=lines
during ^in++++=during
her ^pp3o+pp3+++=her
first ^od++++=first
sexual ^jj+atrb+++=sexual
swelling ^nn++++=swelling
cycle ^nn++++=cycle,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
conceived ^vbd+++xvbnx+=conceived
her ^pp$+pp3+++=her
first ^rb++++=first
offspring ^nn++++=offspring.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
accentuated ^nn+++??+=accentuated
lines ^nns++++=lines
associated ^vbd+++xvbn+=associated
with ^in++++=with
Pb ^np+++??+=PB
s ^zz++++=s
first ^od++++=first
sexual ^jj+atrb+++=sexual
swellings ^nns+++??+=swellings
were ^vbd+bed+aux++=were
particularly ^rb++splt++=particularly
marked ^vpsv++agls+xvbnx+=marked,
, ^zz++++=EXTRAWORD
uniform ^nn++++=uniform
in ^in++++=in
all ^abn++++=all
teeth ^nn++++=teeth
forming ^vwbg+++xvbg+=forming
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
and ^cc++++=and
were ^vbd+bed+vrb++=were
the ^ati++++=the
main ^nn++++=main
connecting ^vwbg+++xvbg+=connecting
point ^nn++++=point
when ^wrb+who+++=when
matching ^jj+++xvbg+=matching
her ^pp3o+pp3+++=her
teeth ^nns++++=teeth
to ^in++++=to
study ^nn++++=study
her ^pp3o+pp3+++=her
dental ^jj+atrb+++=dental
development ^nn++++=development.
. ^zz++++=EXTRAWORD
Pb ^np+++??+=PB
also ^rb++++=also
formed ^vbd+++xvbn+=formed
a ^at++++=a
line ^nn++++=line
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
inferred ^vbd+++xvbn+=inferred
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
a ^at++++=a
further ^jjb+atrb+++=further
sexual ^jj+atrb+++=sexual
swelling ^nn++++=swelling
