Unit ^nn++++=Unit
4 ^zz++++=4
( ^zz++++=(SU4;
su4 ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
150 ^cd++++=150
170 ^cd++++=170
cm ^nnu++++=cm)
) ^zz++++=EXTRAWORD
corresponds ^vbz++++=corresponds
to ^in++++=to
a ^at++++=a
complex ^jj+atrb+++=complex
unit ^nn++++=unit
comprising ^vwbg+++xvbg+=comprising
reworked ^nn+++??+=reworked
underlying ^vwbg+++xvbg+=underlying
clay ^nn++++=clay
boulders ^nns++++=boulders
and ^cc++++=and
gravels ^nns++++=gravels
with ^in++++=with
scattered ^jj+atrb++xvbn+=scattered
pebble ^nn++++=pebble.
. ^zz++++=EXTRAWORD
this ^dt+dem+++=This
unit ^nn++++=unit
erodes ^nns++++=erodes
the ^ati++++=the
underlying ^jj+atrb+++=underlying
sediments ^nns++++=sediments
of ^in++++=of
su3 ^np++++=SU3.
. ^zz++++=EXTRAWORD
