Using ^vbg+++xvbg+=Using
the ^ati++++=the
dataset ^nn+++??+=dataset
of ^in++++=of
takeovers ^nns+++??+=takeovers
with ^in++++=with
data ^nns++++=data
on ^in++++=on
aggression ^nn++++=aggression
and ^cc++++=and
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
band ^nn++++=band
takeover ^nn++++=takeover
( ^zz++++=(within
within ^in++++=EXTRAWORD
Band ^nn++++=Band
1 ^zz++++=1
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
between ^in++++=between
Band ^nn++++=Band
1 ^zz++++=1
and ^cc++++=and
another ^dt++++=another
band ^nn++++=band,
, ^zz++++=EXTRAWORD
n ^zz++++=n
= ^zz++++==
118 ^cd++++=118
takeovers ^nns+++??+=takeovers),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
applied ^vbd+++xvbn+=applied
Fisher ^np++++=Fisher's
's ^$++++=EXTRAWORD
exact ^jj+atrb+++=exact
test ^nn++++=test
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
band ^nn++++=band
takeover ^nn++++=takeover
and ^cc++++=and
takeover ^nn++++=takeover
mechanism ^nn++++=mechanism
( ^zz++++=(aggressive
aggressive ^jj++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
non ^&fw++++=non-aggressive).
- ^zz++++=EXTRAWORD
aggressive ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
independent ^jj++++=independent
two ^cd++++=two
sample ^nn++++=sample
t ^zz++++=t-tests
- ^zz++++=EXTRAWORD
tests ^nns++++=EXTRAWORD
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
aggression ^nn++++=aggression
intensity ^nn++++=intensity
( ^zz++++=(toward
toward ^in++++=EXTRAWORD
other ^ap++++=other
males ^nns++++=males
and ^cc++++=and
toward ^in++++=toward
the ^ati++++=the
female ^jj++++=female)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
identity ^nn++++=identity
of ^in++++=of
the ^ati++++=the
band ^nn++++=band
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
takeover ^nn++++=takeover
occurred ^vbd+++xvbn+=occurred,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
within ^in++++=within
band ^nn++++=Band
1 ^zz++++=1
or ^cc++++=or
between ^in++++=between
two ^cd++++=two
bands ^nns++++=bands.
. ^zz++++=EXTRAWORD
