Since ^cs+sub+++=Since
dental ^jj+atrb+++=dental
wear ^nn++++=wear
is ^vbz+bez+vrb++=is
a ^at++++=a
cumulative ^jj+atrb+++=cumulative
process ^nn++++=process
( ^zz++++=(
Lucas ^np++++=Lucas,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=),
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
dealing ^vwbg+++xvbg+=dealing
with ^in++++=with
non ^&fw++++=non-masticatory
- ^zz++++=EXTRAWORD
masticatory ^nn+++??+=EXTRAWORD
dental ^jj++++=dental
wear ^vb++++=wear
on ^in++++=on
past ^jjb+atrb+++=past
populations ^nns++++=populations
include ^vb++++=include
only ^rb+down+++=only
adult ^nn++++=adult
individuals ^nns++++=individuals
( ^zz++++=(
Molnar ^np++++=Molnar
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1983 ^cd+date+++=1983
; ^zz++++=;
Bonfiglioli ^np+++??+=Bonfiglioli
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Lorkiewicz ^np+++??+=Lorkiewicz,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Molnar ^np+++??+=Molnar,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
, ^zz++++=,
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-masticatory
- ^zz++++=EXTRAWORD
masticatory ^nn+++??+=EXTRAWORD
dental ^jj+atrb+++=dental
wear ^nn++++=wear
features ^nns++++=features
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
defined ^vpsv++agls+xvbnx+=defined
in ^in++++=in
adult ^jj+atrb+++=adult
individuals ^nns++++=individuals
( ^zz++++=(
de ^&fw++++=de
Lumley ^np+++??+=Lumley,
, ^zz++++=EXTRAWORD
1973 ^cd+date+++=1973
; ^zz++++=;
Berm ^np+++??+=Berm
dez ^nn+++??+=dez
de ^&fw++++=de
Castro ^np++++=Castro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988
; ^zz++++=;
Belcastro ^np+++??+=Belcastro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
; ^zz++++=;
Scott ^np++++=Scott
and ^cc++++=and
Winn ^np+++??+=Winn,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
features ^nns++++=features
in ^in++++=in
young ^jj+atrb+++=young
individuals ^nns++++=individuals
with ^in++++=with
mixed ^jj+atrb++xvbn+=mixed
dentition ^nn+++??+=dentition
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
described ^vpsv++agls+xvbnx+=described
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Lozano ^np+++??+=Lozano
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
for ^in++++=for
Atapuerca ^np+++??+=Atapuerca
Sima ^np+++??+=Sima
de ^&fw++++=de
los ^&fw++++=los
Huesos ^np+++??+=Huesos;
; ^zz++++=EXTRAWORD
Estalrrich ^np+++??+=Estalrrich
and ^cc++++=and
Rosas ^np+++??+=Rosas,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
and ^cc++++=and
2015 ^cd++++=2015
for ^in++++=for
El ^np++++=El
Sidr ^np+++??+=Sidr
n ^zz++++=n
Neanderthals ^np+++??+=Neanderthals).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
juvenile ^jj+atrb+++=juvenile
Neanderthal ^np+++??+=Neanderthal
individual ^jj++++=individual
( ^zz++++=(around
around ^rp++++=EXTRAWORD
7.5 ^cd++++=7.5
years ^nns++++=years
old ^jj++++=old)
) ^zz++++=EXTRAWORD
from ^in++++=from
El ^np++++=El
Sidr ^np+++??+=Sidr
n ^zz++++=n
cave ^nn++++=cave
( ^zz++++=(
Estalrrich ^np++++=Estalrrich
and ^cc++++=and
Rosas ^np+++??+=Rosas,
