Other ^ap++++=Other
researchers ^nns+++??+=researchers
have ^vb+hv+aux++=have
utilized ^vprf+++xvbnx+=utilized
alternative ^jj+atrb+++=alternative
imaging ^nn+++??+=imaging
modalities ^nns+++??+=modalities,
, ^zz++++=EXTRAWORD
including ^in++++=including
computed ^vbd+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CT)
ct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
cone ^nn++++=cone-beam
- ^zz++++=EXTRAWORD
beam ^nn++++=EXTRAWORD
computed ^vpsv++agls+xvbn+=computed
tomography ^nn++++=tomography
( ^zz++++=(CBCT)
cbct ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[14,15].
14,15 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
