Using ^vbg+++xvbg+=Using
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
through ^in++++=through
community ^nn++++=community
reporting ^vwbg+++xvbg+=reporting
of ^in++++=of
symptoms ^nns++++=symptoms
and ^cc++++=and
tests ^nns++++=tests
via ^in++++=via
the ^ati++++=the
Covid ^np+++??+=COVID
Symptom ^nn++++=Symptom
Study ^nn++++=Study
app ^nn+++??+=app,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
an ^at++++=an
ecological ^nn+++??+=ecological
study ^nn++++=study
to ^to++++=to
investigate ^vbi++++=investigate
whether ^cs+who+++=whether
the ^ati++++=the
appearance ^nn++++=appearance
of ^in++++=of
the ^ati++++=the
B.1.1.7 ^np+++??+=B.1.1.7
variant ^nn++++=variant,
, ^zz++++=EXTRAWORD
first ^od++++=first
detected ^vbd+++xvbn+=detected
in ^in++++=in
a ^at++++=a
sample ^nn++++=sample
from ^in++++=from
England ^np++++=England
in ^in++++=in
September ^nr++++=September,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
differences ^nns++++=differences
in ^in++++=in
symptoms ^nns++++=symptoms,
, ^zz++++=EXTRAWORD
disease ^nn++++=disease
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
admission ^nn++++=admission
to ^in++++=to
hospital ^nn++++=hospital,
, ^zz++++=EXTRAWORD
asymptomatic ^nn+++??+=asymptomatic
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
risk ^vb++++=risk
of ^in++++=of
reinfection ^nn+++??+=reinfection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transmissibility ^nn++++=transmissibility
for ^in++++=for
users ^nns++++=users
reporting ^vwbg+++xvbg+=reporting
a ^at++++=a
positive ^jj+atrb+++=positive
test ^nn++++=test
result ^nn++++=result
between ^in++++=between
Sept ^nr++++=Sept
28 ^cd++++=28
and ^cc++++=and
Dec ^jj++++=Dec
27 ^cd++++=27,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
associations ^nns++++=associations
between ^in++++=between
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
infections ^nns++++=infections
with ^in++++=with
the ^ati++++=the
B.1.1.7 ^np+++??+=B.1.1.7
variant ^nn++++=variant
and ^cc++++=and
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
symptoms ^nns++++=symptoms
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
our ^pp$+pp1+++=our
app ^nn+++??+=app
users ^nns++++=users.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
did ^vbd+dod+aux++=did
not ^xnot++not++=not
find ^vb+vprv+++=find
evidence ^nn++++=evidence
for ^in++++=for
any ^dti++++=any
change ^vb++++=change
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
B.1.1.7 ^np+++??+=B.1.1.7
variant ^nn++++=variant
in ^in++++=in
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
symptoms ^nns++++=symptoms
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
individuals ^nns++++=individuals,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
in ^in++++=in
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
individuals ^nns++++=individuals
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
disease ^nn++++=disease
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
recording ^jj+atrb++xvbg+=recording
symptoms ^nns++++=symptoms
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
28 ^cd++++=28
days ^nns++++=days
without ^in++++=without
a ^at++++=a
break ^nn++++=break
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
7 ^zz++++=7
days ^nns++++=days.
. ^zz++++=EXTRAWORD
The ^ati++++=The
proportion ^nn++++=proportion
of ^in++++=of
users ^nns++++=users
with ^in++++=with
asymptomatic ^nn+++??+=asymptomatic
disease ^nn++++=disease
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
significantly ^rb++++=significantly
change ^vb++++=change
as ^ql++++=as
the ^ati++++=the
B.1.1.7 ^np+++??+=B.1.1.7
variant ^nn++++=variant
increased ^vbd+++xvbn+=increased
in ^in++++=in
prevalence ^nn+++??+=prevalence,
, ^zz++++=EXTRAWORD
in ^in++++=in
agreement ^nn++++=agreement
with ^in++++=with
other ^ap++++=other
studies ^nns++++=studies
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
found ^vbd+vprv++xvbn+=found
no ^at++++=no
changes ^nn++++=changes
in ^in++++=in
admissions ^nns++++=admissions
to ^in++++=to
hospital ^nn++++=hospital;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
other ^ap++++=other
reports ^nns++++=reports
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
the ^ati++++=the
b.1.1.7 ^np++++=B.1.1.7
variant ^nn++++=variant
increases ^vbz++++=increases
rates ^nns++++=rates
of ^in++++=of
admission ^nn++++=admission
to ^in++++=to
hospital ^nn++++=hospital.
. ^zz++++=EXTRAWORD
