Using ^vbg+++xvbg+=Using
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
data ^nns++++=data
from ^in++++=from
Kaiser ^npt++++=Kaiser,
, ^zz++++=EXTRAWORD
the ^ati++++=the
researchers ^nns+nom+++=researchers
found ^vbd+vprv++xvbn+=found
a ^at++++=a
high ^jj+atrb+++=high
correlation ^nn+nom+++=correlation
between ^in++++=between
multiple ^jj+atrb+++=multiple
Aces ^nns++++=ACEs
and ^cc++++=and
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
behavioral ^jj+atrb+++=behavioral
disorders ^nns+nom+++=disorders
that ^tht+rel+subj++=that
occurred ^vprf+++xvbn+=occurred
over ^in++++=over
a ^at++++=a
person ^nn++++=person's
's ^$++++=EXTRAWORD
lifetime ^nn++++=lifetime.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
original ^nn+nom+++=original
study ^nn++++=study
by ^in++++=by
Felitti ^np+++??+=Felitti
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
23 ^cd++++=23
) ^zz++++=),
, ^zz++++=EXTRAWORD
64 ^cd++++=64%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns+nom+++=participants
( ^zz++++=(primarily
primarily ^rb+down+++=EXTRAWORD
middle ^jjb+atrb+++=middle
income ^nn++++=income
and ^cc++++=and
above ^in+pl+++=above)
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
one ^cd1++++=one
Ace ^nn++++=ACE
and ^cc++++=and
22 ^cd++++=22%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
three ^cd++++=three
or ^cc++++=or
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Aces ^nns++++=ACEs
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
individuals ^nns+nom+++=individuals
developing ^vwbg+++xvbg+=developing
various ^jj+atrb+++=various
health ^nn++++=health
conditions ^nns+nom+++=conditions
also ^rb++++=also
increased ^jj++++=increased
substantially ^rb+cnj+++=substantially,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
graded ^jj+atrb+++=graded
dose ^nn++++=dose
response ^nn++++=response.
. ^zz++++=EXTRAWORD
