Using ^vbg+++xvbg+=Using
this ^dt+dem+++=this
standardized ^jj+atrb++xvbn+=standardized
protocol ^nn++++=protocol,
, ^zz++++=EXTRAWORD
each ^dt++++=each
5 ^zz++++=5-min
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
acquisition ^nn+nom+++=acquisition
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
add ^vb+vpub+++=add
( ^zz++++=(on
on ^in++++=EXTRAWORD
average ^jj++++=average)
) ^zz++++=EXTRAWORD
10 ^cd++++=10-data
- ^zz++++=EXTRAWORD
data ^nns++++=EXTRAWORD
points ^nns++++=points
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cells ^nns++++=cells)
) ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
phase ^nn++++=phase
diagram ^nn++++=diagram.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
an ^at++++=an
average ^jj+atrb+++=average
phase ^nn++++=phase
diagram ^nn++++=diagram
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
required ^vbd+++xvbn+=required
collection ^nn+nom+++=collection
of ^in++++=of
20 ^cd++++=20-30
- ^zz++++=EXTRAWORD
30 ^cd++++=EXTRAWORD
fields ^nns++++=fields
or ^cc++++=or
2 ^zz++++=2-3
- ^zz++++=EXTRAWORD
3 ^zz++++=EXTRAWORD
h ^zz++++=h
of ^in++++=of
data ^nns++++=data
acquisition ^nn+nom+++=acquisition
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Typically ^rb+cnj+++=Typically,
, ^zz++++=EXTRAWORD
an ^at++++=an
individual ^jj+atrb+++=individual
phase ^nn++++=phase
diagram ^nn++++=diagram
was ^vbd+bedz+aux++=was
compiled ^vpsv++agls+xvbnx+=compiled
from ^in++++=from
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
over ^in++++=over
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
3 ^zz++++=3-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
experiments ^nns+nom+++=experiments
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
different ^jj+atrb+++=different
lentivirus ^nns+++??+=lentivirus
transductions ^nns+nom+++=transductions
on ^in++++=on
different ^jj+atrb+++=different
days ^nns++++=days).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
phase ^nn++++=phase
diagrams ^nns++++=diagrams
featured ^vbd+++xvbn+=featured
data ^nns++++=data
from ^in++++=from
significantly ^rb++++=significantly
more ^ql++++=more
experiments ^nns+nom+++=experiments
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
G3bp1 ^np+++??+=G3BP1
Ntf2 ^np+++??+=NTF2
Corelets ^nns+nom++??+=Corelets,
, ^zz++++=EXTRAWORD
a ^at++++=a
condition ^nn+nom+++=condition
used ^vwbn+++xvbn+=used
as ^ql++++=as
a ^at++++=a
positive ^jj+atrb+++=positive
control ^nn++++=control
for ^in++++=for
effects ^nns++++=effects
of ^in++++=of
drug ^nn++++=drug
treatments ^nns+nom+++=treatments
throughout ^in++++=throughout
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
ensured ^vbd+vprv++xvbn+=ensured
reliability ^nn+nom+++=reliability
of ^in++++=of
data ^nns++++=data).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Throughout ^in++++=Throughout
the ^ati++++=the
duration ^nn+nom+++=duration
of ^in++++=of
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
indication ^nn+nom+++=indication
of ^in++++=of
systematic ^jj+atrb+++=systematic
changes ^nns++++=changes
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
drug ^nn++++=drug
response ^nn++++=response,
, ^zz++++=EXTRAWORD
drug ^nn++++=drug
efficacy ^nn+nom+++=efficacy,
, ^zz++++=EXTRAWORD
measurement ^nn+nom+++=measurement
of ^in++++=of
fluorescence ^nn+nom+++=fluorescence
intensities ^nns+nom+++=intensities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
phase ^nn++++=phase
diagram ^nn++++=diagram
threshold ^nn++++=threshold
shifts ^vbz++++=shifts.
. ^zz++++=EXTRAWORD
