Since ^cs+sub+++=Since
findings ^nns++++=findings
were ^vbd+bed+vrb++=were
similar ^jj+pred+++=similar
in ^in++++=in
both ^abx++++=both
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
combined ^vbd+++xvbn+=combined
their ^pp$+pp3+++=their
results ^nns++++=results
for ^in++++=for
some ^dti++++=some
analyses ^nns++++=analyses
( ^zz++++=(
figure ^nn++++=figure
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
first ^rb++++=first
events ^nns++++=events
resulting ^vwbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
hospital ^nn++++=hospital
admission ^nn++++=admission
when ^wrb+who+++=when
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
most ^ql+emph+++=most
isolated ^jj+atrb++xvbn+=isolated
group ^nn++++=group
with ^in++++=with
the ^ati++++=the
least ^rbt++++=least
isolated ^jj+atrb++xvbn+=isolated
group ^nn++++=group,
, ^zz++++=EXTRAWORD
little ^ap++++=little
association ^nn++++=association
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
between ^in++++=between
level ^nn++++=level
of ^in++++=of
social ^jj+atrb+++=social
isolation ^nn++++=isolation
and ^cc++++=and
risk ^nn++++=risk
of ^in++++=of
coronary ^jj+atrb+++=coronary
heart ^nn++++=heart
disease ^nn++++=disease
( ^zz++++=(pooled
pooled ^vbd+++xvbn+=EXTRAWORD
Rr ^np+++??+=RR
1 ^zz++++=1
01 ^nn+++??+=01
[ ^zz++++=[0
0 ^zz++++=EXTRAWORD
98 ^cd++++=98
1 ^zz++++=1
04 ^nn+++??+=04])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
stroke ^nn++++=stroke
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
13 ^cd++++=13
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
08 ^nn+++??+=08
1 ^zz++++=1
18 ^cd++++=18];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
figure ^nn++++=figure
2 ^zz++++=2
) ^zz++++=),
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
risks ^nns++++=risks
were ^vbd+bed+vrb++=were
substantially ^rb++++=substantially
greater ^jjr+pred+++=greater
for ^in++++=for
death ^nn++++=death
as ^in++++=as
the ^ati++++=the
first ^od++++=first
event ^nn++++=event
from ^in++++=from
coronary ^jj+atrb+++=coronary
heart ^nn++++=heart
disease ^nn++++=disease
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
86 ^cd++++=86
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
63 ^cd++++=63
2 ^zz++++=2
12 ^cd++++=12])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
from ^in++++=from
stroke ^nn++++=stroke
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
91 ^cd++++=91
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
48 ^cd++++=48
2 ^zz++++=2
46 ^cd++++=46];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
test ^nn++++=test
for ^in++++=for
heterogeneity ^nn+++??+=heterogeneity
between ^in++++=between
fatal ^jj++++=fatal
and ^cc++++=and
non ^&fw++++=non-fatal
- ^zz++++=EXTRAWORD
fatal ^jj+atrb+++=EXTRAWORD
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
p<0 ^nn+++??+=p<0
0001 ^nn+++??+=0001
for ^in++++=for
coronary ^jj+atrb+++=coronary
heart ^nn++++=heart
disease ^nn++++=disease
and ^cc++++=and
p=0 ^nn++++=p=0
0003 ^nn++++=0003
for ^in++++=for
stroke ^nn++++=stroke).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
