Research ^nn++++=Research
has ^vbz+hvz+aux++=has
documented ^vprf+++xvbnx+=documented
that ^dt+pdem+++=that
when ^wrb+who+++=when
mothers ^nns+nom+++=mothers
are ^vb+ber+aux++=are
treated ^vpsv++agls+xvbnx+=treated
for ^in++++=for
depression ^nn++++=depression
within ^in++++=within
the ^ati++++=the
shelter ^nn++++=shelter
milieu ^nn++++=milieu,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
necessary ^jj++++=necessary
with ^in++++=with
medication ^nn+nom+++=medication,
, ^zz++++=EXTRAWORD
psychotherapy ^nn++++=psychotherapy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cognitive ^jj+atrb+++=cognitive
behavioral ^jj+atrb+++=behavioral
interventions ^nns+nom+++=interventions,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
children ^nns++++=children
develop ^vb++++=develop
better ^jjr++++=better
overall ^jjb++++=overall
( ^zz++++=(
3 ^zz++++=3
, ^zz++++=,
55 ^cd++++=55
, ^zz++++=,
79 ^cd++++=79
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
step ^vb++++=step
is ^vbz+bez+vrb++=is
proper ^jj++++=proper
screening ^jj+++xvbg+=screening
of ^in++++=of
the ^ati++++=the
parents ^nns++++=parents;
; ^zz++++=EXTRAWORD
unfortunately ^rb+cnj+++=unfortunately,
, ^zz++++=EXTRAWORD
many ^ap++++=many
agencies ^nns++++=agencies
lack ^vb++++=lack
the ^ati++++=the
proper ^jj+atrb+++=proper
tools ^nns++++=tools
to ^to++++=to
perform ^vbi++++=perform
screenings ^nns+++??+=screenings
( ^zz++++=(
25 ^cd++++=25
) ^zz++++=).
. ^zz++++=EXTRAWORD
Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
data ^nns++++=data
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
shelter ^nn++++=shelter-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
parenting ^jj+atrb++xvbg+=parenting
support ^nn++++=support
groups ^nns++++=groups
reduce ^vb++++=reduce
minor ^jj++++=minor
to ^in++++=to
moderate ^jj+atrb+++=moderate
depression ^nn++++=depression
in ^in++++=in
mothers ^nns+nom+++=mothers
with ^in++++=with
young ^jj+atrb+++=young
children ^nns++++=children
( ^zz++++=(
3 ^zz++++=3
, ^zz++++=,
55 ^cd++++=55
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
staff ^nn++++=staff
emphasize ^vb++++=emphasize
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
parental ^jj+atrb+++=parental
roles ^nns++++=roles
by ^in++++=by
supporting ^xvbg+++xvbg+=supporting
effective ^jj++++=effective
parenting ^jj+++xvbg+=parenting
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
helping ^vbg+++xvbg+=helping
parents ^nns++++=parents
provide ^vb+vsua+++=provide
routines ^nns++++=routines
and ^cc++++=and
implement ^nn+nom+++=implement
positive ^jj+atrb+++=positive
discipline ^nn++++=discipline)
) ^zz++++=EXTRAWORD
( ^zz++++=(
43 ^cd++++=43
) ^zz++++=).
. ^zz++++=EXTRAWORD
Support ^nn++++=Support
groups ^nns++++=groups
reassure ^vb++++=reassure
parents ^nns++++=parents
that ^tht+rel+obj++=that
the ^ati++++=the
family ^nn++++=family
unit ^nn++++=unit
will ^md+prd+++=will
survive ^vb++++=survive.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
families ^nns++++=families
should ^md+nec+++=should
be ^vb+be+aux++=be
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
appropriate ^jj+atrb+++=appropriate
home ^nr++++=home-visiting
- ^zz++++=EXTRAWORD
visiting ^vbg+++xvbg+=EXTRAWORD
programs ^nns++++=programs
to ^in++++=to
further ^jjb++++=further
develop ^vb++++=develop
parenting ^jj+atrb+++=parenting
skills ^nns++++=skills.
. ^zz++++=EXTRAWORD
