Two ^cd++++=Two
serious ^jj+atrb+++=serious
adverse ^jj+atrb+++=adverse
events ^nns++++=events
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
deemed ^vpsv++by+xvbnx+=deemed
by ^in++++=by
the ^ati++++=the
investigators ^nns++++=investigators
to ^to++++=to
be ^vbi++vrb++=be
unrelated ^jj+pred+++=unrelated
to ^in++++=to
trial ^nn++++=trial
vaccination ^nn+nom+++=vaccination
were ^vbd+bed+aux++=were
reported ^vpsv++agls+xvbnx+=reported.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
event ^nn++++=event
( ^zz++++=(acute
acute ^jj+atrb+++=EXTRAWORD
renal ^jj+atrb+++=renal
failure ^nn++++=failure
caused ^vwbn+++xvbn+=caused
by ^in++++=by
rhabdomyolysis ^nn++++=rhabdomyolysis
associated ^vbd+++xvbn+=associated
with ^in++++=with
a ^at++++=a
fall ^nn++++=fall)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
30 ^cd++++=30
days ^nns++++=days
after ^in++++=after
the ^ati++++=the
mrna ^nn+++??+=mRNA-1273
- ^zz++++=EXTRAWORD
1273 ^cd++++=EXTRAWORD
booster ^nn+nom+++=booster,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
( ^zz++++=(acute
acute ^jj+atrb+++=EXTRAWORD
cholecystitis ^nns+++??+=cholecystitis)
) ^zz++++=EXTRAWORD
occurred ^vprf+++xvbn+=occurred
24 ^cd++++=24
days ^nns++++=days
after ^in++++=after
the ^ati++++=the
Ad26.cov2.s ^np+++??+=Ad26.COV2.S
booster ^nn+nom+++=booster.
. ^zz++++=EXTRAWORD
No ^at++++=No
prespecified ^jj+atrb++xvbn+=prespecified
trial ^nn++++=trial-halting
- ^zz++++=EXTRAWORD
halting ^jj+atrb++xvbg+=EXTRAWORD
rules ^nns++++=rules
were ^vbd+bed+aux++=were
met ^vpsv++agls+xvbnx+=met,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
new ^jj++++=new-onset
- ^zz++++=EXTRAWORD
onset ^nn++++=EXTRAWORD
chronic ^jj+atrb+++=chronic
medical ^jj+atrb+++=medical
conditions ^nns+nom+++=conditions
occurred ^vbd+++xvbn+=occurred
through ^in++++=through
trial ^nn++++=trial
day ^nn++++=day
29 ^cd++++=29.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
related ^jj+atrb++xvbn+=related
adverse ^jj+atrb+++=adverse
event ^nn++++=event
of ^in++++=of
special ^jj+atrb+++=special
interest ^nn++++=interest
( ^zz++++=(severe
severe ^jj+atrb+++=EXTRAWORD
vomiting ^nn++++=vomiting
that ^tht+rel+subj++=that
led ^vprf+++xvbn+=led
to ^in++++=to
a ^at++++=a
medically ^rb++++=medically
attended ^vbd+++xvbn+=attended
visit ^vb++++=visit
the ^ati++++=the
day ^nn++++=day
after ^cs+sub+++=after
vaccination ^nn+nom+++=vaccination)
) ^zz++++=EXTRAWORD
occurred ^vprf+++xvbn+=occurred
in ^in++++=in
group ^nn++++=group
5 ^zz++++=5
( ^zz++++=(Ad26.COV2.S
ad26.cov2.s ^nns+++??+=EXTRAWORD
booster ^nn+nom+++=booster).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Participants ^nns+nom+++=Participants
with ^in++++=with
unsolicited ^jj+atrb++xvbn+=unsolicited
adverse ^jj+atrb+++=adverse
events ^nns++++=events
of ^in++++=of
any ^dti++++=any
grade ^nn++++=grade
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
deemed ^vpsv++by+xvbnx+=deemed
by ^in++++=by
investigators ^nns++++=investigators
to ^to++++=to
be ^vbi+vbi+aux++=be
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
a ^at++++=a
trial ^nn++++=trial
vaccine ^nn++++=vaccine
were ^vbd+bed+aux++=were
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
24 ^cd++++=24
of ^in++++=of
154 ^cd++++=154
participants ^nns+nom+++=participants
( ^zz++++=(16%)
16 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
received ^vbd+++xvbn+=received
mrna ^nn+++??+=mRNA-1273,
- ^zz++++=EXTRAWORD
1273 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
