Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study
took ^vbd+++xvbn+=took
a ^at++++=a
step ^vb++++=step
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
elucidate ^nn+nom+++=elucidate
the ^ati++++=the
geographical ^jj+atrb+++=geographical
discrepancies ^nns++++=discrepancies
in ^in++++=in
major ^nn++++=major
risk ^vb++++=risk
factors ^nns++++=factors
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
A ^at++++=A
study ^nn++++=study
on ^in++++=on
195 ^cd++++=195
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
published ^j+++xvbn+=published
in ^in++++=in
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
indicated ^vb+++xvbn+=indicated
that ^tht+vcmp+++=that
China ^np++++=China
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
age ^nn++++=age-standardised
- ^zz++++=EXTRAWORD
standardised ^jj+atrb++xvbn+=EXTRAWORD
rates ^nns++++=rates
of ^in++++=of
deaths ^nns++++=deaths
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
diet ^vb++++=diet-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
further ^jjb++++=further
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
the ^ati++++=the
unhealthy ^jj+atrb+++=unhealthy
dietary ^jj+atrb+++=dietary
habits ^nns++++=habits
were ^vbd+bed+aux++=were
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
such ^abl++++=such
risk ^vb++++=risk
differently ^rb++++=differently
according ^in+cmpx+++=according
to ^in++++=to
regions ^nns++++=regions
of ^in++++=of
China ^np++++=China.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
northeast ^nn+++??+=northeast
China ^np++++=China
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt++++=highest
non ^&fw++++=non-staple
- ^zz++++=EXTRAWORD
staple ^nn++++=EXTRAWORD
food ^nn++++=food
factor ^nn++++=factor
but ^cc++++=but
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
staple ^nn++++=staple
food ^nn++++=food
factor ^nn++++=factor
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
