Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
slope ^nn++++=slope
determined ^vbd+++xvbn+=determined
in ^in++++=in
Figure ^nn++++=Figure
3 ^zz++++=3
B ^zz++++=B,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
quantifies ^vbz++++=quantifies
stoichiometry ^nn++++=stoichiometry
between ^in++++=between
Usp10 ^np+++??+=USP10
and ^cc++++=and
G3bp ^np+++??+=G3BP
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
differentiate ^nn+nom+++=differentiate
cells ^nns++++=cells
that ^tht+rel+obj++=that
form ^nn++++=form
stress ^vb+vpub+++=stress
granules ^nns+++??+=granules
from ^in++++=from
those ^dt+dem+++=those
that ^dt+pdem+++=that
are ^vb+ber+vrb++=are
unable ^jj+pred+++=unable
to ^to+jcmp+++=to,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
remarkably ^rb++++=remarkably
close ^jj+pred+++=close
to ^to++++=to
1 ^zz++++=1
( ^zz++++=(
0.98 ^nn+++??+=0.98).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
slope ^nn++++=slope
of ^in++++=of
1 ^zz++++=1
is ^vbz+bez+aux++=is
predicted ^vpsv++agls+xvbnx+=predicted
for ^in++++=for
such ^abl++++=such
a ^at++++=a
competitive ^jj+atrb+++=competitive
inhibitor ^nn++++=inhibitor
( ^zz++++=(
cap ^nn++++=cap
) ^zz++++=)
expressed ^vwbn+vpub++xvbn+=expressed
at ^rb++++=at
concentrations ^nns+nom+++=concentrations
far ^rb+pl+++=far
greater ^jjr++++=greater
than ^in++++=than
its ^pp$+it+++=its
K ^zz++++=K
d ^zz++++=d
and ^cc++++=and
is ^vbz+bez+aux++=is
further ^jjb+pred+++=further
confirmed ^vpsv++by+xvbn+=confirmed
by ^in++++=by
nearly ^rb+down+++=nearly
equivalent ^jj+atrb+++=equivalent
slopes ^nns++++=slopes
for ^in++++=for
other ^ap++++=other
strong ^jj+atrb+++=strong
inhibitors ^nns++++=inhibitors
( ^zz++++=(
caps ^nns++++=caps
e.g ^rb++++=e.g.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
usp10 ^np++++=USP10
nim ^np++++=NIM
and ^cc++++=and
caprin1 ^np++++=CAPRIN1
nim ^np++++=NIM).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
