Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
participatory ^nn+++??+=participatory
digital ^jj+atrb+++=digital
platforms ^nns++++=platforms
have ^vb+hv+aux++=have
well ^rb++++=well
documented ^vbd+++xvbn+=documented
biases ^nns+++??+=biases
in ^in++++=in
demographics ^nns+++??+=demographics.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
able ^jj+pred+++=able
to ^in+jcmp+++=to
correct ^jj++++=correct
for ^in++++=for
some ^dti++++=some
of ^in++++=of
these ^dt+dem+++=these
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
age ^nn++++=age
and ^cc++++=and
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
others ^aps++++=others
are ^vb+ber+vrb++=are
more ^rbr++++=more
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
characterise ^vb+++??+=characterise
and ^cc++++=and
correct ^jj++++=correct
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
respondents ^nns++++=respondents
signing ^vwbg+++xvbg+=signing
up ^in+cmpx+++=up
to ^in"++++=to
a ^at++++=a
participatory ^nn+++??+=participatory
platform ^nn++++=platform
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Covid ^np+++??+=COVID
Symptom ^nn++++=Symptom
Study ^nn++++=Study
app ^nn+++??+=app
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
interested ^jj+pred+++=interested
in ^in++++=in
health ^nn++++=health
and ^cc++++=and
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
than ^in++++=than
the ^ati++++=the
wider ^jjr+atrb+++=wider
population ^nn++++=population,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
exhibit ^vb++++=exhibit
different ^jj+atrb+++=different
behaviours ^nns+++??+=behaviours.
. ^zz++++=EXTRAWORD
Participatory ^np+++??+=Participatory
studies ^nns++++=studies
might ^md+pos+++=might
also ^rb++splt++=also
suffer ^vb++++=suffer
from ^in++++=from
ascertainment ^nn+++??+=ascertainment
or ^cc++++=or
collider ^nn+++??+=collider
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
Self ^nn++++=Self-report
- ^zz++++=EXTRAWORD
report ^vb++++=EXTRAWORD
also ^rb++++=also
carries ^vbz++++=carries
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
data ^nns++++=data
input ^nn++++=input
errors ^nns++++=errors,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
design ^nn++++=design
of ^in++++=of
the ^ati++++=the
app ^nn+++??+=app
seeks ^vbz++++=seeks
to ^to+vcmp+++=to
minimise ^vbi++++=minimise
this ^dt+pdem+++=this;
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
each ^dt++++=each
time ^nn++++=time
a ^at++++=a
user ^nn++++=user
submits ^vbz++++=submits
a ^at++++=a
log ^&fo++++=log
in ^in++++=in
the ^ati++++=the
app ^nn+++??+=app,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
the ^ati++++=the
full ^jj+atrb+++=full
history ^nn++++=history
of ^in++++=of
their ^pp$+pp3+++=their
test ^nn++++=test
results ^nns++++=results
and ^cc++++=and
are ^vb+ber+aux++=are
given ^vpsv++agls+xvbnx+=given
the ^ati++++=the
option ^nn++++=option
to ^to++++=to
amend ^vbi++++=amend
incorrect ^jj+atrb+++=incorrect
entries ^nns++++=entries.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
publications ^nns++++=publications
from ^in++++=from
our ^pp$+pp1+++=our
group ^nn++++=group
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
that ^tht+vcmp+++=that
population ^nn++++=population-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
estimates ^nns++++=estimates
of ^in++++=of
disease ^nn++++=disease
prevalence ^nn+++??+=prevalence
from ^in++++=from
our ^pp$+pp1+++=our
app ^nn+++??+=app
triangulate ^nn+++??+=triangulate
well ^rb++++=well
with ^in++++=with
those ^dt+dem+++=those
obtained ^jj+++xvbn+=obtained
from ^in++++=from
studies ^nns++++=studies
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
representative ^nn++++=representative
of ^in++++=of
the ^ati++++=the
population ^nn++++=population.
. ^zz++++=EXTRAWORD
