Since ^cs+sub+++=Since
genetic ^jj+atrb+++=genetic
deletion ^nn+++??+=deletion
of ^in++++=of
Trem2 ^np+++??+=Trem2
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
reduced ^vbd+++xvbn+=reduced
tumor ^nn+++??+=tumor
growth ^nn++++=growth
and ^cc++++=and
enhanced ^jj+atrb++xvbn+=enhanced
response ^nn++++=response
to ^in++++=to
checkpoint ^nn++++=checkpoint
blockade ^nn++++=blockade,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sought ^vbd+++xvbn+=sought
to ^in++++=to
test ^nn++++=test
the ^ati++++=the
therapeutic ^jj+atrb+++=therapeutic
potential ^nn++++=potential
of ^in++++=of
mab ^nn+++??+=mAb
modulation ^nn+++??+=modulation
of ^in++++=of
Trem2 ^np+++??+=TREM2.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
previously ^rb+tm+++=previously
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
mab ^nn+++??+=mAb
178 ^cd++++=178
is ^vbz+bez+vrb++=is
specific ^jj+pred+++=specific
for ^in++++=for
mouse ^nn++++=mouse
Trem2 ^np+++??+=TREM2
( ^zz++++=(
Turnbull ^np++++=Turnbull
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
49 ^cd++++=49.
. ^zz++++=EXTRAWORD
Turnbull ^np+++??+=Turnbull,
, ^zz++++=EXTRAWORD
I.r ^np+++??+=I.R.
. ^zz++++=EXTRAWORD
Gilfillan ^np+++??+=Gilfillan,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Cella ^np+++??+=Cella,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cutting ^nvbg+++xvbg+=Cutting
edge ^nn++++=edge:
: ^zz++++=EXTRAWORD
Trem ^np+++??+=TREM-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
attenuates ^vbz++++=attenuates
macrophage ^nn+++??+=macrophage
activation ^nn+++??+=activation
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Immunol ^np+++??+=Immunol.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
177 ^cd++++=177
: ^zz++++=:3520-3524
3520 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
3524 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(527)
527 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
mab ^nn+++??+=mAb
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
established ^vpsv++agls+xvbnx+=established
using ^vbg+++xvbg+=using
a ^at++++=a
standard ^jj+atrb+++=standard
hybridoma ^nn+++??+=hybridoma
approach ^nn++++=approach
by ^in++++=by
immunizing ^nn+++??+=immunizing
