Research ^nn++++=Research
staff ^nn++++=staff
from ^in++++=from
the ^ati++++=the
coordinating ^jj+atrb+++=coordinating
centre ^jjb+atrb+++=centre
visited ^jj+atrb++xvbn+=visited
study ^nn++++=study
sites ^nns++++=sites
every ^at++++=every
6 ^zz++++=6
months ^nns++++=months
and ^cc++++=and
investigator ^nn++++=investigator
meetings ^nns++++=meetings
were ^vbd+bed+aux++=were
held ^vpsv++agls+xvbnx+=held
annually ^rb++++=annually
to ^in++++=to
review ^nn++++=review
study ^nn++++=study
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
future ^jjb+atrb+++=future
plans ^nns++++=plans.
. ^zz++++=EXTRAWORD
