Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
strengths ^nns++++=strengths
of ^in++++=of
our ^pp$+pp1+++=our
natural ^jj+atrb+++=natural
experiment ^nn+nom+++=experiment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
counterfactual ^nn+nom+++=counterfactual
is ^vbz+bez+vrb++=is
uncertain ^jj+pred+++=uncertain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
estimated ^jj+atrb++xvbn+=estimated
treatment ^nn+nom+++=treatment
effects ^nns++++=effects
were ^vbd+bed+aux++=were
produced ^vpsv++agls+xvbnx+=produced
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
an ^at++++=an
aggressive ^jj+atrb+++=aggressive
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
suppression ^nn++++=suppression
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
lockdowns ^nns+++??+=lockdowns
and ^cc++++=and
other ^ap++++=other
associated ^jj+atrb++xvbn+=associated
restrictions ^nns+nom+++=restrictions
to ^in++++=to
supress ^nns+nom+++=supress
virus ^nn++++=virus
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn+nom+++=infection
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
to ^in++++=to
great ^jj+atrb+++=great
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
morbidity ^nn+nom+++=morbidity
and ^cc++++=and
mortality ^nn+nom+++=mortality
and ^cc++++=and
resulted ^vpsv++agls+xvbn+=resulted
in ^in++++=in
a ^at++++=a
much ^ap++++=much
greater ^jjr+atrb+++=greater
impact ^nn++++=impact
on ^in++++=on
population ^nn+nom+++=population
mental ^jj+atrb+++=mental
health ^nn++++=health.
. ^zz++++=EXTRAWORD
