Research ^nn++++=Research
has ^vbz+hvz+aux++=has
begun ^vprf+++xvbnx+=begun
to ^to++++=to
focus ^vbi++++=focus
on ^in++++=on
who ^whp+rel+pied++=who
is ^vbz+bez+aux++=is
displaced ^vpsv++agls+xvbnx+=displaced
across ^rp+pl+++=across
Us ^pp1o+pp1+++=US
urban ^jj+atrb+++=urban
communities ^nns++++=communities
to ^to++++=to
inform ^vbi++++=inform
broader ^jjr+atrb+++=broader
understandings ^nns++++=understandings
of ^in++++=of
the ^ati++++=the
geography ^nn++++=geography
of ^in++++=of
inequity ^nn++++=inequity
and ^cc++++=and
racism ^nn+++??+=racism.
. ^zz++++=EXTRAWORD
The ^ati++++=The
National ^jj+atrb+++=National
Community ^nn++++=Community
Reinvestment ^np+++??+=Reinvestment
Coalition ^nn++++=Coalition
( ^zz++++=(NCRC)
ncrc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
studied ^vprf+++xvbn+=studied
the ^ati++++=the
changing ^jj+atrb++xvbg+=changing
rate ^nn++++=rate
of ^in++++=of
socioeconomic ^nn+++??+=socioeconomic
status ^nn++++=status
across ^in+pl+++=across
census ^nn++++=census
tracts ^nns++++=tracts
of ^in++++=of
gentrifying ^nn+++??+=gentrifying
Us ^pp1o+pp1+++=US
metropolitan ^jj+atrb+++=metropolitan
areas ^nns++++=areas
from ^in++++=from
2000 ^cd++++=2000
to ^to++++=to
2010 ^cd++++=2010
and ^cc++++=and
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
110,935 ^cd++++=110,935
black ^jj+atrb+++=black
residents ^nns++++=residents
and ^cc++++=and
24,374 ^cd++++=24,374
Hispanic ^np+++??+=Hispanic
residents ^nns++++=residents
were ^vbd+bed+aux++=were
displaced ^vpsv++agls+xvbnx+=displaced
( ^zz++++=(
140 ^cd++++=140
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
cultural ^jj+atrb+++=cultural
displacement ^nn++++=displacement
of ^in++++=of
communities ^nns++++=communities
inflicts ^nns+++??+=inflicts
chronic ^jj++++=chronic
stress ^vb+vpub+++=stress
on ^in++++=on
residents ^nns++++=residents
by ^in++++=by
increasing ^xvbg+++xvbg+=increasing
financial ^jj+atrb+++=financial
strain ^nn++++=strain
on ^in++++=on
families ^nns++++=families,
, ^zz++++=EXTRAWORD
forcing ^vbg+++xvbg+=forcing
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
residents ^nns++++=residents
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
substandard ^jj+atrb+++=substandard
housing ^nn++++=housing
owing ^in+cmpx+++=owing
to ^in"++++=to
a ^at++++=a
loss ^nn++++=loss
of ^in++++=of
affordable ^nn+++??+=affordable
housing ^nn++++=housing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reducing ^jj+atrb++xvbg+=reducing
access ^nn++++=access
to ^in++++=to
neighborhood ^jj+atrb++??+=neighborhood
resources ^nns++++=resources
such ^abl++++=such
as ^ql++++=as
employment ^nn++++=employment,
, ^zz++++=EXTRAWORD
health ^nn++++=health
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
schools ^nns++++=schools
( ^zz++++=(
12 ^cd++++=12
, ^zz++++=,
154 ^cd++++=154
) ^zz++++=).
. ^zz++++=EXTRAWORD
