Although ^cs+con+++=Although
the ^ati++++=the
exponential ^jj+atrb+++=exponential
growth ^nn++++=growth
of ^in++++=of
mortality ^nn++++=mortality
rates ^nns++++=rates
with ^in++++=with
age ^nn++++=age
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
all ^abn++++=all
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relationship ^nn++++=relationship
is ^vbz+bez+vrb++=is
less ^ql++++=less
pronounced ^jj+++xvbn+=pronounced
in ^in++++=in
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries
than ^in++++=than
in ^in++++=in
developed ^xvbn+++xvbn+=developed
countries ^nns++++=countries
in ^in++++=in
Europe ^np++++=Europe
and ^cc++++=and
North ^np+pl+++=North
America ^np++++=America.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
is ^vbz+bez+vrb++=is
5,000 ^cd++++=5,000
or ^cc++++=or
even ^rb++++=even
10,000 ^cd++++=10,000
times ^nns++++=times
higher ^jjr++++=higher
among ^in++++=among
the ^ati++++=the
elderly ^jj++++=elderly
aged ^jj++++=aged
80 ^cd++++=80
years ^nns++++=years
or ^cc++++=or
more ^ql++++=more
than ^cs+sub+++=than
among ^in++++=among
those ^dt+dem+++=those
under ^in++++=under
20 ^cd++++=20
years ^nns++++=years.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
result ^nn++++=result
is ^vbz+bez+vrb++=is
in ^in++++=in
line ^nn++++=line
with ^in++++=with
the ^ati++++=the
conclusions ^nns++++=conclusions
of ^in++++=of
Cohen ^np++++=COHEN
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
as ^ql++++=as
early ^jj++++=early
as ^ql++++=as
April ^nr++++=April
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
Western ^jj+atrb+++=Western
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
among ^in++++=among
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
countries ^nns++++=countries
the ^ati++++=the
difference ^nn++++=difference
is ^vbz+bez+vrb++=is
smaller ^jjr+pred+++=smaller,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
500 ^cd++++=500
times ^nns++++=times
in ^in++++=in
the ^ati++++=the
cases ^nns++++=cases
of ^in++++=of
Peru ^np++++=Peru
and ^cc++++=and
