Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
teachers ^vb++++=teachers
to ^in+vcmp+++=to
master ^vb++++=master
issues ^nns++++=issues
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
Ict ^np+++??+=ICT,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
pedagogical ^jj+atrb+++=pedagogical
and ^cc+phrs+++=and
didactic ^jj+atrb++??+=didactic
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
can ^md+pos+++=can
critically ^rb++++=critically
select ^jj+atrb+++=select
resources ^nns++++=resources
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
solving ^jj+++xvbg+=solving
the ^ati++++=the
diversity ^nn++++=diversity
issues ^nns++++=issues
of ^in++++=of
current ^jj+atrb+++=current
groups ^nns++++=groups
by ^in++++=by
bearing ^xvbg+++xvbg+=bearing
in ^in++++=in
mind ^nn++++=mind
the ^ati++++=the
learning ^jj+atrb++xvbg+=learning
styles ^nns++++=styles
that ^tht+rel+obj++=that
students ^nns++++=students
have ^vb+hv+vrb++=have
( ^zz++++=(Alonso
alonso ^nn++++=EXTRAWORD
& ^zz++++=&
gallego ^np++++=Gallego
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
