Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
teachers ^nns++++=teachers
at ^rb++++=at
all ^abn++++=all
levels ^nns++++=levels
to ^to++++=to
know ^vbi+vprv+++=know
about ^in++++=about
aspects ^nns++++=aspects
that ^tht+rel+obj++=that
research ^nn++++=research
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as:
: ^zz++++=EXTRAWORD
direct ^jj+atrb+++=direct
link ^nn++++=link
with ^in++++=with
reality ^nn++++=reality,
, ^zz++++=EXTRAWORD
constant ^jj+atrb+++=constant
practice ^nn++++=practice
and ^cc++++=and
reflection ^nn++++=reflection
on ^in++++=on
educational ^jj+atrb+++=educational
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
interdisciplinary ^nn+++??+=interdisciplinary
work ^nn++++=work,
, ^zz++++=EXTRAWORD
participation ^nn++++=participation
in ^in++++=in
multidisciplinary ^nn+++??+=multidisciplinary
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mastery ^nn++++=mastery
of ^in++++=of
methodological ^jj+atrb+++=methodological
processes ^nns++++=processes
to ^to++++=to
achieve ^vbi++++=achieve
significant ^jj+atrb+++=significant
results ^nns++++=results
in ^in++++=in
favor ^nn++++=favor
of ^in++++=of
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
educational ^jj+atrb+++=educational
quality ^nn++++=quality
( ^zz++++=(Rojas
rojas ^nns+++??+=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
modules ^nn++++=modules
proposed ^vbd+vsua++xvbn+=proposed
to ^to++++=to
raise ^vbi++++=raise
the ^ati++++=the
investigative ^nn+++??+=investigative
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^nn++++=following
learning ^vbg+vprv+tht0+xvbg+=learning
outcomes ^nns++++=outcomes
are ^vb+ber+aux++=are
proposed ^vbd+vsua+++=proposed:
: ^zz++++=EXTRAWORD
