Other ^ap++++=Other
studies ^nns++++=studies
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
V ^zz++++=V.
. ^zz++++=EXTRAWORD
officinalis ^nns+++??+=officinalis
showed ^vbd+vprv++xvbn+=showed
low ^jj+atrb+++=low
toxicity ^nn+++??+=toxicity
( ^zz++++=(Bos
bos ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Yao ^np+++??+=Yao
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
Valerian ^np+++??+=Valerian
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
safe ^jj+atrb+++=safe
herb ^nn++++=herb
in ^in++++=in
most ^ql+emph+++=most
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
only ^rb+down+++=only
reported ^vwbn+vpub+tht0+xvbn+=reported
adverse ^jj+atrb+++=adverse
effect ^nn++++=effect
was ^vbd+bedz+vrb++=was
diurnal ^jj+atrb+++=diurnal
sleepiness ^nns+++??+=sleepiness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
at ^rb++++=at
higher ^jjr+atrb+++=higher
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition,
, ^zz++++=EXTRAWORD
no ^at++++=no
harmful ^jj+atrb+++=harmful
side ^nn++++=side
effects ^nns++++=effects
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
( ^zz++++=(Kinrys
kinrys ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Baek ^np+++??+=Baek
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
fact ^nn++++=fact
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
Pinheiro ^np+++??+=Pinheiro
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
such ^abl++++=such
as ^ql++++=as
dizziness ^nns+++??+=dizziness,
, ^zz++++=EXTRAWORD
gastrointestinal ^nn+++??+=gastrointestinal
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
signs ^nns++++=signs
of ^in++++=of
allergy ^nn++++=allergy
or ^cc++++=or
the ^ati++++=the
paradoxical ^jj+atrb+++=paradoxical
effect ^nn++++=effect
were ^vbd+bed+aux++=were
not ^xnot++not++=not
reported ^vpsv++agls+xvbn+=reported.
. ^zz++++=EXTRAWORD
