Other ^ap++++=Other
studies ^nns++++=studies
linked ^vwbn+++xvbn+=linked
to ^in++++=to
this ^dt+dem+++=this
project ^nn++++=project
will ^md+prd+++=will
be ^vb+be+aux++=be
developed ^vpsv++agls+xvbnx+=developed
to ^in++++=to
further ^jjb+atrb+++=further
analyze ^nn+++??+=analyze
the ^ati++++=the
health ^nn++++=health
conditions ^nns++++=conditions
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
related ^j+++xvbn+=related
to ^in++++=to
social ^jj+atrb+++=social
isolation ^nn++++=isolation
and ^cc++++=and
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
contamination ^nn++++=contamination
by ^in++++=by
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
socioeconomic ^nn+++??+=socioeconomic
impacts ^nns+++??+=impacts
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^to++++=to
estimating ^vbi++++=estimating
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
in ^in++++=in
the ^ati++++=the
population ^nn++++=population,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
makes ^vbz++++=makes
it ^pp3+it+++=it
possible ^jj++++=possible
to ^to+jcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
dynamics ^nn++++=dynamics
and ^cc++++=and
profiles ^nns++++=profiles
of ^in++++=of
illnesses ^nns++++=illnesses
in ^in++++=in
the ^ati++++=the
population ^nn++++=population
and ^cc++++=and
their ^pp$+pp3+++=their
possible ^jj+atrb+++=possible
determinants ^nns++++=determinants,
, ^zz++++=EXTRAWORD
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
improvement ^nn++++=improvement
of ^in++++=of
health ^nn++++=health
care ^nn++++=care,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
the ^ati++++=the
unified ^jj+atrb+++=Unified
health ^nn++++=Health
system ^nn++++=System
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
private ^jj+atrb+++=private
network ^nn++++=network.
. ^zz++++=EXTRAWORD
