Patients ^nns++++=Patients
with ^in++++=with
a ^at++++=a
diagnosis ^nn++++=diagnosis
of ^in++++=of
diabetes ^nn++++=diabetes
mellitus ^nns+++??+=mellitus
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
5 ^zz++++=5
years ^nns++++=years
of ^in++++=of
evolution ^nn++++=evolution,
, ^zz++++=EXTRAWORD
medicated ^nn+++??+=medicated
with ^in++++=with
beta ^nn++++=beta-blockers
- ^zz++++=EXTRAWORD
blockers ^nns+++??+=EXTRAWORD
or ^cc++++=or
with ^in++++=with
a ^at++++=a
history ^nn++++=history
of ^in++++=of
irradiation ^nn++++=irradiation
in ^in++++=in
the ^ati++++=the
neck ^nn++++=neck
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbn+=excluded.
. ^zz++++=EXTRAWORD
