On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
Etb ^np+++??+=ETB
National ^jj+atrb+++=National
Community ^nn++++=Community
Schools ^nns++++=Schools
provide ^vb+vsua+++=provide
Re ^in++++=RE
according ^in+cmpx+++=according
to ^in"++++=to
a ^at++++=a
model ^nn++++=model
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
broadly ^rb+down+++=broadly
in ^in++++=in
line ^nn++++=line
with ^in++++=with
this ^dt+dem+++=this
conception ^nn++++=conception
of ^in++++=of
multidenominational ^nn+++??+=multidenominational
education ^nn++++=education.
. ^zz++++=EXTRAWORD
Primarily ^rb+cnj+++=Primarily,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
draws ^vbz++++=draws
on ^in+ppvb+++=on
pupils ^nns++++=pupils
own ^ap++++=own
religious ^jj+atrb+++=religious
background ^nn++++=background
by ^in++++=by
encouraging ^jj++++=encouraging
them ^pp3o+pp3+++=them
to ^to++++=to
involve ^vbi++++=involve
their ^pp$+pp3+++=their
parents ^nns++++=parents
and ^cc++++=and
religious ^jj+atrb+++=religious
communities ^nns++++=communities
in ^in++++=in
exercises ^nns++++=exercises
that ^tht+rel+obj++=that
aim ^vb++++=aim
to ^to+vcmp+++=to
explore ^vbi++++=explore
conceptual ^jj+atrb+++=conceptual
meanings ^nns++++=meanings
and ^cc++++=and
spiritual ^jj+atrb+++=spiritual
experiences ^nns++++=experiences
together ^rb++++=together
with ^in++++=with
their ^pp$+pp3+++=their
teachers ^nns++++=teachers
and ^cc++++=and
classmates ^nns++++=classmates.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
address ^vb++++=address
spiritual ^jj+atrb+++=spiritual
questions ^nns++++=questions
from ^in++++=from
a ^at++++=a
void ^jj++++=void,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
allows ^vbz++++=allows
for ^in+ppvb+++=for
some ^dti++++=some
degree ^nn++++=degree
of ^in++++=of
subsidiarity ^nn+++??+=subsidiarity
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
religion ^nn++++=religion
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
parental ^jj+atrb+++=parental
orientation ^nn++++=orientation.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gmgy ^np+++??+=GMGY
curriculum ^nn++++=curriculum
promotes ^vbz++++=promotes
learning ^vbg+vprv++xvbg+=learning
as ^ql++++=as
an ^at++++=an
open ^jj++++=open-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
process ^nn++++=process,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
confine ^vb++++=confine
itself ^ppl++++=itself
to ^in++++=to
a ^at++++=a
delimitated ^nn++++=delimitated
set ^vbd+++xvbn+=set
of ^in++++=of
contents ^nns++++=contents
and ^cc++++=and
topics ^nns++++=topics
to ^to++++=to
be ^vbi+vbi+aux++=be
covered ^vpsv++agls+xvbnx+=covered
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
encourages ^vbz++++=encourages
teachers ^nns++++=teachers
and ^cc++++=and
students ^nns++++=students
to ^to++++=to
listen ^vbi++++=listen
to ^in++++=to
pupils ^nns++++=pupils
own ^ap++++=own
experiences ^nns++++=experiences
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
re ^in++++=re-evaluate
- ^zz++++=EXTRAWORD
evaluate ^vb++++=EXTRAWORD
their ^pp$+pp3+++=their
knowledge ^nn++++=knowledge
of ^in++++=of
different ^jj++++=different
religious ^jj++++=religious
and ^cc++++=and
nonreligious ^nns++++=nonreligious
worldviews ^nns++++=worldviews.
. ^zz++++=EXTRAWORD
