Sometimes ^rb++++=Sometimes
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
appears ^vbz+seem+++=appears
before ^cs+sub+++=before
the ^ati++++=the
action ^nn++++=action
described ^vbd+++xvbn+=described
in ^in++++=in
the ^ati++++=the
visual ^jj+atrb+++=visual
text ^nn++++=text
is ^vbz+bez+aux++=is
presented ^vpsv++agls+xvbnx+=presented,
, ^zz++++=EXTRAWORD
as ^ql++++=as
on ^in++++=on
page ^nn++++=page
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
printed ^vpsv++agls+xvbnx+=printed
on ^in++++=on
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
foreground ^nn++++=foreground
and ^cc++++=and
written ^vpsv++agls+xvbn+=written
on ^in++++=on
the ^ati++++=the
pavement ^nn++++=pavement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
text ^nn++++=text
can ^md+pos+++=can
be ^vb+be+aux++=be
clearly ^rb++splt++=clearly
distinguished ^vpsv++agls+xvbnx+=distinguished:
: ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
to ^to+vcmp+++=to
help ^vbi++++=help
to ^to+vcmp+++=to
wash ^vbi++++=wash
the ^ati++++=the
car ^nn++++=car,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
sparkles ^nns+++??+=sparkles
like ^in++++=like
a ^at++++=a
star ^nn++++=star.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
squeeze ^vb++++=squeeze
the ^ati++++=the
sponge ^nn++++=sponge
to ^to++++=to
make ^vbi++++=make
some ^dti++++=some
bubbles ^nns++++=bubbles,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
splash ^vb++++=splash
around ^rb++++=around
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
puddles ^nns++++=puddles.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
m ^zz++++=m
feeling ^vwbg+++xvbg+=feeling
really ^rb+emph+++=really
cheeky ^jj+atrb+++=cheeky,
, ^zz++++=EXTRAWORD
Super ^jj+atrb+++=Super
quiet ^nn++++=quiet
and ^cc++++=and
extra ^jj+atrb+++=extra
sneaky ^nn+++??+=sneaky
I ^pp1a+pp1+++=I
spray ^nn++++=spray
my ^pp$+pp1+++=my
Daddy ^npt++++=Daddy
with ^in++++=with
the ^ati++++=the
hose ^nn++++=hose,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
it ^pp3+it+++=it
runs ^vbz++++=runs
between ^in++++=between
his ^pp$+pp3+++=his
toes ^nns++++=toes
. ^zz++++=.
This ^dt+dem+++=This
message ^nn++++=message
is ^vbz+bez+vrb++=is
an ^at++++=an
introduction ^nn++++=introduction
to ^in++++=to
the ^ati++++=the
visual ^jj+atrb+++=visual
action ^nn++++=action
presented ^vwbn+++xvbn+=presented
on ^in++++=on
page ^nn++++=page
11 ^cd++++=11.
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
pattern ^nn++++=pattern
is ^vbz+bez+aux++=is
found ^vpsv++agls+xvbnx+=found
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
pages ^nns++++=pages:
: ^zz++++=EXTRAWORD
first ^rb++++=first
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
the ^ati++++=the
visual ^jj+atrb+++=visual
action ^nn++++=action
of ^in++++=of
Emily ^np+++??+=Emily
cooking ^vwbg+++xvbg+=cooking
with ^in++++=with
her ^pp3o+pp3+++=her
dad ^npt++++=dad,
, ^zz++++=EXTRAWORD
page ^nn++++=page
12 ^cd++++=12
she ^pp3a+pp3+++=she
appears ^vbz+seem+++=appears
on ^in++++=on
the ^ati++++=the
right ^nn++++=right
this ^dt+dem+++=this
time ^nn++++=time
and ^cc++++=and
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
explaining ^vwbg+vpub++xvbg+=explaining
the ^ati++++=the
action ^nn++++=action
of ^in++++=of
cooking ^xvbg+++xvbg+=cooking
appears ^vbz+seem+++=appears
foregrounded ^nn+++??+=foregrounded
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
page ^nn++++=page
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
comes ^vbz++++=comes
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
action ^nn++++=action
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
characters ^nns++++=characters
drinking ^vwbg+++xvbg+=drinking
tea ^nn++++=tea
appears ^vbz+seem+++=appears
visually ^rb++++=visually
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
page ^nn++++=page.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
noteworthy ^jj+pred+++=noteworthy
that ^tht+jcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
explicit ^jj+atrb+++=explicit
reference ^nn++++=reference
to ^in++++=to
Emily ^np+++??+=Emily
s ^zz++++=s
tea ^nn++++=tea
set ^vbd+++xvbn+=set
colour ^nn++++=colour,
, ^zz++++=EXTRAWORD
pink ^jj++++=pink
( ^zz++++=(a
a ^at++++=EXTRAWORD
colour ^nn++++=colour
traditionally ^rb++++=traditionally
associated ^vbd+++xvbn+=associated
with ^in++++=with
girls ^nns++++=girls),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
can ^md+pos+++=can
see ^vb+vprv+++=see
in ^in++++=in
the ^ati++++=the
visual ^jj++++=visual:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sit ^vb++++=sit
around ^in++++=around
and ^cc++++=and
sip ^vb++++=sip
our ^pp$+pp1+++=our
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
from ^in++++=from
my ^pp$+pp1+++=my
tea ^nn++++=tea
set ^vbd+++xvbn+=set
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
pink ^jj+pred+++=pink
, ^zz++++=,
page ^nn++++=page
15 ^cd++++=15.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
van ^&fw++++=van
Leeuwen ^np+++??+=Leeuwen
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
colour ^nn++++=colour
is ^vbz+bez+vrb++=is
a ^at++++=a
textual ^jj+atrb+++=textual
strategy ^nn++++=strategy
used ^md"++pmd"++=used
to ^to++++=to
give ^vb++++=give
cohesion ^nn++++=cohesion
to ^in++++=to
the ^ati++++=the
story ^nn++++=story
or ^cc++++=or
to ^in++++=to
point ^nn++++=point
out ^rp+pl+++=out
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
characters ^nns++++=characters
represented ^vbd+++xvbn+=represented.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
pink ^nn++++=pink
can ^md+pos+++=can
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
stereotypical ^nn+++??+=stereotypical
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
pink ^jj++++=pink
is ^vbz+bez+vrb++=is
a ^at++++=a
colour ^nn++++=colour
associated ^vbd+++xvbn+=associated
with ^in++++=with
women ^nns++++=women
and ^cc++++=and
femininity ^nn++++=femininity;
; ^zz++++=EXTRAWORD
traditionally ^rb++++=traditionally
girls ^nns++++=girls
are ^vb+ber+vrb++=are
socialised ^nn++++=socialised
in ^in++++=in
pink ^nn++++=pink.
. ^zz++++=EXTRAWORD
