One ^cd1++++=One
pattern ^nn++++=pattern
in ^in++++=in
Table ^nn++++=Table
4 ^zz++++=4
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
viewed ^vpsv++agls+xvbnx+=viewed
as ^ql++++=as
inconsistent ^jj++++=inconsistent
with ^in++++=with
the ^ati++++=the
positive ^jj++++=positive
feedback ^jj+++??+=feedback
analysed ^jj+++xvbn+=analysed
earlier ^jjr++++=earlier
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
staff ^nn++++=staff
interpersonal ^nn+nom+++=interpersonal
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
tending ^vb+++xvbg+=tending
to ^to+vcmp+++=to
motivate ^nn+nom+++=motivate
positive ^jj+atrb+++=positive
feedback ^nn+++??+=feedback
more ^rbr++++=more
among ^in++++=among
patients ^nns++++=patients
who ^whp+rel+subj++=who
experienced ^vbd+++xvbn+=experienced
their ^pp$+pp3+++=their
first ^od++++=first
treatment ^nn+nom+++=treatment
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
tended ^vb+++xvbn+=tended
to ^to+vcmp+++=to
inform ^vbi++++=inform
criticism ^nn+nom+++=criticism
slightly ^rb+down+++=slightly
more ^rbr++++=more
from ^in++++=from
patients ^nns++++=patients
earlier ^jjr++++=earlier
on ^in++++=on
in ^in++++=in
their ^pp$+pp3+++=their
treatment ^nn+nom+++=treatment
( ^zz++++=(10%
10 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
1 ^zz++++=1-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
years ^nns++++=years
group ^nn++++=group
and ^cc++++=and
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
over ^rb++++=over
5 ^zz++++=5
years ^nns++++=years
group ^nn++++=group).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
could ^md+pos+++=could
result ^vb++++=result
from ^in++++=from
the ^ati++++=the
tendency ^nn++++=tendency
for ^in++++=for
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
under ^in++++=under
1 ^zz++++=1
year ^nn++++=year
group ^nn++++=group
to ^in++++=to
focus ^nn++++=focus
mostly ^rb++++=mostly
on ^in++++=on
a ^at++++=a
single ^jj+atrb+++=single
or ^cc+phrs+++=or
small ^jj+atrb+++=small
number ^nn++++=number
of ^in++++=of
treatment ^nn+nom+++=treatment
episodes ^nns++++=episodes,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
single ^jj+atrb+++=single
rude ^jj+atrb+++=rude
member ^nn++++=member
of ^in++++=of
staff ^nn++++=staff
will ^md+prd+++=will
loom ^vb++++=loom
larger ^jjr++++=larger
in ^in++++=in
the ^ati++++=the
feedback ^nn+++??+=feedback,
, ^zz++++=EXTRAWORD
with ^in++++=with
such ^abl++++=such
individual ^jj+atrb+++=individual
cases ^nns++++=cases
being ^vwbg+beg++xvbg+=being
less ^rbr++++=less
influential ^jj++++=influential
in ^in++++=in
the ^ati++++=the
more ^rbr++++=more
holistic ^nn++++=holistic
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
feedback ^vb+++??+=feedback
given ^vpsv++by+xvbn+=given
by ^in++++=by
patients ^nns++++=patients
further ^jjb++++=further
along ^in++++=along
the ^ati++++=the
treatment ^nn+nom+++=treatment
pathway ^nn++++=pathway.
. ^zz++++=EXTRAWORD
