One ^cd1++++=One
limitation ^nn+nom+++=limitation
of ^in++++=of
Study ^nn++++=Study
2 ^zz++++=2
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
over ^in++++=over
15 ^cd++++=15
years ^nns++++=years
ago ^rb++++=ago
when ^wrb+who+++=when
attitudes ^nns++++=attitudes
towards ^in++++=towards
sexual ^jj+atrb+++=sexual
minorities ^nns+nom+++=minorities
in ^in++++=in
the ^ati++++=the
Us ^pp1o+pp1+++=US
were ^vbd+bed+vrb++=were
more ^rbr++++=more
hostile ^jj+pred+++=hostile
( ^zz++++=(
Flores ^np++++=Flores,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
absolute ^jj+atrb+++=absolute
levels ^nns++++=levels
of ^in++++=of
discrimination ^nn+nom+++=discrimination
and ^cc++++=and
comfort ^nn++++=comfort
with ^in++++=with
openness ^nns+nom+++=openness
may ^md+pos+++=may
have ^vb+hv+aux++=have
improved ^vprf+++xvbnx+=improved
since ^cs+sub+++=since
these ^dt+dem+++=these
data ^nns++++=data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
and ^cc++++=and
so ^ql++++=so
mean ^vb+vprv+++=mean
levels ^nns++++=levels
of ^in++++=of
these ^dt+dem+++=these
factors ^nns++++=factors
may ^md+pos+++=may
have ^vb+hv+aux++=have
changed ^vprf+++xvbnx+=changed
the ^ati++++=the
process ^nns+nom+++=process
by ^in++++=by
which ^whp+rel+pied++=which
openness ^nns+nom+++=openness
influences ^nns+nom+++=influences
discrimination ^nn+nom+++=discrimination
and ^cc++++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
are ^vb+ber+aux++=are
likely ^jj+pred+++=likely
be ^vb+be+vrb++=be
stable ^nn++++=stable.
. ^zz++++=EXTRAWORD
By ^in++++=By
confirming ^xvbg+++xvbg+=confirming
results ^nns++++=results
from ^in++++=from
Study ^nn++++=Study
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
pre ^nn+++??+=pre-registered
- ^zz++++=EXTRAWORD
registered ^jj+atrb++xvbn+=EXTRAWORD
study ^nn++++=study
lends ^vbz++++=lends
support ^nn++++=support
to ^in++++=to
the ^ati++++=the
stability ^nn+nom+++=stability
of ^in++++=of
this ^dt+dem+++=this
process ^nns+nom+++=process
even ^rb++++=even
as ^ql++++=as
social ^jj+atrb+++=social
conditions ^nns+nom+++=conditions
improve ^vb++++=improve
though ^cs+sub+++=though
still ^rb++++=still
far ^rb+pl+++=far
from ^rb"++++=from
equitable ^jj++++=equitable
( ^zz++++=(
meyer ^np++++=Meyer,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
