Having ^xvbg+++xvbg+=Having
compared ^xvbn+++xvbn+=compared
patients ^nns++++=patients
of ^in++++=of
different ^jj+atrb+++=different
treatment ^nn+nom+++=treatment
durations ^nns+nom+++=durations
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
themes ^nns++++=themes
that ^tht+rel+subj++=that
constitute ^vb++++=constitute
their ^pp$+pp3+++=their
positive ^jj+atrb+++=positive
feedback ^nn+++??+=feedback,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
our ^pp$+pp1+++=our
attention ^nn+nom+++=attention
to ^in++++=to
the ^ati++++=the
negative ^jj+atrb+++=negative
comments ^nns+nom+++=comments
to ^to++++=to
see ^vbi+vprv+++=see
whether ^cs+who+++=whether
the ^ati++++=the
same ^ap++++=same
patterns ^nns++++=patterns
observed ^vbd+++xvbn+=observed
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
praise ^nn++++=praise
could ^md+pos+++=could
also ^rb++++=also
be ^vb+be+aux++=be
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
criticism ^nn+nom+++=criticism.
. ^zz++++=EXTRAWORD
As ^in++++=As
in ^in"++++=in
the ^ati++++=the
analysis ^nn++++=analysis
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
provided ^vprf+++xvbnx+=provided
a ^at++++=a
summary ^nn+nom+++=summary
of ^in++++=of
these ^dt+dem+++=these
complaints ^nns++++=complaints
for ^in++++=for
each ^dt++++=each
group ^nn++++=group
in ^in++++=in
Table ^nn++++=Table
4 ^zz++++=4
, ^zz++++=,
with ^in++++=with
the ^ati++++=the
group ^nn++++=group
most ^ql+emph+++=most
likely ^jj++++=likely
to ^to+jcmp+++=to
give ^vbi++++=give
each ^dt++++=each
complaint ^nn++++=complaint
again ^rb+tm+++=again
highlighted ^vbd+++xvbn+=highlighted
in ^in++++=in
bold ^nn++++=bold.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
. ^zz++++=.
Themes ^nns++++=Themes
of ^in++++=of
negative ^jj+atrb+++=negative
evaluation ^nn+nom+++=evaluation
when ^wrb+who+++=when
patients ^nns++++=patients
are ^vb+ber+aux++=are
grouped ^vpsv++by+xvbnx+=grouped
by ^in++++=by
duration ^nn+nom+++=duration
of ^in++++=of
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
Category ^nn++++=Category
Under ^in++++=Under
1 ^zz++++=1
year ^nn++++=year
1 ^zz++++=1-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
years ^nns++++=years
Over ^in++++=Over
5 ^zz++++=5
years ^nns++++=years
Waits ^np+++??+=Waits
at ^in++++=at
appointments ^nns+nom+++=appointments
22 ^cd++++=22%
% ^zz++++=EXTRAWORD
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
Waits ^np+++??+=Waits
for ^in++++=for
treatment ^nn+nom+++=treatment
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
18 ^cd++++=18%
% ^zz++++=EXTRAWORD
Communication ^nn+nom+++=Communication
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
7 ^zz++++=7%
% ^zz++++=EXTRAWORD
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
Staff ^nn++++=Staff
shortages ^nns+nom+++=shortages
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
14 ^cd++++=14%
% ^zz++++=EXTRAWORD
14 ^cd++++=14%
% ^zz++++=EXTRAWORD
Care ^nn++++=Care
co ^nn++++=co-ordination
- ^zz++++=EXTRAWORD
ordination ^nn+nom+++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
19 ^cd++++=19%
% ^zz++++=EXTRAWORD
Waits ^np+++??+=Waits
for ^in++++=for
test ^nn++++=test
results ^nns++++=results
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
11 ^cd++++=11%
% ^zz++++=EXTRAWORD
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
Treatment ^nn+nom+++=Treatment
spread ^vbd+++xvbn+=spread
across ^in+pl+++=across
different ^jj+atrb+++=different
locations ^nns+nom+++=locations
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
11 ^cd++++=11%
% ^zz++++=EXTRAWORD
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
Waits ^np+++??+=Waits
and ^cc++++=and
delays ^nns++++=delays
at ^in++++=at
pharmacy ^nn+nom+++=pharmacy
13 ^cd++++=13%
% ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
