Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
H2 ^np+++??+=H2,
, ^zz++++=EXTRAWORD
older ^jjr++++=older
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants
tend ^vb++++=tend
to ^to+vcmp+++=to
report ^vbi++++=report
worse ^jjr+atrb+++=worse
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
other ^ap++++=other
migration ^nn+nom+++=migration
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
striking ^jj+atrb++xvbg+=striking
pattern ^nn++++=pattern
considering ^vb+++xvbg+=considering
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Sfb ^np+++??+=SFB
Area ^nn++++=Area
and ^cc++++=and
in ^in++++=in
our ^pp$+pp1+++=our
data ^nns++++=data,
, ^zz++++=EXTRAWORD
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants
have ^vb+hv+vrb++=have
similar ^jj+atrb+++=similar
or ^cc+phrs+++=or
higher ^jjr++++=higher
Ses ^np+++??+=SES
and ^cc++++=and
are ^vb+ber+aux++=are
more ^rbr++splt++=more
frequently ^rb++++=frequently
married ^vbd+++xvbn+=married
compared ^xvbn+++xvbn+=compared
to ^in++++=to
native ^jj++++=native-born
- ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=EXTRAWORD
individuals ^nns+nom+++=individuals
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
better ^jjr+atrb+++=better
health ^nn++++=health
both ^abx++++=both
in ^in++++=in
our ^pp$+pp1+++=our
analyses ^nns++++=analyses
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Tables ^nns++++=Tables
S2 ^np+++??+=S2-S7
- ^zz++++=EXTRAWORD
s7 ^nn+++??+=EXTRAWORD
) ^zz++++=)
and ^cc++++=and
in ^in++++=in
existing ^xvbg+++xvbg+=existing
literature ^nn++++=literature
( ^zz++++=(
Bird ^np++++=Bird
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
disadvantage ^nn+nom+++=disadvantage
of ^in++++=of
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants
may ^md+pos+++=may
be ^vb+be+aux++=be
partly ^rb+down+splt++=partly
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
racial ^jj+atrb+++=racial/ethnic
disparities ^nns+nom+++=disparities
in ^in++++=in
health ^nn++++=health
( ^zz++++=(
Williams ^np++++=Williams
and ^cc++++=and
Sternthal ^np+nom++??+=Sternthal,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=):
: ^zz++++=EXTRAWORD
migrants ^nns+nom+++=migrants
may ^md+pos+++=may
report ^vb++++=report
poorer ^jjr+atrb+++=poorer
overall ^jjb+atrb+++=overall
health ^nn++++=health
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
disproportionately ^rb++++=disproportionately
non ^&fw++++=non-White
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
( ^zz++++=(particularly,
particularly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Asian ^jj++++=Asian),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
characteristic ^nn++++=characteristic
associated ^vbd+++xvbn+=associated
with ^in++++=with
lower ^jjr+atrb+++=lower
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
categories ^nns++++=categories
in ^in++++=in
our ^pp$+pp1+++=our
analyses ^nns++++=analyses
( ^zz++++=(
Tables ^np++++=Tables
S2 ^np+++??+=S2-S7
- ^zz++++=EXTRAWORD
s7 ^nn+++??+=EXTRAWORD
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
pattern ^nn++++=pattern
of ^in++++=of
worse ^jjr+atrb+++=worse
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
among ^in++++=among
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants
is ^vbz+bez+vrb++=is
in ^in++++=in
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
healthy ^jj+atrb+++=healthy
migrant ^jj+atrb+++=migrant
notion ^nn++++=notion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
agreement ^nn+nom+++=agreement
with ^in++++=with
recent ^jj+atrb+++=recent
arguments ^nns+nom+++=arguments
on ^in++++=on
migration ^nn+nom+++=migration
as ^in++++=as
an ^at++++=an
adverse ^jj+atrb+++=adverse
social ^jj+atrb+++=social
determinant ^nn+nom+++=determinant
of ^in++++=of
health ^nn++++=health
( ^zz++++=(
Casta ^np++++=Casta
eda ^nn+++??+=eda
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
; ^zz++++=;
Kimbro ^np+++??+=Kimbro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Nielsen ^np++++=Nielsen
and ^cc++++=and
Krasnik ^np+++??+=Krasnik,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants
give ^vb++++=give
a ^at++++=a
worse ^jjr+atrb+++=worse
assessment ^nn+nom+++=assessment
of ^in++++=of
their ^pp$+pp3+++=their
health ^nn++++=health,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
less ^rbr++++=less
likely ^jj+pred+++=likely
than ^in++++=than
nonmigrants ^nns+nom+++=nonmigrants
( ^zz++++=(but
but ^cc++++=EXTRAWORD
still ^rb++++=still
more ^rbr++++=more
likely ^jj++++=likely
than ^cs+sub+++=than
second ^od++++=second-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants)
) ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
recently ^rb+tm+splt++=recently
experienced ^vprf+++xvbnx+=experienced
a ^at++++=a
serious ^jj+atrb+++=serious
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
likely ^nn++++=likely
as ^in++++=as
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two
groups ^nns++++=groups
to ^in++++=to
have ^vbi+vbi+aux++=have
ever ^rb++++=ever
been ^vbd+ben+aux++=been
