One ^cd1++++=One
way ^nn++++=way
to ^to++++=to
make ^vbi++++=make
explicitly ^rb++++=explicitly
clear ^jj++++=clear
that ^tht+jcmp+++=that
the ^ati++++=the
sex ^nn++++=sex
of ^in++++=of
a ^at++++=a
politician ^nn++++=politician
in ^in++++=in
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
driver ^nn++++=driver
in ^in++++=in
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
unknown ^jj+pred+++=unknown
is ^vbz+bez+aux++=is
to ^to++++=to
use ^vb++++=use
a ^at++++=a
combined ^jj+atrb++xvbn+=combined
pronoun ^nn++++=pronoun:
: ^zz++++=EXTRAWORD
The ^ati++++=The
driver ^nn++++=driver
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me
kept ^vbd+++xvbn+=kept
flashing ^vbg+++xvbg+=flashing
his ^pp$+pp3+++=his
or ^cc++++=or
her ^pp$+pp3+++=her
headlights ^nns++++=headlights.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
The ^ati++++=The
use ^nn++++=use
of ^in++++=of
his ^pp$+pp3+++=his
or ^cc++++=or
her ^pp$+pp3+++=her
makes ^vbz++++=makes
it ^pp3+it+++=it
explicitly ^rb++++=explicitly
clear ^jj++++=clear
that ^tht+jcmp+++=that
the ^ati++++=the
antecedent ^nn++++=antecedent
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
the ^ati++++=the
noun ^nn++++=noun
phrases ^nns++++=phrases
the ^ati++++=the
driver ^nn++++=driver
( ^zz++++=(behind
behind ^in+pl+++=EXTRAWORD
me ^pp1o+pp1+++=me)
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
politician ^nn++++=politician
can ^md+pos+++=can
refer ^vb++++=refer
to ^in++++=to
both ^abx++++=both
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
viewed ^xvbn+++xvbn+=viewed
through ^in++++=through
the ^ati++++=the
lens ^nn++++=lens
that ^tht+rel+++=that
gender ^nn++++=gender
is ^vbz+bez+vrb++=is
binary ^jj+pred+++=binary,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
is ^vbz+bez+aux++=is
excluded ^vpsv++agls+xvbnx+=excluded
from ^in++++=from
the ^ati++++=the
potential ^jj+atrb+++=potential
referents ^nns+++??+=referents
of ^in++++=of
these ^dt+dem+++=these
sentences ^nns+nom+++=sentences.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
examples ^nns++++=examples
make ^vb++++=make
explicit ^jj++++=explicit
that ^cs+sub+++=that
the ^ati++++=the
driver ^nn++++=driver
or ^cc++++=or
a ^at++++=a
politician ^nn++++=politician
can ^md+pos+++=can
refer ^vb++++=refer
to ^in++++=to
anyone ^pn++++=anyone
whose ^whp+who+++=whose
pronouns ^nns++++=pronouns
include ^vb++++=include
his ^pp$+pp3+++=his
or ^cc++++=or
her ^pp$+pp3+++=her
. ^zz++++=.
This ^dt+pdem+++=This
does ^vbz+doz+vrb++=does
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
include ^vb++++=include
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
an ^at++++=an
issue ^nn++++=issue
discussed ^vpsv++agls+xvbn+=discussed
in ^in++++=in
section ^nn+nom+++=section
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
