One ^cd1++++=One
relatively ^rb++++=relatively
under ^in++++=under-explored,
- ^zz++++=EXTRAWORD
explored ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
significant ^jj++++=significant,
, ^zz++++=EXTRAWORD
outcome ^nn++++=outcome
of ^in++++=of
perceived ^jj+atrb++xvbn+=perceived
ageism ^nn++++=ageism
is ^vbz+bez+vrb++=is
subjective ^jj+atrb+++=subjective
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
subjective ^jj+atrb+++=subjective
memory ^nn++++=memory
is ^vbz+bez+aux++=is
used ^vpsv++++=used
to ^to++++=to
indicate ^nn+nom+++=indicate
how ^wrb+who+++=how
individuals ^nns+nom+++=individuals
interpret ^vb++++=interpret,
, ^zz++++=EXTRAWORD
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
think ^vb+vprv+++=think
about ^in++++=about
their ^pp$+pp3+++=their
own ^ap++++=own
memory ^nn++++=memory
in ^in++++=in
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
perceptions ^nns+nom+++=perceptions
regarding ^in++++=regarding
memory ^nn++++=memory
performance ^nn+nom+++=performance
( ^zz++++=(Mogle
mogle ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
investigate ^nn+nom+++=investigate
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
self ^nn++++=self-evaluations
- ^zz++++=EXTRAWORD
evaluations ^nns+nom+++=EXTRAWORD
of ^in++++=of
memory ^nn++++=memory
since ^cs+sub+++=since
negative ^jj+atrb+++=negative
evaluations ^nns+nom+++=evaluations
are ^vb+ber+aux++=are
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
greater ^jjr+atrb+++=greater
risks ^nns++++=risks
of ^in++++=of
cognitive ^nn++++=cognitive
decline ^vb++++=decline,
, ^zz++++=EXTRAWORD
dementia ^nn+++??+=dementia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stroke ^nn++++=stroke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
biomarkers ^nns+nom+++=biomarkers
of ^in++++=of
Alzheimer ^np+nom+++=Alzheimer's
's ^$++++=EXTRAWORD
disease ^nn++++=disease
( ^zz++++=(Corlier
corlier ^jjr++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
; ^zz++++=;
Sajjad ^np+++??+=Sajjad
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=),
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
pre ^nn+++??+=pre-clinical
- ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=EXTRAWORD
disease ^nn++++=disease
stage ^nn++++=stage
that ^tht+rel+subj++=that
precedes ^vbz++++=precedes
objective ^jj+atrb+++=objective
cognitive ^jj+atrb+++=cognitive
symptoms ^nns++++=symptoms
( ^zz++++=(Buckley
buckley ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
subjective ^jj+atrb+++=subjective
memory ^nn++++=memory
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
proposed ^vpsv++agls+xvbnx+=proposed
as ^ql++++=as
a ^at++++=a
first ^od++++=first
sign ^vb++++=sign
of ^in++++=of
cognitive ^nn++++=cognitive
decline ^vb++++=decline,
, ^zz++++=EXTRAWORD
even ^rb++++=even
before ^cs+sub+++=before
objective ^jj+atrb+++=objective
cognitive ^jj+atrb+++=cognitive
impairment ^nn+nom+++=impairment
can ^md+pos+++=can
be ^vb+be+aux++=be
detected ^vpsv++agls+xvbnx+=detected
using ^vbg+++xvbg+=using
standard ^jj+atrb+++=standard
neuropsychological ^jj+atrb+++=neuropsychological
evaluations ^nns+nom+++=evaluations
or ^cc++++=or
clinical ^jj+atrb+++=clinical
assessments ^nns+nom+++=assessments
( ^zz++++=(Mendon
mendon ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Reisberg ^np+++??+=Reisberg
& ^zz++++=&
