Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
accounts ^nns++++=accounts
of ^in++++=of
context ^nn++++=context
often ^rb++++=often
referred ^vbd+++xvbn+=referred
to ^in++++=to
external ^jj+atrb+++=external
disruptions ^nns+nom+++=disruptions
that ^tht+rel+subj++=that
could ^md+pos+++=could
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
significant ^jj+atrb+++=significant
impacts ^nns+++??+=impacts
on ^in++++=on
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
the ^ati++++=the
intervention ^nn+nom+++=intervention.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
included ^jj+++xvbn+=included
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
problems ^nns++++=problems,
, ^zz++++=EXTRAWORD
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
the ^ati++++=the
collapse ^nn++++=collapse
of ^in++++=of
food ^nn++++=food
distribution ^nn+nom+++=distribution
mechanisms ^nns+nom+++=mechanisms
in ^in++++=in
refugee ^nn++++=refugee
camps ^nns++++=camps,
, ^zz++++=EXTRAWORD
through ^in++++=through
natural ^jj+atrb+++=natural
disasters ^nns+nom+++=disasters
including ^in++++=including
flooding ^nn++++=flooding,
, ^zz++++=EXTRAWORD
to ^to++++=to
armed ^vbi++++=armed
conflict ^nn++++=conflict
that ^tht+rel+++=that
led ^jj+++xvbn+=led
to ^in++++=to
staff ^nn++++=staff
being ^xvbg+++xvbg+=being
evacuated ^vpsv++agls+xvbn+=evacuated
from ^in++++=from
the ^ati++++=the
region ^nn++++=region.
. ^zz++++=EXTRAWORD
The ^ati++++=The
problem ^nn++++=problem
of ^in++++=of
context ^nn++++=context
surrounding ^vwbg+++xvbg+=surrounding
the ^ati++++=the
intervention ^nn+nom+++=intervention
in ^in++++=in
humanitarian ^jj+atrb+++=humanitarian
settings ^nns++++=settings
was ^vbd+bedz+vrb++=was
overpowering ^jj+pred+++=overpowering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
participants ^nns+nom+++=participants
described ^vbd+++xvbn+=described
feeling ^nvbg+++xvbg+=feeling
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
forced ^vpsv++agls+xvbnx+=forced
into ^in++++=into
thinking ^xvbg+++xvbg+=thinking
about ^in++++=about
implementation ^nn+nom+++=implementation
research ^nn++++=research
by ^in++++=by
working ^xvbg+++xvbg+=working
in ^in++++=in
such ^abl++++=such
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
mental ^jj+atrb+++=mental
health ^nn++++=health
intervention ^nn+nom+++=intervention,
, ^zz++++=EXTRAWORD
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
complex ^jj+atrb+++=complex
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
s ^zz++++=s
so ^ql++++=so
much ^ap++++=much
going ^jj+++xvbg+=going
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
you ^pp2+pp2+++=you
can ^md+pos+++=can
control ^vb++++=control
for ^in++++=for
and ^cc++++=and
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
try ^vb++++=try
to ^to+vcmp+++=to
write ^vbi++++=write
out ^rp+pl+++=out
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
that ^dt+dem+++=that
stuff ^nn++++=stuff
to ^in++++=to
me ^pp1o+pp1+++=me
is ^vbz+bez+vrb++=is
poppycock ^nn+++??+=poppycock,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
just ^rb+emph+++=just
it ^pp3+it+++=it
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
any ^dti++++=any
sense ^nn++++=sense
[ ^zz++++=[Co
co ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
Female ^nn++++=Female,
, ^zz++++=EXTRAWORD
Rct ^np+++??+=RCT
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
Lmic ^np+++??+=LMIC]
] ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
[ ^zz++++=[process
process ^nns+nom+++=EXTRAWORD
evaluation ^nn+nom+++=evaluation]
] ^zz++++=EXTRAWORD
even ^rb++++=even
so ^ql++++=so
much ^ap++++=much
more ^rbr++++=more
important ^jj++++=important
in ^in++++=in
humanitarian ^jj+atrb+++=humanitarian
settings ^nns++++=settings
than ^in++++=than
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
[ ^zz++++=[
] ^zz++++=],
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
by ^in++++=by
definition ^nn+nom+++=definition
chaotic ^jj+atrb+++=chaotic
settings ^nns++++=settings
right ^nn++++=right
and ^cc++++=and
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
[ ^zz++++=[
] ^zz++++=]
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
everything ^pn++++=everything
process ^nns+nom+++=process
related ^vbd+++xvbn+=related
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
so ^ql++++=so
much ^ap++++=much
more ^rbr++++=more
critical ^jj++++=critical
to ^in++++=to
document ^nn+nom+++=document
because ^cs+cos+++=because
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
such ^abl++++=such
a ^at++++=a
rapidly ^rb++++=rapidly
changing ^jj+atrb++xvbg+=changing
situation ^nn+nom+++=situation
often ^rb++++=often
so ^rb++++=so
again ^rb+tm+++=again
just ^rb+emph+++=just
to ^in++++=to
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
help ^nn++++=help
make ^vb++++=make
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
of ^in++++=of
whatever ^nn+nom+++=whatever
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
so ^ql++++=so
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
just ^rb+emph+++=just
such ^abl++++=such
a ^at++++=a
black ^jj+atrb+++=black
box ^nn++++=box
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle
[ ^zz++++=[Co
co ^nn++++=EXTRAWORD
i ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
female ^nn++++=Female,
, ^zz++++=EXTRAWORD
rct ^np++++=RCT
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
lmic ^np++++=LMIC]
] ^zz++++=EXTRAWORD
