Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
nonmigrant ^jj+atrb+++=nonmigrant
population ^nn+nom+++=population
social ^jj+atrb+++=social
support ^nn++++=support
has ^vbz+hvz+vrb++=has
the ^ati++++=the
expected ^jj+++xvbn+=expected,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
positive ^jj+atrb+++=positive
association ^nn+nom+++=association
( ^zz++++=(main
main ^jjb+atrb+++=EXTRAWORD
effect ^nn++++=effect)
) ^zz++++=EXTRAWORD
with ^in++++=with
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
and ^cc++++=and
no ^at++++=no
recent ^jj+atrb+++=recent
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
Higher ^jjr+atrb+++=Higher
counts ^nns++++=counts
of ^in++++=of
supportive ^jj+atrb+++=supportive
ties ^nns++++=ties
in ^in++++=in
all ^rb++++=all
six ^cd++++=six
domains ^nns++++=domains
correspond ^vb++++=correspond
with ^in++++=with
better ^jjr+atrb+++=better
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
categories ^nns++++=categories
among ^in++++=among
nonmigrants ^nns+nom+++=nonmigrants,
, ^zz++++=EXTRAWORD
a ^at++++=a
particularly ^rb++++=particularly
strong ^jj+atrb+++=strong
effect ^nn++++=effect
for ^in++++=for
total ^jj+atrb+++=total
network ^nn++++=network
size ^nn++++=size,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
ties ^nns++++=ties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
close ^jj+atrb+++=close
ties ^nns++++=ties.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
same ^ap++++=same
group ^nn++++=group,
, ^zz++++=EXTRAWORD
the ^ati++++=the
counts ^nns++++=counts
of ^in++++=of
local ^jj+atrb+++=local
ties ^nns++++=ties,
, ^zz++++=EXTRAWORD
close ^jj+atrb+++=close
ties ^nns++++=ties,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
support ^nn++++=support
providers ^nns+nom+++=providers
are ^vb+ber+vrb++=are
also ^rb++++=also
significantly ^rb++++=significantly
and ^cc+phrs+++=and
positively ^rb++++=positively
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
having ^xvbg+++xvbg+=having
had ^vb+hv+vrb++=had
no ^at++++=no
recent ^jj+atrb+++=recent
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
predicted ^jj+atrb++xvbn+=predicted
probabilities ^nns+nom+++=probabilities
of ^in++++=of
best ^jjt+atrb+++=best
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
and ^cc++++=and
no ^at++++=no
recent ^jj+atrb+++=recent
illness ^nns+nom+++=illness
strongly ^rb+amp+++=strongly
increase ^nn++++=increase
with ^in++++=with
the ^ati++++=the
numbers ^nns+nom+++=numbers
of ^in++++=of
social ^jj+atrb+++=social
ties ^nns++++=ties
in ^in++++=in
the ^ati++++=the
nonmigrant ^jj+atrb+++=nonmigrant
population ^nn+nom+++=population
( ^zz++++=(
Fig ^np++++=Fig.
. ^zz++++=EXTRAWORD
5 ^zz++++=5
) ^zz++++=);
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Table ^nn++++=Table
4 ^zz++++=4
shows ^vbz+vprv+++=shows
high ^jj+atrb+++=high,
, ^zz++++=EXTRAWORD
positive ^jj+atrb+++=positive
Dcms ^np+++??+=DCMs
for ^in++++=for
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
( ^zz++++=(18
18 ^cd++++=EXTRAWORD
24 ^cd++++=24
percentage ^nn+nom+++=percentage
point ^nn++++=point
increases ^vbz++++=increases
in ^in++++=in
probability ^nn+nom+++=probability)
) ^zz++++=EXTRAWORD
and ^cc++++=and
no ^at++++=no
recent ^jj+atrb+++=recent
illness ^nns+nom+++=illness
( ^zz++++=(4
4 ^zz++++=EXTRAWORD
12 ^cd++++=12
percentage ^nn+nom+++=percentage
point ^nn++++=point
increases ^nns++++=increases)
) ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
group ^nn++++=group.
. ^zz++++=EXTRAWORD
