One ^cd1++++=One
final ^jj+atrb+++=final
example ^nn++++=example
also ^rb++++=also
worth ^in++++=worth
mentioning ^xvbg+++xvbg+=mentioning,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
in ^in++++=in
( ^zz++++=(7),
7 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
from ^in++++=from
Ame ^np+++??+=AmE
in ^in++++=in
the ^ati++++=the
2000s ^cd++++=2000s.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
refers ^vbz++++=refers
to ^in++++=to
an ^at++++=an
individual ^jj+atrb+++=individual
Justin ^np+++??+=Justin
Bond ^np++++=Bond
as ^ql++++=as
s ^zz++++=s/he
and ^cc++++=and
is ^vbz+bez+vrb++=is
an ^at++++=an
example ^nn++++=example
of ^in++++=of
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
being ^xvbg+++xvbg+=being
used ^md"++pmd"++=used
to ^to++++=to
refer ^vb++++=refer
to ^in++++=to
someone ^pn++++=someone
whose ^whp+who+++=whose
identity ^nn+nom+++=identity
is ^vbz+bez+vrb++=is
outside ^jjb+pred+++=outside
the ^ati++++=the
gender ^nn++++=gender
binary ^jj++++=binary.
. ^zz++++=EXTRAWORD
