Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
people ^nns++++=people
above ^jjb++++=above
65 ^cd++++=65
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
part ^nn++++=part
of ^in++++=of
online ^nn+++??+=online
survey ^vb++++=survey
panels ^nns++++=panels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
especially ^rb++++=especially
those ^dt+dem+++=those
above ^jjb++++=above
75 ^cd++++=75
years ^nns++++=years,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
will ^md+prd+++=will
not ^xnot++not++=not
be ^vb+be+vrb++=be
fully ^rb+amp+++=fully
representative ^jj+pred+++=representative
of ^in++++=of
this ^dt+dem+++=this
age ^nn++++=age
group ^nn++++=group
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
functioning ^xvbg+++xvbg+=functioning,
, ^zz++++=EXTRAWORD
living ^jj+atrb++xvbg+=living
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
digital ^jj+atrb+++=digital
skills ^nns++++=skills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cognitive ^jj+atrb+++=cognitive
ability ^nn+nom+++=ability.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
collect ^vb++++=collect
data ^nns++++=data
about ^in++++=about
these ^dt+dem+++=these
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
could ^md+pos+++=could
use ^vb++++=use
Eq ^nn++++=EQ-VAS
- ^zz++++=EXTRAWORD
vas ^nns+++??+=EXTRAWORD
values ^nns++++=values
as ^in++++=as
an ^at++++=an
indicator ^nn++++=indicator.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
compare ^vb++++=compare
age ^nn++++=age-stratified
- ^zz++++=EXTRAWORD
stratified ^jj+atrb+++=EXTRAWORD
Eq ^nn++++=EQ-VAS
- ^zz++++=EXTRAWORD
vas ^nns+++??+=EXTRAWORD
values ^nns++++=values
in ^in++++=in
our ^pp$+pp1+++=our
sample ^nn++++=sample
with ^in++++=with
data ^nns++++=data
from ^in++++=from
a ^at++++=a
previous ^jj++++=previous
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
study ^nn++++=study
among ^in++++=among
community ^nn+nom+++=community
dwelling ^vwbg+++xvbg+=dwelling
Dutch ^nn++++=Dutch
elderly ^jj++++=elderly
( ^zz++++=(suppl.
suppl ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Materials ^nns+nom+++=Materials,
, ^zz++++=EXTRAWORD
Table ^nn++++=Table
A3 ^np+++??+=A3
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
in ^in++++=in
our ^pp$+pp1+++=our
sample ^nn++++=sample
have ^vb+hv+vrb++=have
a ^at++++=a
lower ^jjr+atrb+++=lower
level ^nn++++=level
of ^in++++=of
health ^nn++++=health
( ^zz++++=(
Mangen ^np++++=Mangen
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
might ^md+pos+++=might
hint ^vb++++=hint
towards ^in++++=towards
capturing ^xvbg+++xvbg+=capturing
a ^at++++=a
wider ^jjr+atrb+++=wider
range ^nn++++=range
of ^in++++=of
respondents ^nns++++=respondents
than ^in++++=than
just ^rb+emph+++=just
community ^nn+nom+++=community
dwelling ^vwbg+++xvbg+=dwelling
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
confirmed ^vpsv++agls+xvbnx+=confirmed.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
