Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
particular ^jj+atrb+++=particular
selection ^nn+nom+++=selection
of ^in++++=of
Sds ^np+++??+=SDs
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
the ^ati++++=the
only ^rb+down+++=only
possible ^jj+atrb+++=possible
relevant ^jj+atrb+++=relevant
factors ^nns++++=factors
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
compartmental ^jj+atrb+++=compartmental
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
though ^cs+sub+++=though
our ^pp$+pp1+++=our
preceding ^jj+atrb++xvbg+=preceding
analysis ^nn++++=analysis
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
largely ^rb++splt++=largely
focused ^vbd+++xvbn+=focused
on ^in++++=on
differences ^nns+nom+++=differences
in ^in++++=in
socio ^nn+++??+=socio-economic
- ^zz++++=EXTRAWORD
economic ^jj+atrb+++=EXTRAWORD
conditions ^nns+nom+++=conditions
between ^in++++=between
poorer ^jjr+atrb+++=poorer
and ^cc+phrs+++=and
richer ^jjr+atrb+++=richer
countries ^nns++++=countries;
; ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
approach ^nn++++=approach
could ^md+pos+++=could
also ^rb++++=also
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^in++++=to
model ^nn++++=model
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
social ^jj+atrb+++=social
differentiation ^nn+nom+++=differentiation
within ^in++++=within
individual ^jj+atrb+++=individual
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
Issues ^nns++++=Issues
such ^abl++++=such
as ^ql++++=as
gender ^nn++++=gender
and ^cc++++=and
racial ^jj+atrb+++=racial
inequalities ^nns+nom+++=inequalities
, ^zz++++=,
educational ^jj+atrb+++=educational
disparities ^nns+nom+++=disparities,
, ^zz++++=EXTRAWORD
levels ^nns++++=levels
of ^in++++=of
government ^nn+nom+++=government
expenditure ^nn++++=expenditure
on ^in++++=on
social ^jj+atrb+++=social
services ^nns++++=services,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
all ^abn++++=all
bear ^vb+vprv+++=bear
directly ^rb++++=directly
on ^in++++=on
and ^cc++++=and
; ^zz++++=;
and ^cc+cls+++=and
could ^md+pos+++=could
also ^rb++++=also
be ^vb+be+aux++=be
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
a ^at++++=a
social ^jj+atrb+++=social
compartmental ^nn+nom+++=compartmental
model ^nn++++=model.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
as ^in++++=as
heterogeneity ^nn+nom+++=heterogeneity
in ^in++++=in
transmission ^nn++++=transmission
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
Sd ^np+++??+=SD
may ^md+pos+++=may
also ^rb++splt++=also
make ^vb++++=make
superspreading ^jj+atrb++xvbg+=superspreading
events ^nns++++=events
more ^rbr++++=more
likely ^jj++++=likely
in ^in++++=in
particular ^jj+atrb+++=particular
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
social ^jj+atrb+++=social
inequalities ^nns+nom+++=inequalities
while ^cs+sub+++=while
incorporating ^vbg+++xvbg+=incorporating
network ^nn++++=network
effects ^nns++++=effects
across ^in+pl+++=across
social ^jj+atrb+++=social
groups ^nns++++=groups
along ^in++++=along
the ^ati++++=the
lines ^nns++++=lines
of ^in++++=of
Chang ^np+++??+=Chang
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
H ^zz++++=H
bert ^np++++=bert-Dufresne
- ^zz++++=EXTRAWORD
dufresne ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
particularly ^rb++++=particularly
interesting ^jj+atrb+++=interesting
research ^nn++++=research
avenue ^nn++++=avenue
within ^in++++=within
this ^dt+dem+++=this
theme ^nn++++=theme.
. ^zz++++=EXTRAWORD
